Strain, Fz 
-1.19024150737310e-01, -1.92600861546113e-01 
-1.16619622439586e-01, -1.82584505181105e-01 
-1.14215094141863e-01, -1.66289529240444e-01 
-1.11810565844139e-01, -1.45793998177569e-01 
-1.09406037546416e-01, -1.34525204787015e-01 
-1.07001509248692e-01, -1.25924137197680e-01 
-1.04596980950969e-01, -1.18252829022810e-01 
-1.02192452653246e-01, -1.11595886990511e-01 
-9.97879243555221e-02, -1.04872412866243e-01 
-9.73833960577987e-02, -9.77950374311324e-02 
-9.49788677600752e-02, -9.11195144498852e-02 
-9.25743394623518e-02, -8.46942231980021e-02 
-9.01698111646284e-02, -7.97972437461394e-02 
-8.77652828669050e-02, -7.54155985707261e-02 
-8.53607545691815e-02, -7.12030215865327e-02 
-8.29562262714581e-02, -6.69825452760486e-02 
-8.05516979737347e-02, -6.30795019437097e-02 
-7.81471696760113e-02, -5.95917989594372e-02 
-7.57426413782879e-02, -5.61232925794588e-02 
-7.33381130805644e-02, -5.26663829281707e-02 
-7.09335847828410e-02, -4.95049456688531e-02 
-6.85290564851176e-02, -4.63451064871379e-02 
-6.61245281873942e-02, -4.32857481194593e-02 
-6.37199998896707e-02, -4.03045303932622e-02 
-6.13154715919473e-02, -3.72991348571543e-02 
-5.89109432942239e-02, -3.40773960019652e-02 
-5.65064149965005e-02, -3.07851507860665e-02 
-5.41018866987770e-02, -2.79781120552317e-02 
-5.16973584010536e-02, -2.52511057797779e-02 
-4.92928301033302e-02, -2.33597133587005e-02 
-4.68883018056068e-02, -2.20011266557215e-02 
-4.44837735078833e-02, -2.07859641707722e-02 
-4.20792452101599e-02, -1.96829350245629e-02 
-3.96747169124365e-02, -1.85962905813432e-02 
-3.72701886147131e-02, -1.74893372860084e-02 
-3.48656603169896e-02, -1.64919119185994e-02 
-3.24611320192662e-02, -1.54926902983947e-02 
-3.00566037215428e-02, -1.44168978869394e-02 
-2.76520754238194e-02, -1.33280277684682e-02 
-2.52475471260959e-02, -1.20121829480957e-02 
-2.28430188283725e-02, -1.07733265070350e-02 
-2.04384905306491e-02, -9.37743362656808e-03 
-1.80339622329257e-02, -7.96605323639913e-03 
-1.56294339352022e-02, -6.60326707789630e-03 
-1.32249056374788e-02, -5.69726585059509e-03 
-1.08203773397554e-02, -4.50733647087660e-03 
-8.41584904203197e-03, -3.36099133697763e-03 
-6.01132074430855e-03, -2.31121262935005e-03 
-3.60679244658513e-03, -1.31392076943343e-03 
-1.20226414886171e-03, -3.55451729661251e-04 
1.20226414886170e-03, 3.55451729661247e-04 
3.60679244658514e-03, 1.03784715243449e-03 
6.01132074430856e-03, 1.67927461900807e-03 
8.41584904203200e-03, 2.29678854673941e-03 
1.08203773397554e-02, 2.89015921350339e-03 
1.32249056374788e-02, 3.46475233448322e-03 
1.56294339352022e-02, 4.05615763493481e-03 
1.80339622329257e-02, 4.63736108821990e-03 
2.04384905306491e-02, 5.38868388145491e-03 
2.28430188283725e-02, 6.16429895822646e-03 
2.52475471260960e-02, 6.99829618542532e-03 
2.76520754238194e-02, 7.86150194559710e-03 
3.00566037215428e-02, 8.76488665683378e-03 
3.24611320192662e-02, 9.57786639693903e-03 
3.48656603169896e-02, 1.04318245161424e-02 
3.72701886147131e-02, 1.12212276472789e-02 
3.96747169124365e-02, 1.20584640771372e-02 
4.20792452101599e-02, 1.28994375028339e-02 
4.44837735078833e-02, 1.37248568142547e-02 
4.68883018056068e-02, 1.45552642858035e-02 
4.92928301033302e-02, 1.53194547095314e-02 
5.16973584010536e-02, 1.60757520908064e-02 
5.41018866987771e-02, 1.68215052418948e-02 
5.65064149965005e-02, 1.77088169372413e-02 
5.89109432942239e-02, 1.85871217317096e-02 
6.13154715919473e-02, 1.95257607396270e-02 
6.37199998896707e-02, 2.06067300850748e-02 
6.61245281873941e-02, 2.18519563053711e-02 
6.85290564851176e-02, 2.33995805146944e-02 
7.09335847828410e-02, 2.49873253639723e-02 
7.33381130805644e-02, 2.66178043200379e-02 
7.57426413782879e-02, 2.82803221151679e-02 
7.81471696760113e-02, 2.96874151279267e-02 
8.05516979737347e-02, 3.09537237499250e-02 
8.29562262714581e-02, 3.22417288779727e-02 
8.53607545691815e-02, 3.35198700657012e-02 
8.77652828669050e-02, 3.49928385327197e-02 
9.01698111646284e-02, 3.65219053882460e-02 
9.25743394623518e-02, 3.89749782030830e-02 
9.49788677600752e-02, 4.14884372136827e-02 
9.73833960577987e-02, 4.37776852064496e-02 
9.97879243555221e-02, 4.60339551116688e-02 
1.02192452653246e-01, 4.79260150728738e-02 
1.04596980950969e-01, 5.01946860525757e-02 
1.07001509248692e-01, 5.30522026831934e-02 
1.09406037546416e-01, 5.66028393524071e-02 
1.11810565844139e-01, 6.03514546202903e-02 
1.14215094141863e-01, 6.32713805716644e-02 
1.16619622439586e-01, 6.63377491295935e-02 
1.19024150737310e-01, 7.16421001450537e-02 
