Strain, Fz 
-1.15471609184602e-01, -1.43483157848050e-01 
-1.13138849403095e-01, -1.32794539129574e-01 
-1.10806089621588e-01, -1.23289455371939e-01 
-1.08473329840081e-01, -1.14569473980149e-01 
-1.06140570058574e-01, -1.07670016409603e-01 
-1.03807810277067e-01, -1.01224896042359e-01 
-1.01475050495560e-01, -9.61234877967087e-02 
-9.91422907140524e-02, -9.04364568147607e-02 
-9.68095309325453e-02, -8.45684729907742e-02 
-9.44767711510382e-02, -7.85645419331703e-02 
-9.21440113695311e-02, -7.33750811300720e-02 
-8.98112515880240e-02, -6.86981644733339e-02 
-8.74784918065168e-02, -6.39353226241947e-02 
-8.51457320250097e-02, -5.96334400708608e-02 
-8.28129722435026e-02, -5.60498561231928e-02 
-8.04802124619955e-02, -5.23872171606422e-02 
-7.81474526804884e-02, -4.94789578411687e-02 
-7.58146928989813e-02, -4.66567511450415e-02 
-7.34819331174741e-02, -4.39818071202253e-02 
-7.11491733359670e-02, -4.08655735285571e-02 
-6.88164135544599e-02, -3.77960323884821e-02 
-6.64836537729528e-02, -3.47901723215237e-02 
-6.41508939914457e-02, -3.17833683480041e-02 
-6.18181342099386e-02, -2.91569654768244e-02 
-5.94853744284315e-02, -2.72181878971435e-02 
-5.71526146469243e-02, -2.52877417407483e-02 
-5.48198548654172e-02, -2.37063906128025e-02 
-5.24870950839101e-02, -2.21376244891134e-02 
-5.01543353024030e-02, -2.06473775183832e-02 
-4.78215755208959e-02, -1.92647782507541e-02 
-4.54888157393888e-02, -1.82135097923309e-02 
-4.31560559578816e-02, -1.73698570453187e-02 
-4.08232961763745e-02, -1.65518402003874e-02 
-3.84905363948674e-02, -1.57315100673459e-02 
-3.61577766133603e-02, -1.48828379781951e-02 
-3.38250168318532e-02, -1.40230136162925e-02 
-3.14922570503461e-02, -1.31144096544667e-02 
-2.91594972688390e-02, -1.22730880352517e-02 
-2.68267374873318e-02, -1.14030315978583e-02 
-2.44939777058247e-02, -1.05332778219433e-02 
-2.21612179243176e-02, -9.68254769006643e-03 
-1.98284581428105e-02, -8.66324085767622e-03 
-1.74956983613034e-02, -7.54583283987748e-03 
-1.51629385797963e-02, -6.44233235075819e-03 
-1.28301787982891e-02, -5.20242604214369e-03 
-1.04974190167820e-02, -3.94066500456560e-03 
-8.16465923527492e-03, -2.88896973141991e-03 
-5.83189945376780e-03, -1.93011269922265e-03 
-3.49913967226069e-03, -1.07399145465205e-03 
-1.16637989075358e-03, -3.11913792993921e-04 
1.16637989075355e-03, 3.11913792993912e-04 
3.49913967226066e-03, 8.92316253515005e-04 
5.83189945376777e-03, 1.54450711872832e-03 
8.16465923527488e-03, 2.22452058982180e-03 
1.04974190167820e-02, 2.94917331379032e-03 
1.28301787982891e-02, 3.72216441834994e-03 
1.51629385797962e-02, 4.50444600983743e-03 
1.74956983613034e-02, 5.29386091479846e-03 
1.98284581428105e-02, 6.05717706138660e-03 
2.21612179243176e-02, 6.83527123850463e-03 
2.44939777058247e-02, 7.60502881976660e-03 
2.68267374873318e-02, 8.38176411407747e-03 
2.91594972688389e-02, 9.23672436913040e-03 
3.14922570503460e-02, 1.01701014345047e-02 
3.38250168318531e-02, 1.11849565393665e-02 
3.61577766133603e-02, 1.23734649816375e-02 
3.84905363948674e-02, 1.37859168919435e-02 
4.08232961763745e-02, 1.60920593831451e-02 
4.31560559578816e-02, 1.86107688521280e-02 
4.54888157393887e-02, 2.23086191220808e-02 
4.78215755208959e-02, 2.59578474244972e-02 
5.01543353024030e-02, 2.88418460437284e-02 
5.24870950839101e-02, 3.17049386891142e-02 
5.48198548654172e-02, 3.40783167590482e-02 
5.71526146469243e-02, 3.62718848498150e-02 
5.94853744284314e-02, 3.84811023987833e-02 
6.18181342099386e-02, 4.09921582528867e-02 
6.41508939914457e-02, 4.48041593015417e-02 
6.64836537729528e-02, 4.87993895746187e-02 
6.88164135544599e-02, 5.36876006896210e-02 
7.11491733359670e-02, 5.87332590591470e-02 
7.34819331174741e-02, 6.48540016030501e-02 
7.58146928989812e-02, 7.07626170340240e-02 
7.81474526804884e-02, 7.81581863765297e-02 
8.04802124619955e-02, 8.59702828564583e-02 
8.28129722435026e-02, 9.36337153078254e-02 
8.51457320250097e-02, 1.01244892429505e-01 
8.74784918065168e-02, 1.09385398084458e-01 
8.98112515880239e-02, 1.16656590981169e-01 
9.21440113695310e-02, 1.24812184934728e-01 
9.44767711510382e-02, 1.33696470129848e-01 
9.68095309325453e-02, 1.42606366571276e-01 
9.91422907140524e-02, 1.52097686516247e-01 
1.01475050495560e-01, 1.63106945031139e-01 
1.03807810277067e-01, 1.77898528719695e-01 
1.06140570058574e-01, 2.03852011914936e-01 
1.08473329840081e-01, 2.30254823136302e-01 
1.10806089621588e-01, 2.48629875971286e-01 
1.13138849403095e-01, 2.62865124050170e-01 
1.15471609184602e-01, 2.75965747544253e-01 
