Strain, Tx, Tz 
-3.25856361536019e-01, -1.13194049782322e+00, -1.79577257039570e-01 
-3.19273404737312e-01, -1.03406550467435e+00, -1.85487039777916e-01 
-3.12690447938604e-01, -9.58886668213825e-01, -1.89508354757702e-01 
-3.06107491139897e-01, -8.64150673736961e-01, -1.96217180755967e-01 
-2.99524534341189e-01, -7.98083314611127e-01, -1.98038545768330e-01 
-2.92941577542482e-01, -7.45376155101244e-01, -1.98382410907752e-01 
-2.86358620743774e-01, -6.90821947322502e-01, -1.98734109431942e-01 
-2.79775663945067e-01, -6.39419447136133e-01, -1.96893789310502e-01 
-2.73192707146359e-01, -5.74278377925620e-01, -1.92175260414587e-01 
-2.66609750347652e-01, -5.06774715751264e-01, -1.85248922991328e-01 
-2.60026793548944e-01, -4.69020184259933e-01, -1.83024417661047e-01 
-2.53443836750237e-01, -4.44738146521581e-01, -1.81882533946746e-01 
-2.46860879951530e-01, -4.20829853478149e-01, -1.77754136537409e-01 
-2.40277923152822e-01, -3.95897799442917e-01, -1.72263058657011e-01 
-2.33694966354115e-01, -3.70326962118322e-01, -1.64117005864573e-01 
-2.27112009555407e-01, -3.41206284382408e-01, -1.56558824449140e-01 
-2.20529052756700e-01, -3.11476525616372e-01, -1.50783617053003e-01 
-2.13946095957992e-01, -2.91683100784126e-01, -1.45756253034682e-01 
-2.07363139159285e-01, -2.71339193122495e-01, -1.39373500880343e-01 
-2.00780182360577e-01, -2.53637358257760e-01, -1.35596199080278e-01 
-1.94197225561870e-01, -2.37150769510724e-01, -1.30382044423964e-01 
-1.87614268763162e-01, -2.19447961348882e-01, -1.24657050847476e-01 
-1.81031311964455e-01, -1.98417318007365e-01, -1.17724423796151e-01 
-1.74448355165748e-01, -1.83178483895962e-01, -1.11345228188944e-01 
-1.67865398367040e-01, -1.72292219943093e-01, -1.07039223604948e-01 
-1.61282441568333e-01, -1.63367105271415e-01, -1.02700800049274e-01 
-1.54699484769625e-01, -1.54415737832900e-01, -9.86413141880202e-02 
-1.48116527970918e-01, -1.43670240575833e-01, -9.46127581870525e-02 
-1.41533571172210e-01, -1.34023591276202e-01, -9.02784283555979e-02 
-1.34950614373503e-01, -1.24650950872432e-01, -8.56905337966648e-02 
-1.28367657574795e-01, -1.11900993046433e-01, -7.99547514051083e-02 
-1.21784700776088e-01, -9.96394543470955e-02, -7.38223842472140e-02 
-1.15201743977380e-01, -9.60830682732546e-02, -6.48781517039131e-02 
-1.08618787178673e-01, -9.14118134214339e-02, -5.81582379564140e-02 
-1.02035830379966e-01, -8.41660690994073e-02, -5.41647076833274e-02 
-9.54528735812581e-02, -7.52320929440009e-02, -5.36012841783928e-02 
-8.88699167825506e-02, -6.63598039185028e-02, -5.16411772777894e-02 
-8.22869599838432e-02, -6.13778005386743e-02, -4.57675847137376e-02 
-7.57040031851357e-02, -5.71653418777666e-02, -4.13204173202106e-02 
-6.91210463864282e-02, -5.12972640316422e-02, -3.87151650908150e-02 
-6.25380895877208e-02, -4.55116000535336e-02, -3.75661141370126e-02 
-5.59551327890134e-02, -4.27941702169096e-02, -3.57037852584205e-02 
-4.93721759903059e-02, -4.02942831259898e-02, -2.92555649254227e-02 
-4.27892191915984e-02, -3.44223777179438e-02, -2.32414184146676e-02 
-3.62062623928910e-02, -2.83035904491255e-02, -2.17292119716775e-02 
-2.96233055941836e-02, -1.87053516059335e-02, -1.66500445320691e-02 
-2.30403487954761e-02, -1.08751815332073e-02, -1.07971935844695e-02 
-1.64573919967686e-02, -7.59949411272635e-03, -8.43412476298551e-03 
-9.87443519806120e-03, -5.96090835394029e-03, -5.96052921917349e-03 
-3.29147839935375e-03, -2.98591225018980e-03, -2.18886612656354e-03 
3.29147839935370e-03, 2.98591225018974e-03, 2.18886612656352e-03 
9.87443519806120e-03, 7.41576084017170e-03, 6.44798985356294e-03 
1.64573919967687e-02, 1.01260429163804e-02, 1.07214074775734e-02 
2.30403487954761e-02, 1.59945698587448e-02, 1.34362101766776e-02 
2.96233055941836e-02, 2.14645293012660e-02, 1.49592960685445e-02 
3.62062623928910e-02, 2.48827013016567e-02, 1.79399570094952e-02 
4.27892191915985e-02, 2.60814742452882e-02, 2.65931874494366e-02 
4.93721759903059e-02, 3.15812658516152e-02, 3.38590814459082e-02 
5.59551327890133e-02, 3.86573977783870e-02, 3.20182103799957e-02 
6.25380895877208e-02, 4.48759702442524e-02, 3.32134777101111e-02 
6.91210463864283e-02, 4.88714668599407e-02, 3.80665163710596e-02 
7.57040031851357e-02, 5.09701061103160e-02, 4.35396750915902e-02 
8.22869599838432e-02, 5.65412764068378e-02, 5.01424526532149e-02 
8.88699167825506e-02, 6.48681300304058e-02, 5.45605470978076e-02 
9.54528735812581e-02, 7.20169649652487e-02, 5.87595205272628e-02 
1.02035830379966e-01, 7.86513877451728e-02, 6.44413225110522e-02 
1.08618787178673e-01, 8.39736203342452e-02, 6.69754641085243e-02 
1.15201743977381e-01, 8.79849117498004e-02, 7.01132696845220e-02 
1.21784700776088e-01, 9.31280386755960e-02, 7.44994848256290e-02 
1.28367657574795e-01, 1.03012986133377e-01, 7.73999728220387e-02 
1.34950614373503e-01, 1.09926457022355e-01, 8.20668302215622e-02 
1.41533571172210e-01, 1.19446667858995e-01, 9.16410300064273e-02 
1.48116527970918e-01, 1.28471916160259e-01, 1.01013662998580e-01 
1.54699484769625e-01, 1.35157454238685e-01, 1.07540895050025e-01 
1.61282441568333e-01, 1.41844166879166e-01, 1.14230047727162e-01 
1.67865398367040e-01, 1.49193494904578e-01, 1.22851450226957e-01 
1.74448355165748e-01, 1.64023070402359e-01, 1.29908085202736e-01 
1.81031311964455e-01, 1.81832645451765e-01, 1.38660206761483e-01 
1.87614268763163e-01, 1.93060871485866e-01, 1.53928888402244e-01 
1.94197225561870e-01, 2.00747665505091e-01, 1.63628012689102e-01 
2.00780182360577e-01, 2.14442739408729e-01, 1.72506978994797e-01 
2.07363139159285e-01, 2.28921633634061e-01, 1.84121197856388e-01 
2.13946095957992e-01, 2.41486054143664e-01, 1.93577734166537e-01 
2.20529052756700e-01, 2.56802439605179e-01, 2.02542514545689e-01 
2.27112009555407e-01, 2.79473068689431e-01, 2.18069578480496e-01 
2.33694966354115e-01, 3.02504163463988e-01, 2.34909740955376e-01 
2.40277923152822e-01, 3.22693378128357e-01, 2.50829486967069e-01 
2.46860879951529e-01, 3.42915874736761e-01, 2.67207105267176e-01 
2.53443836750237e-01, 3.62883387196267e-01, 2.83440105610231e-01 
2.60026793548944e-01, 3.82665664324643e-01, 3.01926484656520e-01 
2.66609750347652e-01, 4.15452930512918e-01, 3.25505481193230e-01 
2.73192707146359e-01, 4.62387105870524e-01, 3.58286283111982e-01 
2.79775663945067e-01, 5.00769169771019e-01, 3.88213615701653e-01 
2.86358620743774e-01, 5.35147525582061e-01, 4.16696586580296e-01 
2.92941577542482e-01, 5.75466895447233e-01, 4.46612087139265e-01 
2.99524534341189e-01, 6.20741903873461e-01, 4.77098675719288e-01 
3.06107491139897e-01, 6.63087065792864e-01, 5.09699077954793e-01 
3.12690447938604e-01, 7.33157565228759e-01, 5.63532827833904e-01 
3.19273404737311e-01, 8.22291908552899e-01, 6.26726989591906e-01 
3.25856361536019e-01, 8.80755978038576e-01, 6.75035424554206e-01 
