Strain, Tx, Tz 
-1.59963257649306e-01, -1.06691220344368e-01, -3.97074220076162e-02 
-1.52853779531559e-01, -9.92796844272051e-02, -3.67412812974532e-02 
-1.45744301413812e-01, -9.20055552266552e-02, -3.48074865371105e-02 
-1.38634823296065e-01, -8.56969175430411e-02, -3.44223339105871e-02 
-1.31525345178318e-01, -8.08790627133046e-02, -3.16592159675547e-02 
-1.24415867060571e-01, -7.60293974830391e-02, -2.89531218732329e-02 
-1.17306388942825e-01, -7.03111004473029e-02, -2.68718192321300e-02 
-1.10196910825078e-01, -6.61149524305085e-02, -2.47663075124699e-02 
-1.03087432707331e-01, -6.20004328862482e-02, -2.26800217474859e-02 
-9.59779545895837e-02, -5.80813919208649e-02, -2.00305703569292e-02 
-8.88684764718368e-02, -5.49917809592838e-02, -1.69800838139919e-02 
-8.17589983540899e-02, -5.01664549512717e-02, -1.65465412293326e-02 
-7.46495202363429e-02, -4.56975485911531e-02, -1.66910023249781e-02 
-6.75400421185959e-02, -4.14077962911146e-02, -1.39702348131006e-02 
-6.04305640008490e-02, -3.63780481103143e-02, -1.14558297317097e-02 
-5.33210858831021e-02, -3.23939893538612e-02, -1.04873415094349e-02 
-4.62116077653551e-02, -2.90654177399180e-02, -9.71132679434336e-03 
-3.91021296476082e-02, -2.47871248997022e-02, -7.66644959852558e-03 
-3.19926515298613e-02, -1.99538336815057e-02, -5.60362096017070e-03 
-2.48831734121143e-02, -1.60337950938378e-02, -4.16466825703341e-03 
-1.77736952943674e-02, -1.21251777674708e-02, -3.41246735001821e-03 
-1.06642171766204e-02, -3.78781032658828e-03, -2.45388419020018e-03 
-3.55473905887344e-03, -1.23150429819734e-03, -9.62938158837047e-04 
3.55473905887350e-03, 1.23150429819736e-03, 9.62938158837047e-04 
1.06642171766204e-02, 5.98016625422455e-03, 1.59803172022297e-03 
1.77736952943674e-02, 1.09722984032480e-02, 2.20204503916431e-03 
2.48831734121143e-02, 1.42330925646593e-02, 3.03036248994547e-03 
3.19926515298613e-02, 2.09853611982470e-02, 1.24390273773468e-03 
3.91021296476081e-02, 2.68967992743900e-02, 1.01002029021417e-03 
4.62116077653551e-02, 2.98889748639424e-02, 3.75789935372572e-03 
5.33210858831020e-02, 3.30974787670297e-02, 3.04500960242268e-03 
6.04305640008490e-02, 3.82338404006592e-02, 4.43123567618528e-04 
6.75400421185960e-02, 4.63794680372900e-02, 8.36627461406970e-04 
7.46495202363429e-02, 5.13219490292331e-02, 3.43958589228611e-03 
8.17589983540899e-02, 5.45693640580599e-02, 4.06346539182415e-03 
8.88684764718368e-02, 6.38756368882836e-02, 1.09766435838169e-03 
9.59779545895837e-02, 7.66270555358160e-02, -1.88303528485738e-03 
1.03087432707331e-01, 8.43632726642573e-02, -1.37228057265092e-03 
1.10196910825078e-01, 9.18994719996887e-02, -1.62467628040099e-03 
1.17306388942825e-01, 1.02964820051115e-01, -2.05631521572300e-03 
1.24415867060571e-01, 1.14279053487585e-01, -2.53847177735242e-03 
1.31525345178318e-01, 1.25079969611539e-01, -2.26402483720009e-03 
1.38634823296065e-01, 1.38369742104355e-01, -3.64481282520086e-03 
1.45744301413812e-01, 1.50415009254274e-01, -5.07113677234439e-03 
1.52853779531559e-01, 1.63861700752606e-01, -5.17937650835992e-03 
1.59963257649306e-01, 1.78840707328175e-01, -3.46932145253779e-03 
1.67072735767053e-01, 1.95040346031158e-01, -1.19223426096670e-03 
1.74182213884800e-01, 2.10958908866389e-01, 2.25192682365676e-04 
1.81291692002547e-01, 2.35693581545050e-01, 1.70070013594543e-03 
1.88401170120294e-01, 2.62709735322414e-01, 4.49471665690832e-03 
