Strain, Tx, Tz 
-4.03607527944288e-01, -8.16771981562224e-01, 1.38710292366221e-01 
-3.95453840511070e-01, -7.16847386373537e-01, 1.12277471882830e-01 
-3.87300153077852e-01, -6.78726321120805e-01, 1.04912934724515e-01 
-3.79146465644634e-01, -6.10784337515629e-01, 8.75308361510563e-02 
-3.70992778211416e-01, -5.50269025368206e-01, 6.99339168473006e-02 
-3.62839090778198e-01, -5.12395404961725e-01, 6.38645081983329e-02 
-3.54685403344981e-01, -4.80648922555346e-01, 5.44685682378007e-02 
-3.46531715911763e-01, -4.43904185072098e-01, 4.00319798397962e-02 
-3.38378028478545e-01, -4.00636861287009e-01, 3.11668855810992e-02 
-3.30224341045327e-01, -3.55363722500564e-01, 2.45895052918764e-02 
-3.22070653612109e-01, -3.38907848740464e-01, 1.85661612972754e-02 
-3.13916966178891e-01, -3.22723263608452e-01, 1.54239011459213e-02 
-3.05763278745673e-01, -2.91479054604101e-01, 1.59526046792655e-02 
-2.97609591312455e-01, -2.68890788702645e-01, 1.37874379061534e-02 
-2.89455903879237e-01, -2.49090203234935e-01, 9.65016177667513e-03 
-2.81302216446019e-01, -2.28274490279918e-01, 5.79019453293069e-03 
-2.73148529012801e-01, -2.16194841431544e-01, 5.11539673750354e-03 
-2.64994841579583e-01, -2.05704810257973e-01, 3.86222322419374e-03 
-2.56841154146365e-01, -1.91799034216520e-01, 1.15241759198218e-03 
-2.48687466713147e-01, -1.66334417661488e-01, 4.75694452108614e-04 
-2.40533779279929e-01, -1.59873014503314e-01, -2.60998018079314e-03 
-2.32380091846711e-01, -1.52624045676662e-01, -4.29030886860049e-03 
-2.24226404413493e-01, -1.42861941945390e-01, -3.84349875754321e-03 
-2.16072716980275e-01, -1.31884848987187e-01, -1.64060720750337e-03 
-2.07919029547058e-01, -1.20737816334944e-01, -2.69789144419672e-03 
-1.99765342113840e-01, -1.11607102199069e-01, -5.23328495381906e-03 
-1.91611654680622e-01, -1.06279665756363e-01, -2.76282654503629e-03 
-1.83457967247404e-01, -1.00659215845966e-01, -4.01591226528487e-03 
-1.75304279814186e-01, -9.45874153177650e-02, -7.72875578767935e-03 
-1.67150592380968e-01, -8.87899369903638e-02, -3.84031694257228e-03 
-1.58996904947750e-01, -8.11646598033879e-02, -4.82650439603542e-03 
-1.50843217514532e-01, -7.15713178542931e-02, -6.41160080784034e-03 
-1.42689530081314e-01, -6.76118827860674e-02, -6.72023683786150e-03 
-1.34535842648096e-01, -6.70851609322996e-02, -4.86992265521963e-03 
-1.26382155214878e-01, -5.85711930422371e-02, -3.82563560427055e-03 
-1.18228467781660e-01, -5.48656148016544e-02, -5.60600283541982e-03 
-1.10074780348442e-01, -4.53600393175603e-02, -2.85718073468676e-03 
-1.01921092915224e-01, -4.02587901283055e-02, -2.12757205405881e-03 
-9.37674054820063e-02, -4.16861691384220e-02, -4.11567626624843e-03 
-8.56137180487884e-02, -4.05665937197444e-02, -4.68518588408056e-03 
-7.74600306155705e-02, -3.35191521188421e-02, -3.20189743264963e-03 
-6.93063431823525e-02, -2.74080340736200e-02, -1.66089159297469e-03 
-6.11526557491346e-02, -2.62459136327125e-02, -2.13431782617988e-03 
-5.29989683159166e-02, -2.29918361250213e-02, -1.62502741766939e-03 
-4.48452808826987e-02, -1.61349821348064e-02, -7.85029482681070e-05 
-3.66915934494807e-02, -1.67111687786366e-02, -3.40267884381288e-03 
-2.85379060162628e-02, -1.28077241099907e-02, -2.99789306777704e-03 
