Strain, Fx, Fz 
-3.51915314273354e-01, -4.71967830610749e-02, -2.89400007841585e-03 
-3.44805913985003e-01, -4.29878607558654e-02, -3.39477046973114e-03 
-3.37696513696653e-01, -4.02173085243441e-02, -4.59814237006618e-03 
-3.30587113408302e-01, -3.71032849711441e-02, -5.18046219928652e-03 
-3.23477713119952e-01, -3.43808726663362e-02, -5.93333343770629e-03 
-3.16368312831601e-01, -3.26012722704377e-02, -6.39459805349002e-03 
-3.09258912543250e-01, -3.03462013573180e-02, -6.93855034044056e-03 
-3.02149512254900e-01, -2.80176758102188e-02, -7.40383405928246e-03 
-2.95040111966549e-01, -2.55825669417382e-02, -7.82143328830647e-03 
-2.87930711678199e-01, -2.38699648654432e-02, -8.16165389797723e-03 
-2.80821311389848e-01, -2.25629611030507e-02, -8.47222167064645e-03 
-2.73711911101498e-01, -2.13963942566368e-02, -8.76458972310001e-03 
-2.66602510813147e-01, -2.01114777951685e-02, -8.74973090051579e-03 
-2.59493110524796e-01, -1.86359143509857e-02, -8.56571021386182e-03 
-2.52383710236446e-01, -1.77692667387037e-02, -8.48737182183103e-03 
-2.45274309948095e-01, -1.69184469527985e-02, -8.47979488302672e-03 
-2.38164909659745e-01, -1.62214028347147e-02, -8.64112946693728e-03 
-2.31055509371394e-01, -1.52801589972559e-02, -8.56688314119415e-03 
-2.23946109083043e-01, -1.41783447142104e-02, -8.32205853317629e-03 
-2.16836708794693e-01, -1.34413364432049e-02, -8.24573984384128e-03 
-2.09727308506342e-01, -1.26506942515077e-02, -8.18362045987565e-03 
-2.02617908217992e-01, -1.20674679973361e-02, -8.03882303558353e-03 
-1.95508507929641e-01, -1.15947744472739e-02, -7.85134084364351e-03 
-1.88399107641290e-01, -1.11820517839534e-02, -7.68286206599477e-03 
-1.81289707352940e-01, -1.06036570521795e-02, -7.53319731276827e-03 
-1.74180307064589e-01, -9.88848033940522e-03, -7.21761217922307e-03 
-1.67070906776239e-01, -9.19764773734820e-03, -6.89812385037370e-03 
-1.59961506487888e-01, -8.81451939178030e-03, -6.61175734427587e-03 
-1.52852106199538e-01, -8.56471948187659e-03, -6.39057898597420e-03 
-1.45742705911187e-01, -8.24792697949774e-03, -6.34257778869749e-03 
-1.38633305622836e-01, -7.87103926360588e-03, -6.11980400188707e-03 
-1.31523905334486e-01, -7.22804239293918e-03, -5.55731595344848e-03 
-1.24414505046135e-01, -6.47339278289432e-03, -5.21245684741019e-03 
-1.17305104757785e-01, -6.01746937144630e-03, -4.92534745925401e-03 
-1.10195704469434e-01, -5.76722936534772e-03, -4.62258705669603e-03 
-1.03086304181083e-01, -5.32854460565251e-03, -4.40491290726304e-03 
-9.59769038927329e-02, -4.86171150814192e-03, -4.20132734834680e-03 
-8.88675036043823e-02, -4.73920486543023e-03, -3.65734552474398e-03 
-8.17581033160317e-02, -4.52216759409084e-03, -3.14111795141355e-03 
-7.46487030276811e-02, -4.25497517920451e-03, -3.10767139566900e-03 
-6.75393027393306e-02, -3.96944985949060e-03, -2.73721001341245e-03 
