Strain, Tz 
-1.07939058945181e-01, -1.30094135483300e+00 
-1.05758471895783e-01, -1.25098758560749e+00 
-1.03577884846386e-01, -1.19321242777466e+00 
-1.01397297796988e-01, -1.10736050620277e+00 
-9.92167107475907e-02, -1.04640641954672e+00 
-9.70361236981931e-02, -9.88235249727116e-01 
-9.48555366487955e-02, -9.40210051809779e-01 
-9.26749495993979e-02, -8.94289818776134e-01 
-9.04943625500003e-02, -8.51808955183845e-01 
-8.83137755006027e-02, -8.09975818487556e-01 
-8.61331884512051e-02, -7.68779689871744e-01 
-8.39526014018075e-02, -7.37805498808971e-01 
-8.17720143524099e-02, -7.10858758445378e-01 
-7.95914273030123e-02, -6.84494744751248e-01 
-7.74108402536147e-02, -6.59233401263303e-01 
-7.52302532042171e-02, -6.24448313491400e-01 
-7.30496661548195e-02, -5.86696273073852e-01 
-7.08690791054219e-02, -5.48238004426294e-01 
-6.86884920560243e-02, -5.09243684856960e-01 
-6.65079050066267e-02, -4.76715867497599e-01 
-6.43273179572291e-02, -4.56738441094307e-01 
-6.21467309078315e-02, -4.38550017925825e-01 
-5.99661438584339e-02, -4.20558402488551e-01 
-5.77855568090363e-02, -4.02820586886316e-01 
-5.56049697596387e-02, -3.86528446954288e-01 
-5.34243827102411e-02, -3.71252101614803e-01 
-5.12437956608435e-02, -3.56550898177827e-01 
-4.90632086114460e-02, -3.42021525511540e-01 
-4.68826215620484e-02, -3.27513311896172e-01 
-4.47020345126507e-02, -3.12468161399261e-01 
-4.25214474632531e-02, -2.96932300322140e-01 
-4.03408604138556e-02, -2.80384024476325e-01 
-3.81602733644580e-02, -2.63679381299120e-01 
-3.59796863150604e-02, -2.46328956436212e-01 
-3.37990992656628e-02, -2.28946655118539e-01 
-3.16185122162652e-02, -2.11968938539219e-01 
-2.94379251668676e-02, -1.95497635204218e-01 
-2.72573381174700e-02, -1.79031722133933e-01 
-2.50767510680724e-02, -1.63278037133499e-01 
-2.28961640186748e-02, -1.51168578396041e-01 
-2.07155769692772e-02, -1.35290042416786e-01 
-1.85349899198796e-02, -1.17170794574466e-01 
-1.63544028704820e-02, -9.88107842065746e-02 
-1.41738158210844e-02, -8.00504581474230e-02 
-1.19932287716868e-02, -6.56861148389949e-02 
-9.81264172228920e-03, -5.52005176696926e-02 
-7.63205467289161e-03, -4.46264414869280e-02 
-5.45146762349401e-03, -3.40724137175944e-02 
-3.27088057409641e-03, -2.28701218983329e-02 
-1.09029352469881e-03, -7.92212718990549e-03 
1.09029352469878e-03, 7.92212718990534e-03 
3.27088057409637e-03, 2.42751129627826e-02 
5.45146762349398e-03, 4.27377657480090e-02 
7.63205467289157e-03, 6.52711193435704e-02 
9.81264172228916e-03, 8.53234533339286e-02 
1.19932287716868e-02, 1.05489979034303e-01 
1.41738158210844e-02, 1.25484116249626e-01 
1.63544028704820e-02, 1.43660069209099e-01 
1.85349899198796e-02, 1.60505052084496e-01 
2.07155769692772e-02, 1.76298055065207e-01 
2.28961640186748e-02, 1.92140228548087e-01 
2.50767510680724e-02, 2.07930131689803e-01 
2.72573381174699e-02, 2.24388848885638e-01 
2.94379251668675e-02, 2.41170622246087e-01 
3.16185122162651e-02, 2.58105156249132e-01 
3.37990992656627e-02, 2.75227050209528e-01 
3.59796863150603e-02, 2.92354587760518e-01 
3.81602733644579e-02, 3.09951112210813e-01 
4.03408604138555e-02, 3.30774352157138e-01 
4.25214474632531e-02, 3.53266366543115e-01 
4.47020345126507e-02, 3.75993664360465e-01 
4.68826215620483e-02, 3.99641527727841e-01 
4.90632086114459e-02, 4.26914954896602e-01 
5.12437956608435e-02, 4.66565553494400e-01 
5.34243827102411e-02, 5.07704581892468e-01 
5.56049697596387e-02, 5.50816738382112e-01 
5.77855568090363e-02, 6.09100132907017e-01 
5.99661438584339e-02, 6.76413847451433e-01 
6.21467309078315e-02, 7.43727561995847e-01 
6.43273179572291e-02, 8.36711714444518e-01 
6.65079050066267e-02, 9.50513875139007e-01 
6.86884920560243e-02, 1.06766620706645e+00 
7.08690791054219e-02, 1.18929340093649e+00 
7.30496661548195e-02, 1.28025660183404e+00 
7.52302532042171e-02, 1.37550959370404e+00 
7.74108402536147e-02, 1.47415908107054e+00 
7.95914273030123e-02, 1.60255218822428e+00 
8.17720143524099e-02, 1.74568190078698e+00 
8.39526014018075e-02, 1.94097695471937e+00 
8.61331884512051e-02, 2.15897575612253e+00 
8.83137755006027e-02, 2.37892205464603e+00 
9.04943625500003e-02, 2.59206611526650e+00 
9.26749495993978e-02, 2.78572317426963e+00 
9.48555366487954e-02, 2.97682045074600e+00 
9.70361236981930e-02, 3.17360686540377e+00 
9.92167107475906e-02, 3.42299895294255e+00 
1.01397297796988e-01, 3.71569268417037e+00 
1.03577884846386e-01, 3.97523245136714e+00 
1.05758471895783e-01, 4.23129123941896e+00 
1.07939058945181e-01, 4.50256352100448e+00 
