Strain, Tz 
-1.00912903918940e-01, -5.16236439294125e+00 
-9.88742593953249e-02, -4.77483898627322e+00 
-9.68356148717099e-02, -4.50160273335402e+00 
-9.47969703480950e-02, -4.11124551313787e+00 
-9.27583258244800e-02, -3.86170582087949e+00 
-9.07196813008651e-02, -3.61859265790082e+00 
-8.86810367772501e-02, -3.36690069000806e+00 
-8.66423922536352e-02, -3.10543465622758e+00 
-8.46037477300202e-02, -2.78005014620202e+00 
-8.25651032064053e-02, -2.45774860210478e+00 
-8.05264586827904e-02, -2.21520619615765e+00 
-7.84878141591754e-02, -2.05571963810346e+00 
-7.64491696355605e-02, -1.92556108709237e+00 
-7.44105251119455e-02, -1.79733983122936e+00 
-7.23718805883306e-02, -1.69529227880467e+00 
-7.03332360647156e-02, -1.59564465251050e+00 
-6.82945915411007e-02, -1.51071328852016e+00 
-6.62559470174858e-02, -1.42733085014900e+00 
-6.42173024938708e-02, -1.34325648138238e+00 
-6.21786579702559e-02, -1.25935457878764e+00 
-6.01400134466409e-02, -1.17117581568634e+00 
-5.81013689230260e-02, -1.07541278457311e+00 
-5.60627243994110e-02, -9.79776784606211e-01 
-5.40240798757961e-02, -8.85752242659544e-01 
-5.19854353521811e-02, -7.86737338147983e-01 
-4.99467908285662e-02, -7.02977980022945e-01 
-4.79081463049512e-02, -6.42915825357698e-01 
-4.58695017813363e-02, -5.82178915084161e-01 
-4.38308572577213e-02, -5.29683252789256e-01 
-4.17922127341064e-02, -4.91107262658116e-01 
-3.97535682104915e-02, -4.52306525902780e-01 
-3.77149236868765e-02, -4.15820874866633e-01 
-3.56762791632616e-02, -3.79465229627922e-01 
-3.36376346396466e-02, -3.47850334792289e-01 
-3.15989901160317e-02, -3.17903598111356e-01 
-2.95603455924167e-02, -2.95788932022065e-01 
-2.75217010688018e-02, -2.74306564997373e-01 
-2.54830565451868e-02, -2.52678351831918e-01 
-2.34444120215719e-02, -2.30140610988504e-01 
-2.14057674979569e-02, -2.07455934239307e-01 
-1.93671229743420e-02, -1.81781911006301e-01 
-1.73284784507271e-02, -1.54985795104607e-01 
-1.52898339271121e-02, -1.27924577912728e-01 
-1.32511894034971e-02, -1.00013052683906e-01 
-1.12125448798822e-02, -7.45681136804886e-02 
-9.17390035626727e-03, -5.81672440549721e-02 
-7.13525583265232e-03, -4.17663744294555e-02 
-5.09661130903737e-03, -2.88314324621997e-02 
-3.05796678542244e-03, -1.71969075355873e-02 
-1.01932226180749e-03, -5.76146863229723e-03 
1.01932226180746e-03, 5.76146863229708e-03 
3.05796678542241e-03, 1.76215294253137e-02 
5.09661130903736e-03, 2.96689793117345e-02 
7.13525583265229e-03, 4.21529473586682e-02 
9.17390035626724e-03, 5.42297703701812e-02 
1.12125448798822e-02, 6.71336431564780e-02 
1.32511894034971e-02, 8.03572579743292e-02 
1.52898339271121e-02, 9.56764629015650e-02 
1.73284784507270e-02, 1.10991100270033e-01 
1.93671229743420e-02, 1.27868018043688e-01 
2.14057674979569e-02, 1.46792726209317e-01 
2.34444120215719e-02, 1.65717434374946e-01 
2.54830565451868e-02, 1.83894104663314e-01 
2.75217010688018e-02, 2.01897705584986e-01 
2.95603455924167e-02, 2.19274963559145e-01 
3.15989901160316e-02, 2.35585273054481e-01 
3.36376346396466e-02, 2.51740685127506e-01 
3.56762791632615e-02, 2.67413302905266e-01 
3.77149236868765e-02, 2.83085920683027e-01 
3.97535682104914e-02, 2.95888085694096e-01 
4.17922127341064e-02, 3.08002163844795e-01 
4.38308572577213e-02, 3.20646149005274e-01 
4.58695017813363e-02, 3.34317203439372e-01 
4.79081463049512e-02, 3.47992126236320e-01 
4.99467908285661e-02, 3.63223782407407e-01 
5.19854353521811e-02, 3.80938033292409e-01 
5.40240798757961e-02, 3.99047207284139e-01 
5.60627243994110e-02, 4.18149545122342e-01 
5.81013689230260e-02, 4.36750467726323e-01 
6.01400134466409e-02, 4.55894414878806e-01 
6.21786579702558e-02, 4.75265465782630e-01 
6.42173024938708e-02, 5.05402581000898e-01 
6.62559470174857e-02, 5.38183111072181e-01 
6.82945915411007e-02, 5.73658211086960e-01 
7.03332360647156e-02, 6.26739301669864e-01 
7.23718805883306e-02, 6.79820392252769e-01 
7.44105251119455e-02, 7.24232218882099e-01 
7.64491696355604e-02, 7.65421644781294e-01 
7.84878141591754e-02, 7.98110011878694e-01 
8.05264586827903e-02, 8.30145307207771e-01 
8.25651032064053e-02, 8.63948381914835e-01 
8.46037477300202e-02, 8.99690106788122e-01 
8.66423922536352e-02, 9.43543581303066e-01 
8.86810367772501e-02, 9.88932057490887e-01 
9.07196813008651e-02, 1.03499183249535e+00 
9.27583258244800e-02, 1.08399441369742e+00 
9.47969703480949e-02, 1.13506075795507e+00 
9.68356148717099e-02, 1.19606831907352e+00 
9.88742593953249e-02, 1.26604191693102e+00 
1.00912903918940e-01, 1.37552434231199e+00 
