Strain, Tz 
-1.37182155816118e-01, -2.59271193276552e+00 
-1.34410799132964e-01, -2.40751864514918e+00 
-1.31639442449810e-01, -2.16432476244147e+00 
-1.28868085766656e-01, -1.98064904089763e+00 
-1.26096729083502e-01, -1.85275897660421e+00 
-1.23325372400348e-01, -1.71402867466237e+00 
-1.20554015717194e-01, -1.56206256417980e+00 
-1.17782659034040e-01, -1.38443151585851e+00 
-1.15011302350887e-01, -1.27984397510238e+00 
-1.12239945667733e-01, -1.19165494458794e+00 
-1.09468588984579e-01, -1.12406239951596e+00 
-1.06697232301425e-01, -1.07312155519615e+00 
-1.03925875618271e-01, -1.02197695919963e+00 
-1.01154518935117e-01, -9.65966967414825e-01 
-9.83831622519632e-02, -9.10505383205486e-01 
-9.56118055688093e-02, -8.49261587158561e-01 
-9.28404488856554e-02, -7.88430362216882e-01 
-9.00690922025015e-02, -7.32030108317736e-01 
-8.72977355193476e-02, -6.83763423366012e-01 
-8.45263788361937e-02, -6.37545636139432e-01 
-8.17550221530398e-02, -5.95721173806456e-01 
-7.89836654698859e-02, -5.57172060756129e-01 
-7.62123087867320e-02, -5.22356011601189e-01 
-7.34409521035782e-02, -4.88535422777844e-01 
-7.06695954204243e-02, -4.64318607215630e-01 
-6.78982387372704e-02, -4.40783873549672e-01 
-6.51268820541165e-02, -4.16408836947897e-01 
-6.23555253709626e-02, -3.88589824328464e-01 
-5.95841686878087e-02, -3.60781208626521e-01 
-5.68128120046548e-02, -3.31431091648727e-01 
-5.40414553215009e-02, -3.00505154010479e-01 
-5.12700986383470e-02, -2.76934161742712e-01 
-4.84987419551931e-02, -2.54183385972455e-01 
-4.57273852720392e-02, -2.32641979075721e-01 
-4.29560285888854e-02, -2.16012724999409e-01 
-4.01846719057314e-02, -1.99586165894340e-01 
-3.74133152225776e-02, -1.83178964008142e-01 
-3.46419585394237e-02, -1.66793985244545e-01 
-3.18706018562698e-02, -1.50814403206106e-01 
-2.90992451731159e-02, -1.36218488903714e-01 
-2.63278884899620e-02, -1.21622574601322e-01 
-2.35565318068081e-02, -1.06601672212500e-01 
-2.07851751236542e-02, -9.09851297534111e-02 
-1.80138184405003e-02, -7.41450749714066e-02 
-1.52424617573464e-02, -5.80994389820531e-02 
-1.24711050741925e-02, -4.37514299582253e-02 
-9.69974839103864e-03, -3.18695321411202e-02 
-6.92839170788474e-03, -2.09162088084532e-02 
-4.15703502473085e-03, -1.21830687676344e-02 
-1.38567834157698e-03, -3.66291707385354e-03 
1.38567834157692e-03, 3.66291707385337e-03 
4.15703502473084e-03, 1.09626709063590e-02 
6.92839170788473e-03, 1.80989541374145e-02 
9.69974839103862e-03, 2.51206499146924e-02 
1.24711050741925e-02, 3.26917424590786e-02 
1.52424617573464e-02, 4.06351162985572e-02 
1.80138184405003e-02, 4.99455220435602e-02 
2.07851751236542e-02, 5.97495002236141e-02 
2.35565318068081e-02, 7.34757669607134e-02 
2.63278884899620e-02, 8.82323497534411e-02 
2.90992451731158e-02, 1.01401549761365e-01 
3.18706018562697e-02, 1.15817488337506e-01 
3.46419585394236e-02, 1.30993623993026e-01 
3.74133152225775e-02, 1.47505056672398e-01 
4.01846719057314e-02, 1.63110859507359e-01 
4.29560285888853e-02, 1.73970119839452e-01 
4.57273852720392e-02, 1.85448648724697e-01 
4.84987419551931e-02, 1.96901061548903e-01 
5.12700986383470e-02, 2.08039217735331e-01 
5.40414553215009e-02, 2.19177373921759e-01 
5.68128120046548e-02, 2.30764553139460e-01 
5.95841686878087e-02, 2.43089053941912e-01 
6.23555253709626e-02, 2.55417125604042e-01 
6.51268820541164e-02, 2.68342983719636e-01 
6.78982387372703e-02, 2.82816781458513e-01 
7.06695954204242e-02, 2.98925312380307e-01 
7.34409521035781e-02, 3.20178386096247e-01 
7.62123087867320e-02, 3.41994016333628e-01 
7.89836654698859e-02, 3.70341956737580e-01 
8.17550221530398e-02, 3.98862235539995e-01 
8.45263788361937e-02, 4.25101349291967e-01 
8.72977355193476e-02, 4.49807526107929e-01 
9.00690922025015e-02, 4.73908639762599e-01 
9.28404488856553e-02, 4.95712195098107e-01 
9.56118055688093e-02, 5.18944845672429e-01 
9.83831622519631e-02, 5.59403567845751e-01 
1.01154518935117e-01, 6.00536554490157e-01 
1.03925875618271e-01, 6.64409279663068e-01 
1.06697232301425e-01, 7.37353674163296e-01 
1.09468588984579e-01, 7.98294277425849e-01 
1.12239945667733e-01, 8.55240204646495e-01 
1.15011302350887e-01, 8.98994242449546e-01 
1.17782659034040e-01, 9.46722246453093e-01 
1.20554015717194e-01, 9.99826410231354e-01 
1.23325372400348e-01, 1.05847472749386e+00 
1.26096729083502e-01, 1.11356393651364e+00 
1.28868085766656e-01, 1.16812913064861e+00 
1.31639442449810e-01, 1.23673070878418e+00 
1.34410799132964e-01, 1.31771865311832e+00 
1.37182155816118e-01, 1.41607991899481e+00 
