Strain, Fz 
-1.22406885869194e-01, -4.18030008965530e-01 
-1.19934019487998e-01, -3.85006835623591e-01 
-1.17461153106802e-01, -3.41758753044568e-01 
-1.14988286725606e-01, -3.05314098661290e-01 
-1.12515420344410e-01, -2.80180617363388e-01 
-1.10042553963215e-01, -2.61717989717229e-01 
-1.07569687582019e-01, -2.41813251775245e-01 
-1.05096821200823e-01, -2.21622139287287e-01 
-1.02623954819627e-01, -2.02829250275288e-01 
-1.00151088438431e-01, -1.85337742773938e-01 
-9.76782220572354e-02, -1.71576673518531e-01 
-9.52053556760395e-02, -1.58976600606734e-01 
-9.27324892948437e-02, -1.47096504671061e-01 
-9.02596229136478e-02, -1.39432181258278e-01 
-8.77867565324520e-02, -1.31917910304003e-01 
-8.53138901512562e-02, -1.24809712944854e-01 
-8.28410237700604e-02, -1.17804172749376e-01 
-8.03681573888645e-02, -1.11124080612663e-01 
-7.78952910076687e-02, -1.04727915082002e-01 
-7.54224246264729e-02, -9.83317495513404e-02 
-7.29495582452770e-02, -9.14266192120350e-02 
-7.04766918640812e-02, -8.43222904435308e-02 
-6.80038254828854e-02, -7.72587021004310e-02 
-6.55309591016895e-02, -7.20495946592739e-02 
-6.30580927204937e-02, -6.68719174520128e-02 
-6.05852263392979e-02, -6.26819315306448e-02 
-5.81123599581020e-02, -5.85929677510764e-02 
-5.56394935769062e-02, -5.48914361909812e-02 
-5.31666271957104e-02, -5.12888760986685e-02 
-5.06937608145146e-02, -4.76543653499298e-02 
-4.82208944333187e-02, -4.39362445084092e-02 
-4.57480280521229e-02, -4.03327674730461e-02 
-4.32751616709271e-02, -3.74038552679051e-02 
-4.08022952897312e-02, -3.44761312661067e-02 
-3.83294289085354e-02, -3.16983667956623e-02 
-3.58565625273396e-02, -2.90285571315696e-02 
-3.33836961461437e-02, -2.63210181281900e-02 
-3.09108297649479e-02, -2.41502224153477e-02 
-2.84379633837521e-02, -2.21240433459804e-02 
-2.59650970025562e-02, -2.00186696047720e-02 
-2.34922306213604e-02, -1.77670859351369e-02 
-2.10193642401646e-02, -1.55254433817046e-02 
-1.85464978589687e-02, -1.33981613455316e-02 
-1.60736314777729e-02, -1.13073100570511e-02 
-1.36007650965771e-02, -9.42895844923573e-03 
-1.11278987153813e-02, -7.70501631612702e-03 
-8.65503233418542e-03, -5.91801280706819e-03 
-6.18216595298959e-03, -4.16267652091228e-03 
-3.70929957179376e-03, -2.44661907766866e-03 
-1.23643319059793e-03, -8.16025156533519e-04 
1.23643319059790e-03, 8.16025156533501e-04 
3.70929957179375e-03, 2.14654257628963e-03 
6.18216595298957e-03, 3.19285876998067e-03 
8.65503233418540e-03, 4.23443300153245e-03 
1.11278987153812e-02, 5.26265342983943e-03 
1.36007650965771e-02, 6.29087385814642e-03 
1.60736314777729e-02, 7.83870449417212e-03 
1.85464978589687e-02, 9.44640670443467e-03 
2.10193642401645e-02, 1.11323011842239e-02 
2.34922306213604e-02, 1.28936395138694e-02 
2.59650970025562e-02, 1.46405302487762e-02 
2.84379633837520e-02, 1.58383785566940e-02 
3.09108297649479e-02, 1.70311984200486e-02 
3.33836961461437e-02, 1.81733768222992e-02 
3.58565625273395e-02, 1.92684712274408e-02 
3.83294289085354e-02, 2.02279252838264e-02 
4.08022952897312e-02, 2.12596530315592e-02 
4.32751616709270e-02, 2.25425392434317e-02 
4.57480280521229e-02, 2.39076654662498e-02 
4.82208944333187e-02, 2.53956652816622e-02 
5.06937608145145e-02, 2.74028525817317e-02 
5.31666271957104e-02, 2.95007068551489e-02 
5.56394935769062e-02, 3.16674042393232e-02 
5.81123599581020e-02, 3.38038951715996e-02 
6.05852263392978e-02, 3.60183073743371e-02 
6.30580927204937e-02, 3.80578119000845e-02 
6.55309591016895e-02, 4.10452720487771e-02 
6.80038254828853e-02, 4.45155325969606e-02 
7.04766918640812e-02, 4.80104515157068e-02 
7.29495582452770e-02, 5.15110151015027e-02 
7.54224246264729e-02, 5.45135002789300e-02 
7.78952910076687e-02, 5.72068612483905e-02 
8.03681573888645e-02, 5.99002222178510e-02 
8.28410237700603e-02, 6.25576705082734e-02 
8.53138901512562e-02, 6.52017306670524e-02 
8.77867565324520e-02, 6.83142264725848e-02 
9.02596229136478e-02, 7.25626468501887e-02 
9.27324892948437e-02, 7.74304486538847e-02 
9.52053556760395e-02, 8.28855632344166e-02 
9.76782220572353e-02, 8.93534326460986e-02 
1.00151088438431e-01, 9.72876742889960e-02 
1.02623954819627e-01, 1.05369340380524e-01 
1.05096821200823e-01, 1.13633182274510e-01 
1.07569687582019e-01, 1.21308737958177e-01 
1.10042553963214e-01, 1.28943438660060e-01 
1.12515420344410e-01, 1.36742571072948e-01 
1.14988286725606e-01, 1.47150134266469e-01 
1.17461153106802e-01, 1.56637525559257e-01 
1.19934019487998e-01, 1.64263184813161e-01 
1.22406885869194e-01, 1.77258870148074e-01 
