Strain, Tx, Tz 
-3.44717770810532e-01, -4.46484699646960e+00, 3.65986987478978e+00 
-3.37753775440622e-01, -3.98666067967371e+00, 3.28965293539822e+00 
-3.30789780070713e-01, -3.62508125696848e+00, 2.99368022275462e+00 
-3.23825784700803e-01, -3.17952178415987e+00, 2.62861635343117e+00 
-3.16861789330893e-01, -2.91971137302149e+00, 2.42293900646636e+00 
-3.09897793960983e-01, -2.73355000976083e+00, 2.27650870143227e+00 
-3.02933798591074e-01, -2.56007103136599e+00, 2.13733365768861e+00 
-2.95969803221164e-01, -2.34973677064978e+00, 1.96790906171556e+00 
-2.89005807851254e-01, -2.07300817373637e+00, 1.75167962278223e+00 
-2.82041812481344e-01, -1.80614255581777e+00, 1.53972967016152e+00 
-2.75077817111435e-01, -1.65436875032869e+00, 1.41567414931580e+00 
-2.68113821741525e-01, -1.52721624771746e+00, 1.31370372247219e+00 
-2.61149826371615e-01, -1.40942398339982e+00, 1.22002541563786e+00 
-2.54185831001705e-01, -1.30613230775263e+00, 1.13364041350624e+00 
-2.47221835631796e-01, -1.17265818637813e+00, 1.01899543694361e+00 
-2.40257840261886e-01, -1.02096576553334e+00, 8.92262968502707e-01 
-2.33293844891976e-01, -9.40585130709688e-01, 8.29561235673484e-01 
-2.26329849522066e-01, -8.86375995755713e-01, 7.86259815920095e-01 
-2.19365854152157e-01, -8.33352032678403e-01, 7.37964545563012e-01 
-2.12401858782247e-01, -7.62855610076877e-01, 6.76962375597787e-01 
-2.05437863412337e-01, -7.01670781843418e-01, 6.26720174391363e-01 
-1.98473868042428e-01, -6.50714730336647e-01, 5.85889182148794e-01 
-1.91509872672518e-01, -5.91037614239435e-01, 5.33787817385509e-01 
-1.84545877302608e-01, -5.25523347446463e-01, 4.74815101524240e-01 
-1.77581881932698e-01, -4.84995973281011e-01, 4.40412860678829e-01 
-1.70617886562789e-01, -4.53320016604901e-01, 4.14426894941934e-01 
-1.63653891192879e-01, -4.22973330752612e-01, 3.91508196506703e-01 
-1.56689895822969e-01, -3.89937369597867e-01, 3.64070604457665e-01 
-1.49725900453059e-01, -3.63955129758055e-01, 3.38093687519387e-01 
-1.42761905083150e-01, -3.39142051433175e-01, 3.15098327582438e-01 
-1.35797909713240e-01, -3.07978185914130e-01, 2.87718611309631e-01 
-1.28833914343330e-01, -2.72831990829409e-01, 2.57049110888694e-01 
-1.21869918973420e-01, -2.50566266840025e-01, 2.37446511473784e-01 
-1.14905923603511e-01, -2.37488281106118e-01, 2.26597435817094e-01 
-1.07941928233601e-01, -2.20101998464727e-01, 2.11682344737672e-01 
-1.00977932863691e-01, -1.95307612681478e-01, 1.88823719457049e-01 
-9.40139374937815e-02, -1.71136541861606e-01, 1.66050661467872e-01 
-8.70499421238717e-02, -1.57301101993130e-01, 1.53553330668076e-01 
-8.00859467539619e-02, -1.46217600346471e-01, 1.44091746495836e-01 
-7.31219513840522e-02, -1.29255945902300e-01, 1.30860457966378e-01 
-6.61579560141425e-02, -1.15259724576377e-01, 1.20059227323617e-01 
-5.91939606442327e-02, -1.05079291031095e-01, 1.12445594935878e-01 
-5.22299652743230e-02, -9.26037737054257e-02, 1.02838125511698e-01 
-4.52659699044133e-02, -8.13923494232256e-02, 9.15767058313202e-02 
-3.83019745345035e-02, -7.57679317984052e-02, 8.37703003175310e-02 
-3.13379791645938e-02, -6.75947021128412e-02, 7.42733143953023e-02 
-2.43739837946840e-02, -4.90769981914029e-02, 5.93523501483398e-02 
-1.74099884247743e-02, -3.70719896286168e-02, 4.39979200429222e-02 
-1.04459930548646e-02, -2.60015271481116e-02, 2.91394056357211e-02 
-3.48199768495480e-03, -6.77623295483759e-03, 8.06447543032638e-03 
3.48199768495491e-03, 6.77623295483779e-03, -8.06447543032657e-03 
1.04459930548646e-02, 9.50199931854757e-03, -1.26667360116800e-02 
1.74099884247743e-02, 1.40191337143897e-02, -1.78077140326665e-02 
2.43739837946841e-02, 2.00121622561820e-02, -2.20568023187281e-02 
3.13379791645939e-02, 2.83985570662037e-02, -2.49780225675497e-02 
3.83019745345036e-02, 3.91561114939975e-02, -3.09886525659605e-02 
4.52659699044133e-02, 5.65027949210306e-02, -4.13809542848647e-02 
5.22299652743230e-02, 6.77283200085797e-02, -4.46732083356193e-02 
5.91939606442328e-02, 7.39530951848748e-02, -4.72676126960587e-02 
6.61579560141426e-02, 7.98257144953075e-02, -5.20280705084332e-02 
7.31219513840523e-02, 8.80046793336651e-02, -5.63695128800938e-02 
8.00859467539620e-02, 9.66145102883110e-02, -5.96873740692202e-02 
8.70499421238718e-02, 1.04879555199613e-01, -6.46033707887213e-02 
9.40139374937815e-02, 1.16103789345358e-01, -7.01069905749303e-02 
1.00977932863691e-01, 1.32207458132462e-01, -7.32946923370051e-02 
1.07941928233601e-01, 1.43091172340398e-01, -7.57947409576869e-02 
1.14905923603511e-01, 1.50822351863081e-01, -7.78125018230893e-02 
1.21869918973421e-01, 1.58301565886311e-01, -8.10671412344937e-02 
1.28833914343330e-01, 1.68732135423929e-01, -8.42229740642644e-02 
1.35797909713240e-01, 1.82030168178114e-01, -8.72841011028549e-02 
1.42761905083150e-01, 1.98013862091875e-01, -8.94279858847126e-02 
1.49725900453059e-01, 2.19883782215842e-01, -9.22796740825036e-02 
1.56689895822969e-01, 2.36353023756436e-01, -9.73118623665404e-02 
1.63653891192879e-01, 2.50733834056866e-01, -9.88901541619961e-02 
1.70617886562789e-01, 2.66765693614832e-01, -9.78064271297792e-02 
1.77581881932698e-01, 2.81524073555372e-01, -9.87833086525498e-02 
1.84545877302608e-01, 3.04408880681259e-01, -9.93992409311575e-02 
1.91509872672518e-01, 3.40624315017649e-01, -1.00020043985706e-01 
1.98473868042428e-01, 3.70416555899525e-01, -9.88479010961592e-02 
2.05437863412337e-01, 3.90163913653135e-01, -9.66833234823188e-02 
2.12401858782247e-01, 4.12935750527153e-01, -9.39077362332882e-02 
2.19365854152157e-01, 4.42832764435882e-01, -8.98420794712415e-02 
2.26329849522067e-01, 4.68945146771089e-01, -8.60592403454463e-02 
2.33293844891976e-01, 5.02105196763244e-01, -7.96710021751377e-02 
2.40257840261886e-01, 5.59003128254048e-01, -6.14820789166797e-02 
2.47221835631796e-01, 6.22883579815961e-01, -3.90860059691504e-02 
2.54185831001705e-01, 6.82253389648272e-01, -1.56042637771156e-02 
2.61149826371615e-01, 7.22489606517508e-01, -2.39558833568130e-03 
2.68113821741525e-01, 7.62628871174399e-01, 1.04274668897454e-02 
2.75077817111435e-01, 8.30567018631592e-01, 3.22266984426890e-02 
2.82041812481344e-01, 9.38770256501032e-01, 6.49261479306807e-02 
2.89005807851254e-01, 1.04844435648822e+00, 9.65036440056668e-02 
2.95969803221164e-01, 1.16189629659128e+00, 1.27392615119720e-01 
3.02933798591074e-01, 1.27823552888061e+00, 1.62357717609566e-01 
3.09897793960983e-01, 1.38512989408437e+00, 1.95293968761265e-01 
3.16861789330893e-01, 1.50648627186234e+00, 2.30713401357736e-01 
3.23825784700803e-01, 1.66077613988041e+00, 2.79494178982442e-01 
3.30789780070713e-01, 1.88975270914394e+00, 3.57691203410002e-01 
3.37753775440622e-01, 2.05406957939583e+00, 4.13333513532485e-01 
3.44717770810532e-01, 2.23962822580976e+00, 4.84054299411913e-01 
