Strain, Tx, Tz 
-3.62101159044595e-01, -2.39284026587890e+00, 8.61465677682803e-01 
-3.54785984114402e-01, -2.15127251402080e+00, 7.61908410853225e-01 
-3.47470809184208e-01, -1.94317222237584e+00, 6.55796389660174e-01 
-3.40155634254014e-01, -1.81491096045742e+00, 5.92640376568975e-01 
-3.32840459323820e-01, -1.68138143950606e+00, 5.28803368454824e-01 
-3.25525284393626e-01, -1.55265454346190e+00, 4.68561414739873e-01 
-3.18210109463432e-01, -1.37556297515695e+00, 3.86568027139961e-01 
-3.10894934533238e-01, -1.21225394334528e+00, 3.13804736747057e-01 
-3.03579759603045e-01, -1.07822545094109e+00, 2.55795253968491e-01 
-2.96264584672851e-01, -9.97786143679592e-01, 2.23546051710179e-01 
-2.88949409742657e-01, -9.13658979689756e-01, 1.89990457270297e-01 
-2.81634234812463e-01, -7.93085547110452e-01, 1.37694620702623e-01 
-2.74319059882269e-01, -6.92190404014334e-01, 9.26749337689166e-02 
-2.67003884952075e-01, -6.37315888155788e-01, 7.07744459519018e-02 
-2.59688710021882e-01, -5.93955232067765e-01, 5.70087724805147e-02 
-2.52373535091688e-01, -5.53578685546974e-01, 4.29083009866603e-02 
-2.45058360161494e-01, -5.21082110015807e-01, 3.02850149406680e-02 
-2.37743185231300e-01, -4.85079349934205e-01, 1.65581880480985e-02 
-2.30428010301106e-01, -4.24931184284019e-01, -2.01833734766422e-03 
-2.23112835370912e-01, -3.95047855480241e-01, -1.06497053251543e-02 
-2.15797660440718e-01, -3.68473831857214e-01, -1.77585910349808e-02 
-2.08482485510525e-01, -3.37844617810947e-01, -2.23264742291007e-02 
-2.01167310580331e-01, -3.11683602139395e-01, -2.57925525283625e-02 
-1.93852135650137e-01, -2.92885860618854e-01, -2.94338701752737e-02 
-1.86536960719943e-01, -2.75521513070523e-01, -3.37994171279064e-02 
-1.79221785789749e-01, -2.54643414807301e-01, -3.73037455678785e-02 
-1.71906610859555e-01, -2.31213971758624e-01, -4.01724388513857e-02 
-1.64591435929362e-01, -2.08027355135241e-01, -4.24613229459445e-02 
-1.57276260999168e-01, -1.90572346308687e-01, -4.23848688478021e-02 
-1.49961086068974e-01, -1.80869313410429e-01, -3.79526955538370e-02 
-1.42645911138780e-01, -1.70422950894828e-01, -3.66197829036191e-02 
-1.35330736208586e-01, -1.58622425747648e-01, -3.79135930526415e-02 
-1.28015561278392e-01, -1.43419681903276e-01, -3.74371912823896e-02 
-1.20700386348198e-01, -1.30828197223365e-01, -3.47315446366320e-02 
-1.13385211418005e-01, -1.24873476931553e-01, -3.18165272609590e-02 
-1.06070036487811e-01, -1.13821241856092e-01, -3.10007013004064e-02 
-9.87548615576169e-02, -1.03811099270827e-01, -3.16944345354125e-02 
-9.14396866274231e-02, -9.70901729510114e-02, -2.84329532576504e-02 
-8.41245116972292e-02, -9.00480511813435e-02, -2.46698335274174e-02 
-7.68093367670354e-02, -8.35637674048144e-02, -2.32229720718978e-02 
-6.94941618368415e-02, -7.35277413434614e-02, -1.94620603885594e-02 
-6.21789869066477e-02, -6.20148442702080e-02, -1.62288697057849e-02 
-5.48638119764539e-02, -5.46676445545400e-02, -1.57733061214691e-02 
-4.75486370462600e-02, -4.83526896205965e-02, -1.32749223166065e-02 
-4.02334621160661e-02, -4.05207584615513e-02, -7.53264730746771e-03 
-3.29182871858723e-02, -3.24468917012546e-02, -6.56170405894842e-03 
-2.56031122556784e-02, -2.51007508903258e-02, -5.67212575618541e-03 
-1.82879373254846e-02, -1.68684032325638e-02, -1.85509762524998e-03 
-1.09727623952908e-02, -9.34201523338387e-03, -6.58260525109897e-04 
-3.65758746509693e-03, -3.52169782992070e-03, -2.37309201301570e-03 
3.65758746509693e-03, 3.52169782992069e-03, 2.37309201301570e-03 
1.09727623952908e-02, 1.07801049290079e-02, 5.53878836021518e-03 
1.82879373254846e-02, 1.69119562605571e-02, 6.77166620977773e-03 
2.56031122556785e-02, 2.47257837321785e-02, 9.58558654388758e-03 
3.29182871858723e-02, 3.29765467654226e-02, 1.29677590696468e-02 
4.02334621160661e-02, 3.97796600174734e-02, 1.32793159952047e-02 
4.75486370462600e-02, 4.74984207747226e-02, 1.23800442514597e-02 
5.48638119764538e-02, 5.48401419055142e-02, 1.49537158621979e-02 
6.21789869066477e-02, 6.32651445377702e-02, 1.86496747129772e-02 
6.94941618368416e-02, 7.34688150553520e-02, 2.10765037793581e-02 
7.68093367670354e-02, 8.19733631847750e-02, 2.12938994216601e-02 
8.41245116972292e-02, 9.18709758292076e-02, 2.46893717486058e-02 
9.14396866274231e-02, 1.04062185601643e-01, 2.97107021746720e-02 
9.87548615576169e-02, 1.14190654382185e-01, 3.12921336890821e-02 
1.06070036487811e-01, 1.25419286721562e-01, 3.24221454814611e-02 
1.13385211418005e-01, 1.40864226063594e-01, 3.44584515566936e-02 
1.20700386348199e-01, 1.51760233454712e-01, 3.91354171726358e-02 
1.28015561278392e-01, 1.59561692025970e-01, 4.30988046131709e-02 
1.35330736208586e-01, 1.81936679943091e-01, 4.57682023035054e-02 
1.42645911138780e-01, 2.01490556272553e-01, 4.94311161765885e-02 
1.49961086068974e-01, 2.14953652254117e-01, 5.49609869206409e-02 
1.57276260999168e-01, 2.32047738494330e-01, 5.97055967939753e-02 
1.64591435929362e-01, 2.49667566343134e-01, 6.20678386694650e-02 
1.71906610859555e-01, 2.72419914733560e-01, 7.07498470917259e-02 
1.79221785789749e-01, 3.06228007771794e-01, 8.29641905887740e-02 
1.86536960719943e-01, 3.49318093464114e-01, 9.79847655078643e-02 
1.93852135650137e-01, 3.85086433343564e-01, 1.11676048826260e-01 
2.01167310580331e-01, 4.13801490952096e-01, 1.23099931150561e-01 
2.08482485510525e-01, 4.42231789951329e-01, 1.34358921932874e-01 
2.15797660440718e-01, 4.81868915894354e-01, 1.51614019365814e-01 
2.23112835370912e-01, 5.40527625659351e-01, 1.76882454717803e-01 
2.30428010301106e-01, 6.00964034920936e-01, 1.99751244092999e-01 
2.37743185231300e-01, 6.72732266029249e-01, 2.31759263151766e-01 
2.45058360161494e-01, 7.62583179058645e-01, 2.72242925312854e-01 
2.52373535091688e-01, 8.22062620616663e-01, 2.99653817885503e-01 
2.59688710021882e-01, 8.84594106270811e-01, 3.29195634084976e-01 
2.67003884952075e-01, 9.89306013701041e-01, 3.79864701582243e-01 
2.74319059882269e-01, 1.14329439626455e+00, 4.55222752122205e-01 
2.81634234812463e-01, 1.30806486093932e+00, 5.37027016535704e-01 
2.88949409742657e-01, 1.42479712241368e+00, 5.94807771155238e-01 
2.96264584672851e-01, 1.53473320550637e+00, 6.49744259133372e-01 
3.03579759603045e-01, 1.68232007782031e+00, 7.26960236276966e-01 
3.10894934533239e-01, 1.87100919468415e+00, 8.25974726898656e-01 
3.18210109463432e-01, 2.16381716215678e+00, 9.77380079367347e-01 
3.25525284393626e-01, 2.38702874755687e+00, 1.09498367508509e+00 
3.32840459323820e-01, 2.61508051306644e+00, 1.21862361377428e+00 
3.40155634254014e-01, 2.95405205790269e+00, 1.40472912155440e+00 
3.47470809184208e-01, 3.23462513950297e+00, 1.55580035247830e+00 
3.54785984114402e-01, 3.65383782158304e+00, 1.79423108828389e+00 
3.62101159044595e-01, 3.94589145202878e+00, 1.97140608758997e+00 
