Strain, Tx, Tz 
-3.25035064665492e-01, -1.44200104618719e+00, 4.43687042158294e-02 
-3.18468699722755e-01, -1.26569271720230e+00, 7.22504594310160e-03 
-3.11902334780017e-01, -1.18360926703343e+00, -1.17338038652861e-02 
-3.05335969837280e-01, -1.08340280841211e+00, -3.29820264609946e-02 
-2.98769604894543e-01, -9.71187688702598e-01, -5.65179000625918e-02 
-2.92203239951806e-01, -8.76588965014845e-01, -7.38794792149403e-02 
-2.85636875009069e-01, -8.04453184702526e-01, -8.23017832145610e-02 
-2.79070510066331e-01, -7.50649534682788e-01, -9.03022558978783e-02 
-2.72504145123594e-01, -7.02959090846960e-01, -9.81458955776212e-02 
-2.65937780180857e-01, -6.52104484070180e-01, -1.05294806462020e-01 
-2.59371415238120e-01, -5.99320220419267e-01, -1.10727618044218e-01 
-2.52805050295383e-01, -5.40983875838601e-01, -1.13435068148356e-01 
-2.46238685352645e-01, -4.96840655485172e-01, -1.14422003951318e-01 
-2.39672320409908e-01, -4.61699291384437e-01, -1.14185848607406e-01 
-2.33105955467171e-01, -4.21845082927042e-01, -1.13210482034646e-01 
-2.26539590524434e-01, -3.83465122776815e-01, -1.11365713580896e-01 
-2.19973225581696e-01, -3.60057100975764e-01, -1.08499527406759e-01 
-2.13406860638959e-01, -3.32492670437229e-01, -1.05465332920496e-01 
-2.06840495696222e-01, -3.01603047359826e-01, -1.02630173180648e-01 
-2.00274130753485e-01, -2.79589633372354e-01, -9.81408432015575e-02 
-1.93707765810748e-01, -2.60415166845639e-01, -9.64867141142089e-02 
-1.87141400868010e-01, -2.39194012951707e-01, -9.76019033171259e-02 
-1.80575035925273e-01, -2.25051856437933e-01, -9.40314113393610e-02 
-1.74008670982536e-01, -2.11913933553943e-01, -8.92380054699126e-02 
-1.67442306039799e-01, -1.93916892525453e-01, -8.46553894000088e-02 
-1.60875941097062e-01, -1.76497083258765e-01, -7.82060170186658e-02 
-1.54309576154324e-01, -1.63612708315157e-01, -7.28035175433181e-02 
-1.47743211211587e-01, -1.53007716180856e-01, -7.07341516500523e-02 
-1.41176846268850e-01, -1.41878699961763e-01, -6.88216959571859e-02 
-1.34610481326113e-01, -1.28585918853504e-01, -6.56749204756841e-02 
-1.28044116383376e-01, -1.20368572912243e-01, -6.10431879407764e-02 
-1.21477751440638e-01, -1.14527321908456e-01, -5.64311865065752e-02 
-1.14911386497901e-01, -1.07027624905384e-01, -5.35134974885537e-02 
-1.08345021555164e-01, -9.88092705648568e-02, -5.10468435825865e-02 
-1.01778656612427e-01, -9.08288685796705e-02, -4.81843481271090e-02 
-9.52122916696895e-02, -8.42703177280551e-02, -4.44528674777783e-02 
-8.86459267269523e-02, -7.76386132585626e-02, -4.12604263358507e-02 
-8.20795617842151e-02, -6.79640423915374e-02, -4.07048025275679e-02 
-7.55131968414779e-02, -6.39662738139038e-02, -3.82668249548009e-02 
-6.89468318987407e-02, -6.31021609159884e-02, -3.44669409437871e-02 
-6.23804669560035e-02, -5.74198122942362e-02, -2.94729131012675e-02 
-5.58141020132662e-02, -5.00120496529238e-02, -2.52922948579727e-02 
-4.92477370705291e-02, -4.45120408915963e-02, -2.46206201691078e-02 
-4.26813721277918e-02, -3.47101810754779e-02, -1.99882270541202e-02 
-3.61150071850546e-02, -2.17387392902677e-02, -1.29696465603362e-02 
-2.95486422423174e-02, -1.88403370449282e-02, -1.14540929040940e-02 
-2.29822772995803e-02, -1.62526322539999e-02, -1.05009540229198e-02 
-1.64159123568430e-02, -1.06355876497197e-02, -7.86705461195892e-03 
-9.84954741410583e-03, -7.01106676321216e-03, -4.71709916508299e-03 
-3.28318247136859e-03, -5.08118831002897e-03, -1.02769025521882e-03 
3.28318247136864e-03, 5.08118831002903e-03, 1.02769025521882e-03 
9.84954741410578e-03, 1.43790703830628e-02, 3.37109556856875e-03 
1.64159123568430e-02, 1.89549718529564e-02, 9.05015556371197e-03 
2.29822772995802e-02, 2.40083695643215e-02, 1.29939540316913e-02 
2.95486422423174e-02, 3.00809513884015e-02, 1.61045928445113e-02 
3.61150071850547e-02, 3.47767658689331e-02, 1.98901024226838e-02 
4.26813721277918e-02, 3.88794979481374e-02, 2.28696272963950e-02 
4.92477370705291e-02, 4.37166798731450e-02, 2.47236487394282e-02 
5.58141020132662e-02, 5.27824037809406e-02, 2.95599199950559e-02 
6.23804669560035e-02, 6.37294012178419e-02, 3.58852395969860e-02 
6.89468318987407e-02, 7.35964406880291e-02, 4.17788609572640e-02 
7.55131968414779e-02, 8.21383437603637e-02, 4.81162774180646e-02 
8.20795617842151e-02, 8.85192051944652e-02, 5.45517429208980e-02 
8.86459267269523e-02, 9.62117665778958e-02, 5.99264206686483e-02 
9.52122916696895e-02, 1.05728024755024e-01, 6.53423252952002e-02 
1.01778656612427e-01, 1.21609489468627e-01, 7.35362328962569e-02 
1.08345021555164e-01, 1.34059926801657e-01, 8.18460668335933e-02 
1.14911386497901e-01, 1.42281049802580e-01, 8.93373124563364e-02 
1.21477751440638e-01, 1.48534136177521e-01, 9.71161388441489e-02 
1.28044116383376e-01, 1.54073099759973e-01, 1.03511059873426e-01 
1.34610481326113e-01, 1.67155800144322e-01, 1.08464766177545e-01 
1.41176846268850e-01, 1.83279222369055e-01, 1.17118138214842e-01 
1.47743211211587e-01, 2.00693498859399e-01, 1.28408384760740e-01 
1.54309576154324e-01, 2.16989918977467e-01, 1.38404383019361e-01 
1.60875941097062e-01, 2.35428691991209e-01, 1.49974150534285e-01 
1.67442306039799e-01, 2.55178908573279e-01, 1.63778843788151e-01 
1.74008670982536e-01, 2.70806406761393e-01, 1.77196151541392e-01 
1.80575035925273e-01, 2.86056323141702e-01, 1.92319869928707e-01 
1.87141400868010e-01, 3.09194013838899e-01, 2.11132976996342e-01 
1.93707765810748e-01, 3.33014993312405e-01, 2.27120827983309e-01 
2.00274130753485e-01, 3.55098196969407e-01, 2.38848673459823e-01 
2.06840495696222e-01, 3.87191433103525e-01, 2.60243863361022e-01 
2.13406860638959e-01, 4.22036372737923e-01, 2.84317367292418e-01 
2.19973225581696e-01, 4.49987389505407e-01, 3.05056718017553e-01 
2.26539590524434e-01, 4.80399644500402e-01, 3.30160793710003e-01 
2.33105955467171e-01, 5.16472241125145e-01, 3.61098643311900e-01 
2.39672320409908e-01, 5.54450666101167e-01, 3.86817027140634e-01 
2.46238685352645e-01, 5.96306121016280e-01, 4.13718021547645e-01 
2.52805050295383e-01, 6.60476807841282e-01, 4.58870698876320e-01 
2.59371415238120e-01, 7.22369289270163e-01, 5.04280573737383e-01 
2.65937780180857e-01, 7.90935909165472e-01, 5.57325688427114e-01 
2.72504145123594e-01, 8.76148656961670e-01, 6.23817752911475e-01 
2.79070510066331e-01, 9.55767003105215e-01, 6.87381625788527e-01 
2.85636875009069e-01, 1.03019271137314e+00, 7.49876491037389e-01 
2.92203239951806e-01, 1.13640730986234e+00, 8.37807759084845e-01 
2.98769604894543e-01, 1.24682656232784e+00, 9.30514339991705e-01 
3.05335969837280e-01, 1.34946833497978e+00, 1.01879278158673e+00 
3.11902334780017e-01, 1.53427650696488e+00, 1.17897908051038e+00 
3.18468699722755e-01, 1.66399719895221e+00, 1.29424517538626e+00 
3.25035064665492e-01, 1.77161129102790e+00, 1.38487177555694e+00 
