Strain, Tz 
-1.19266730446448e-01, -2.48268863341845e+00 
-1.16857301548540e-01, -2.31156453812194e+00 
-1.14447872650632e-01, -2.19344900871478e+00 
-1.12038443752724e-01, -2.03737511862780e+00 
-1.09629014854816e-01, -1.94669915445449e+00 
-1.07219585956908e-01, -1.83751845984995e+00 
-1.04810157059000e-01, -1.72293676516626e+00 
-1.02400728161092e-01, -1.60381731257611e+00 
-9.99912992631838e-02, -1.48883881547198e+00 
-9.75818703652758e-02, -1.38247000976601e+00 
-9.51724414673677e-02, -1.30187367862940e+00 
-9.27630125694597e-02, -1.24117987303982e+00 
-9.03535836715516e-02, -1.18674338886946e+00 
-8.79441547736436e-02, -1.13384388881088e+00 
-8.55347258757355e-02, -1.08465898172071e+00 
-8.31252969778275e-02, -1.03557226830985e+00 
-8.07158680799194e-02, -9.94014733679403e-01 
-7.83064391820114e-02, -9.52525663389544e-01 
-7.58970102841034e-02, -9.11189072583676e-01 
-7.34875813861953e-02, -8.70003112126940e-01 
-7.10781524882873e-02, -8.28976283441234e-01 
-6.86687235903792e-02, -7.88822329390878e-01 
-6.62592946924712e-02, -7.48668375340522e-01 
-6.38498657945631e-02, -7.12235613528529e-01 
-6.14404368966551e-02, -6.75312673142101e-01 
-5.90310079987471e-02, -6.38383117133404e-01 
-5.66215791008390e-02, -5.96303088674293e-01 
-5.42121502029310e-02, -5.52993011232689e-01 
-5.18027213050229e-02, -5.08616032155894e-01 
-4.93932924071149e-02, -4.64474514973282e-01 
-4.69838635092068e-02, -4.24379286845671e-01 
-4.45744346112988e-02, -3.95309065892071e-01 
-4.21650057133908e-02, -3.67931980462733e-01 
-3.97555768154827e-02, -3.44357847831895e-01 
-3.73461479175747e-02, -3.20797795882830e-01 
-3.49367190196666e-02, -3.01902645253811e-01 
-3.25272901217586e-02, -2.84153276114491e-01 
-3.01178612238505e-02, -2.66585307712976e-01 
-2.77084323259425e-02, -2.48720715826341e-01 
-2.52990034280345e-02, -2.30881832929971e-01 
-2.28895745301264e-02, -2.07828665437108e-01 
-2.04801456322184e-02, -1.83747921731275e-01 
-1.80707167343103e-02, -1.57235824369003e-01 
-1.56612878364023e-02, -1.29055613148553e-01 
-1.32518589384942e-02, -1.00971091312841e-01 
-1.08424300405862e-02, -7.87447450283073e-02 
-8.43300114267815e-03, -5.65183987437733e-02 
-6.02357224477012e-03, -3.83506526665817e-02 
-3.61414334686207e-03, -2.23144563142635e-02 
-1.20471444895403e-03, -6.75809980305444e-03 
1.20471444895402e-03, 6.75809980305439e-03 
3.61414334686207e-03, 2.02742994091632e-02 
6.02357224477010e-03, 3.42995936922718e-02 
8.43300114267815e-03, 4.84998961731370e-02 
1.08424300405862e-02, 6.28700683673076e-02 
1.32518589384942e-02, 7.92455313703819e-02 
1.56612878364023e-02, 9.56922848237300e-02 
1.80707167343103e-02, 1.15012325375842e-01 
2.04801456322184e-02, 1.34686954135844e-01 
2.28895745301264e-02, 1.58064152355125e-01 
2.52990034280345e-02, 1.84703386116823e-01 
2.77084323259425e-02, 2.13831061240585e-01 
3.01178612238505e-02, 2.51091261830312e-01 
3.25272901217586e-02, 2.88351462420040e-01 
3.49367190196666e-02, 3.25970332022565e-01 
3.73461479175747e-02, 3.61380557627327e-01 
3.97555768154827e-02, 3.96440973162608e-01 
4.21650057133907e-02, 4.31432460110719e-01 
4.45744346112988e-02, 4.66943257786242e-01 
4.69838635092068e-02, 5.01684622866551e-01 
4.93932924071149e-02, 5.45322467276584e-01 
5.18027213050229e-02, 5.93529553935679e-01 
5.42121502029309e-02, 6.45031915761130e-01 
5.66215791008390e-02, 6.97107311657176e-01 
5.90310079987471e-02, 7.54396353283488e-01 
6.14404368966551e-02, 8.11685394909801e-01 
6.38498657945632e-02, 8.77790429001484e-01 
6.62592946924712e-02, 9.47729910764587e-01 
6.86687235903792e-02, 1.02009696467468e+00 
7.10781524882873e-02, 1.10099791817257e+00 
7.34875813861953e-02, 1.18189887167045e+00 
7.58970102841034e-02, 1.32801317755561e+00 
7.83064391820114e-02, 1.48529211877983e+00 
8.07158680799194e-02, 1.67040660137620e+00 
8.31252969778275e-02, 1.90498208960602e+00 
8.55347258757355e-02, 2.13675154861287e+00 
8.79441547736436e-02, 2.36220748283377e+00 
9.03535836715516e-02, 2.58912416951848e+00 
9.27630125694597e-02, 2.80787731745870e+00 
9.51724414673677e-02, 3.02825178126118e+00 
9.75818703652758e-02, 3.26984548042120e+00 
9.99912992631838e-02, 3.51776462973839e+00 
1.02400728161092e-01, 3.80825366654251e+00 
1.04810157059000e-01, 4.10406020469517e+00 
1.07219585956908e-01, 4.41042922959954e+00 
1.09629014854816e-01, 4.77765868438002e+00 
1.12038443752724e-01, 5.21588005642346e+00 
1.14447872650632e-01, 5.93836799355416e+00 
1.16857301548540e-01, 6.89874517852754e+00 
1.19266730446448e-01, 7.43612173667967e+00 
