Strain, Fz 
-1.10100245856736e-01, -2.93713739380008e-01 
-1.07875998465691e-01, -2.69437958530387e-01 
-1.05651751074646e-01, -2.49853742890575e-01 
-1.03427503683601e-01, -2.23746661678401e-01 
-1.01203256292555e-01, -1.97920036683670e-01 
-9.89790089015102e-02, -1.73371647866165e-01 
-9.67547615104651e-02, -1.59605205940625e-01 
-9.45305141194199e-02, -1.46870895848137e-01 
-9.23062667283747e-02, -1.37649053465639e-01 
-9.00820193373296e-02, -1.29017904324520e-01 
-8.78577719462844e-02, -1.20710172875997e-01 
-8.56335245552392e-02, -1.13588344723006e-01 
-8.34092771641940e-02, -1.07021692607319e-01 
-8.11850297731489e-02, -1.00528429383621e-01 
-7.89607823821037e-02, -9.40532019982163e-02 
-7.67365349910585e-02, -8.81622100593554e-02 
-7.45122876000133e-02, -8.28605066010167e-02 
-7.22880402089682e-02, -7.76192130418851e-02 
-7.00637928179230e-02, -7.24553258097736e-02 
-6.78395454268778e-02, -6.73206155634836e-02 
-6.56152980358326e-02, -6.30710469605397e-02 
-6.33910506447875e-02, -5.94330652388386e-02 
-6.11668032537423e-02, -5.57663492516088e-02 
-5.89425558626971e-02, -5.22224218442257e-02 
-5.67183084716519e-02, -4.86285253748020e-02 
-5.44940610806068e-02, -4.42406658171869e-02 
-5.22698136895616e-02, -3.94392252521734e-02 
-5.00455662985164e-02, -3.49351839729030e-02 
-4.78213189074713e-02, -3.00788842510291e-02 
-4.55970715164261e-02, -2.61168319564617e-02 
-4.33728241253809e-02, -2.31591179732562e-02 
-4.11485767343357e-02, -2.18833108701885e-02 
-3.89243293432905e-02, -2.06114898605676e-02 
-3.67000819522454e-02, -1.93136965171828e-02 
-3.44758345612002e-02, -1.80481469582712e-02 
-3.22515871701550e-02, -1.68548106203883e-02 
-3.00273397791098e-02, -1.57125425207083e-02 
-2.78030923880647e-02, -1.45724521783902e-02 
-2.55788449970195e-02, -1.34532095788805e-02 
-2.33545976059743e-02, -1.23615104372853e-02 
-2.11303502149291e-02, -1.12921929691694e-02 
-1.89061028238840e-02, -1.02951750891168e-02 
-1.66818554328388e-02, -9.26129443847379e-03 
-1.44576080417936e-02, -8.24520007299828e-03 
-1.22333606507484e-02, -6.82612755757775e-03 
-1.00091132597033e-02, -5.33350112414727e-03 
-7.78486586865810e-03, -3.92509050372582e-03 
-5.56061847761293e-03, -2.54165596733251e-03 
-3.33637108656776e-03, -1.49588414601745e-03 
-1.11212369552259e-03, -5.80733803330808e-04 
1.11212369552258e-03, 5.80733803330805e-04 
3.33637108656778e-03, 1.73871031922642e-03 
5.56061847761294e-03, 2.98184824900340e-03 
7.78486586865812e-03, 4.32726303051920e-03 
1.00091132597033e-02, 5.56351833022216e-03 
1.22333606507485e-02, 6.49663526972902e-03 
1.44576080417936e-02, 7.42582644050493e-03 
1.66818554328388e-02, 8.23823473485435e-03 
1.89061028238840e-02, 9.04867323665613e-03 
2.11303502149292e-02, 1.01090817492531e-02 
2.33545976059743e-02, 1.12203880599095e-02 
2.55788449970195e-02, 1.23604168625818e-02 
2.78030923880647e-02, 1.35236837007988e-02 
3.00273397791099e-02, 1.47614666450927e-02 
3.22515871701550e-02, 1.57216300335298e-02 
3.44758345612002e-02, 1.66890894806888e-02 
3.67000819522454e-02, 1.77532168267134e-02 
3.89243293432906e-02, 1.89233484816897e-02 
4.11485767343357e-02, 2.03315116889942e-02 
4.33728241253809e-02, 2.17989940534066e-02 
4.55970715164261e-02, 2.32676940924220e-02 
4.78213189074713e-02, 2.47086222845202e-02 
5.00455662985164e-02, 2.61927159338284e-02 
5.22698136895616e-02, 2.75144036652932e-02 
5.44940610806068e-02, 2.89801753375336e-02 
5.67183084716519e-02, 3.05532013180805e-02 
5.89425558626971e-02, 3.21724679180747e-02 
6.11668032537423e-02, 3.39133774643350e-02 
6.33910506447875e-02, 3.61213017423025e-02 
6.56152980358326e-02, 3.86988186043160e-02 
6.78395454268778e-02, 4.13431630633937e-02 
7.00637928179230e-02, 4.40957410734702e-02 
7.22880402089682e-02, 4.69150332453771e-02 
7.45122876000133e-02, 5.00685006557115e-02 
7.67365349910585e-02, 5.31890349607826e-02 
7.89607823821037e-02, 5.62869971154301e-02 
8.11850297731489e-02, 6.00268097211529e-02 
8.34092771641940e-02, 6.52063591043323e-02 
8.56335245552392e-02, 7.07127935229949e-02 
8.78577719462844e-02, 7.64270392627685e-02 
9.00820193373296e-02, 8.16963324662131e-02 
9.23062667283747e-02, 8.58351974291645e-02 
9.45305141194199e-02, 9.04545743718919e-02 
9.67547615104651e-02, 9.64414571201610e-02 
9.89790089015103e-02, 1.05384464266284e-01 
1.01203256292555e-01, 1.19445509783322e-01 
1.03427503683601e-01, 1.33547477685919e-01 
1.05651751074646e-01, 1.44385648744088e-01 
1.07875998465691e-01, 1.53190588889913e-01 
1.10100245856736e-01, 1.58944690569114e-01 
