Strain, Fx, Fz 
-3.52408541488708e-01, -2.56492927882226e-01, 2.73808485206608e-01 
-3.45289177014188e-01, -2.25337914038420e-01, 2.41210372986164e-01 
-3.38169812539669e-01, -2.00685600366430e-01, 2.13028863355543e-01 
-3.31050448065150e-01, -1.75605962498506e-01, 1.85467624324742e-01 
-3.23931083590630e-01, -1.56060809819039e-01, 1.64671954628110e-01 
-3.16811719116111e-01, -1.39163115814701e-01, 1.47111523281712e-01 
-3.09692354641592e-01, -1.26688325128227e-01, 1.33541928986782e-01 
-3.02572990167072e-01, -1.11632146731743e-01, 1.16738985130878e-01 
-2.95453625692553e-01, -9.40856883833342e-02, 9.69768680383864e-02 
-2.88334261218034e-01, -8.07212417860134e-02, 8.30671283572610e-02 
-2.81214896743514e-01, -7.18468113815146e-02, 7.38037076049978e-02 
-2.74095532268995e-01, -6.48298805650089e-02, 6.62255671611695e-02 
-2.66976167794476e-01, -5.90361509805242e-02, 5.96909494475300e-02 
-2.59856803319956e-01, -5.38622672513671e-02, 5.39178349761153e-02 
-2.52737438845437e-01, -4.75986059171797e-02, 4.68103187543700e-02 
-2.45618074370918e-01, -4.07857905446797e-02, 3.92362553371059e-02 
-2.38498709896398e-01, -3.61435183881635e-02, 3.41711345965384e-02 
-2.31379345421879e-01, -3.32496371863850e-02, 3.05328885706020e-02 
-2.24259980947360e-01, -3.00753365107414e-02, 2.68482525015620e-02 
-2.17140616472840e-01, -2.80082123781909e-02, 2.45134715420250e-02 
-2.10021251998321e-01, -2.55870832217093e-02, 2.18420658559305e-02 
-2.02901887523802e-01, -2.20340548733091e-02, 1.77854164781598e-02 
-1.95782523049282e-01, -1.92752982545121e-02, 1.50496188297155e-02 
-1.88663158574763e-01, -1.76721963917743e-02, 1.35195957259133e-02 
-1.81543794100243e-01, -1.61600359805915e-02, 1.19385073255322e-02 
-1.74424429625724e-01, -1.49001886560769e-02, 1.03884130472184e-02 
-1.67305065151205e-01, -1.39883554272856e-02, 9.04871947926240e-03 
-1.60185700676685e-01, -1.24846097331528e-02, 7.59422644340571e-03 
-1.53066336202166e-01, -1.07123917137684e-02, 6.04173514700312e-03 
-1.45946971727647e-01, -9.81352199593431e-03, 5.09951403334610e-03 
-1.38827607253127e-01, -9.05713213912844e-03, 4.17814762980960e-03 
-1.31708242778608e-01, -8.25569608917951e-03, 3.33998547402310e-03 
-1.24588878304089e-01, -7.61740824702103e-03, 2.85411846470109e-03 
-1.17469513829569e-01, -7.11606431450965e-03, 2.51179093752736e-03 
-1.10350149355050e-01, -6.66780163039776e-03, 2.36041528601828e-03 
-1.03230784880531e-01, -6.03272381049936e-03, 1.72875983901157e-03 
-9.61114204060113e-02, -5.21378107600453e-03, 8.80381556530051e-04 
-8.89920559314919e-02, -4.55231796867656e-03, 8.29054154437670e-04 
-8.18726914569725e-02, -4.03796056281879e-03, 7.16438923749070e-04 
-7.47533269824532e-02, -3.73420579202888e-03, 4.25048031500896e-04 
-6.76339625079338e-02, -3.48764127267673e-03, 1.68983617602564e-04 
-6.05145980334145e-02, -3.05476810884927e-03, -1.83596537965458e-04 
-5.33952335588952e-02, -2.69453613675653e-03, -1.57188937801263e-04 
-4.62758690843758e-02, -2.28180304445729e-03, -1.39863963019959e-04 
-3.91565046098564e-02, -1.81903090836260e-03, -2.22706586645506e-04 
-3.20371401353371e-02, -1.51231688406336e-03, -2.19780032945229e-04 
-2.49177756608177e-02, -1.24785553089081e-03, -1.97252826481958e-04 
-1.77984111862984e-02, -8.27824143858638e-04, -1.26362999831143e-04 
-1.06790467117790e-02, -4.81912052587514e-04, -7.73820851353996e-06 
-3.55968223725968e-03, -1.74751104914087e-04, 4.41313076934360e-05 
3.55968223725963e-03, 1.74751104914085e-04, -4.41313076934326e-05 
1.06790467117790e-02, 5.61044038295847e-04, -7.42660322256179e-05 
1.77984111862983e-02, 7.09658365977134e-04, -7.75829117916765e-05 
2.49177756608177e-02, 1.00151870006866e-03, 3.15231572142367e-05 
3.20371401353371e-02, 1.47414299783816e-03, 3.19520771663667e-04 
3.91565046098564e-02, 1.83159855763028e-03, 3.47674035450926e-04 
4.62758690843757e-02, 2.18358741990480e-03, 3.31215164219207e-04 
5.33952335588951e-02, 2.59339393549400e-03, 5.87827030999098e-04 
6.05145980334144e-02, 2.76379538595140e-03, 7.18840068050633e-04 
6.76339625079338e-02, 2.82996849144210e-03, 7.04478844931297e-04 
7.47533269824532e-02, 3.44131398958829e-03, 6.91850107356271e-04 
8.18726914569725e-02, 4.01241354684314e-03, 8.11151299170001e-04 
8.89920559314919e-02, 4.19289746481925e-03, 1.00379809261208e-03 
9.61114204060112e-02, 4.48806396804313e-03, 1.17275308839045e-03 
1.03230784880531e-01, 5.11423927828336e-03, 1.35486281135191e-03 
1.10350149355050e-01, 5.67319155850962e-03, 1.83243794721431e-03 
1.17469513829569e-01, 6.11478394049709e-03, 2.22111100253284e-03 
1.24588878304089e-01, 6.60940667477660e-03, 2.45582250816667e-03 
1.31708242778608e-01, 7.20954292382614e-03, 2.73966211606433e-03 
1.38827607253127e-01, 7.76258181029402e-03, 3.16516280200037e-03 
1.45946971727647e-01, 8.32255383686227e-03, 3.81855251787792e-03 
1.53066336202166e-01, 8.88654965319334e-03, 4.17806640560924e-03 
1.60185700676685e-01, 9.29871679943180e-03, 4.40964840717294e-03 
1.67305065151205e-01, 9.75742461614196e-03, 4.85260322196547e-03 
1.74424429625724e-01, 1.04559650114339e-02, 5.60162190303562e-03 
1.81543794100243e-01, 1.16025353337407e-02, 6.51276988025853e-03 
1.88663158574763e-01, 1.29565594356306e-02, 7.52335706579612e-03 
1.95782523049282e-01, 1.39915245044098e-02, 8.60006947706024e-03 
2.02901887523801e-01, 1.48884488521147e-02, 9.62183122862377e-03 
2.10021251998321e-01, 1.58395731216475e-02, 1.06356400594816e-02 
2.17140616472840e-01, 1.68973845916329e-02, 1.16619064432733e-02 
2.24259980947359e-01, 1.82613358622305e-02, 1.30376396943585e-02 
2.31379345421879e-01, 2.02004987789827e-02, 1.51258306923146e-02 
2.38498709896398e-01, 2.25778459075207e-02, 1.76176190047161e-02 
2.45618074370918e-01, 2.45305857862400e-02, 1.95196989953034e-02 
2.52737438845437e-01, 2.63903446710976e-02, 2.15144238229190e-02 
2.59856803319956e-01, 2.79143604105876e-02, 2.34675037505503e-02 
2.66976167794476e-01, 2.95343142826167e-02, 2.56296528286353e-02 
2.74095532268995e-01, 3.31490868889130e-02, 2.94065623321200e-02 
2.81214896743514e-01, 3.71575744592350e-02, 3.37579685020729e-02 
2.88334261218034e-01, 4.10335351464163e-02, 3.82816556438921e-02 
2.95453625692553e-01, 4.59993212486549e-02, 4.40738354933258e-02 
3.02572990167072e-01, 5.06145259006869e-02, 4.95812106349685e-02 
3.09692354641592e-01, 5.47873212740559e-02, 5.45687379108988e-02 
3.16811719116111e-01, 6.04018956957696e-02, 6.12114907491388e-02 
3.23931083590630e-01, 6.84571917308875e-02, 7.07099246531381e-02 
3.31050448065150e-01, 7.57920989052064e-02, 7.90414029474999e-02 
3.38169812539669e-01, 8.60896111281143e-02, 9.08941661180366e-02 
3.45289177014188e-01, 9.52144032444886e-02, 1.01603811743542e-01 
3.52408541488708e-01, 1.05629767068384e-01, 1.13981763284301e-01 
