Strain, Fx, Fz 
-3.35835687964864e-01, -2.88604101643435e-02, 8.37142406405397e-03 
-3.29051128612039e-01, -2.56426118188266e-02, 6.74529116646462e-03 
-3.22266569259213e-01, -2.39244151831402e-02, 5.92545056078649e-03 
-3.15482009906388e-01, -2.28233878513707e-02, 5.22561519900575e-03 
-3.08697450553562e-01, -2.20150757352544e-02, 4.70413309193287e-03 
-3.01912891200737e-01, -2.13884209751351e-02, 4.43747432830646e-03 
-2.95128331847911e-01, -2.06240928149214e-02, 4.12361375247723e-03 
-2.88343772495085e-01, -1.98056936544263e-02, 3.62984537438275e-03 
-2.81559213142260e-01, -1.87553093166767e-02, 3.03139345587878e-03 
-2.74774653789434e-01, -1.76376560093135e-02, 2.51022212239556e-03 
-2.67990094436609e-01, -1.66048453008369e-02, 2.07301803123950e-03 
-2.61205535083783e-01, -1.57336287201435e-02, 1.62266497517875e-03 
-2.54420975730958e-01, -1.49304566415415e-02, 1.26179776963720e-03 
-2.47636416378132e-01, -1.41518514583334e-02, 8.83750733390518e-04 
-2.40851857025307e-01, -1.34162783163705e-02, 6.04771626495752e-04 
-2.34067297672481e-01, -1.26818327080561e-02, 3.02642797857789e-04 
-2.27282738319656e-01, -1.19205460163446e-02, -1.69102452125289e-04 
-2.20498178966830e-01, -1.12085124698125e-02, -2.65056273991864e-04 
-2.13713619614004e-01, -1.06084575026448e-02, -4.44719322603470e-04 
-2.06929060261179e-01, -1.03694656375400e-02, -6.57915932308560e-04 
-2.00144500908353e-01, -1.00983261694661e-02, -7.57121784770491e-04 
-1.93359941555528e-01, -9.60808358652521e-03, -7.51536094095565e-04 
-1.86575382202702e-01, -8.97427186818262e-03, -8.60661539579271e-04 
-1.79790822849877e-01, -8.35643024913303e-03, -9.38017848134493e-04 
-1.73006263497051e-01, -7.81384195681411e-03, -8.96401730991047e-04 
-1.66221704144226e-01, -7.47494593204212e-03, -9.84642910918754e-04 
-1.59437144791400e-01, -7.22802328188235e-03, -1.12947555927590e-03 
-1.52652585438575e-01, -6.84220643997274e-03, -1.22226445601035e-03 
-1.45868026085749e-01, -6.28781766541012e-03, -1.31917713913277e-03 
-1.39083466732924e-01, -5.81639685601496e-03, -1.34221296736571e-03 
-1.32298907380098e-01, -5.56741451224004e-03, -1.31796088277655e-03 
-1.25514348027272e-01, -5.34474552778301e-03, -1.23571131645040e-03 
-1.18729788674447e-01, -4.75840451028063e-03, -1.18412676865722e-03 
-1.11945229321621e-01, -4.40450904357510e-03, -1.18321296736571e-03 
-1.05160669968796e-01, -4.47132303223993e-03, -1.18321296736571e-03 
-9.83761106159703e-02, -4.18007375878514e-03, -1.18321296736571e-03 
-9.15915512631448e-02, -3.41055994150800e-03, -1.13942468115696e-03 
-8.48069919103192e-02, -3.13861527303990e-03, -1.04425691885808e-03 
-7.80224325574937e-02, -3.19612285706365e-03, -9.22553105242623e-04 
-7.12378732046682e-02, -3.20580280275974e-03, -7.58331603281762e-04 
-6.44533138518427e-02, -2.86358363410886e-03, -7.59835840528286e-04 
-5.76687544990171e-02, -2.43120686353200e-03, -8.66411453951711e-04 
-5.08841951461915e-02, -2.13658760153427e-03, -8.93163358129402e-04 
-4.40996357933660e-02, -1.87524362566211e-03, -7.78667303502298e-04 
-3.73150764405405e-02, -1.57107181643019e-03, -5.48212967365709e-04 
-3.05305170877149e-02, -1.28079771229764e-03, -5.48212967365709e-04 
-2.37459577348894e-02, -9.44998614127463e-04, -5.48212967365709e-04 
-1.69613983820639e-02, -7.79291482339111e-04, -5.42805579355805e-04 
-1.01768390292383e-02, -5.64784568744449e-04, -3.70970289401612e-04 
-3.39227967641273e-03, -1.82332602818467e-04, -4.43396025085630e-05 
3.39227967641278e-03, 1.82332602818470e-04, 4.43396025085648e-05 
1.01768390292383e-02, 3.90561659390782e-04, 1.69227459875528e-04 
1.69613983820639e-02, 6.00036718015679e-04, 2.73418778069932e-04 
2.37459577348894e-02, 8.97859908947508e-04, 2.95566632182375e-04 
3.05305170877149e-02, 1.19071566873856e-03, 3.66103249231722e-04 
3.73150764405405e-02, 1.32975797148886e-03, 4.16755320491458e-04 
4.40996357933660e-02, 1.75853976859379e-03, 6.14915608008922e-04 
5.08841951461915e-02, 2.31678418183254e-03, 9.85686775565660e-04 
5.76687544990171e-02, 2.47434606744147e-03, 1.22530501656146e-03 
6.44533138518426e-02, 2.56089884510966e-03, 1.45159107162098e-03 
7.12378732046682e-02, 2.96729904666270e-03, 1.51753955930276e-03 
7.80224325574937e-02, 3.43285250877000e-03, 1.54970744567871e-03 
8.48069919103192e-02, 3.68100087552593e-03, 1.63781740286090e-03 
9.15915512631448e-02, 4.10333568323641e-03, 2.01057209447690e-03 
9.83761106159703e-02, 4.79964014977484e-03, 2.44188552524719e-03 
1.05160669968796e-01, 5.52374068007530e-03, 2.66560818004474e-03 
1.11945229321621e-01, 6.11905892534314e-03, 3.05338154360298e-03 
1.18729788674447e-01, 6.67921799364163e-03, 3.42228703263429e-03 
1.25514348027273e-01, 7.39307759895470e-03, 3.65736772523193e-03 
1.32298907380098e-01, 8.26376128150602e-03, 4.19015041846646e-03 
1.39083466732924e-01, 9.14896191655667e-03, 4.66865229338832e-03 
1.45868026085749e-01, 9.75331185524298e-03, 4.98316880523167e-03 
1.52652585438575e-01, 1.01430676591474e-02, 5.15842315717153e-03 
1.59437144791400e-01, 1.10922393243669e-02, 5.58629148667734e-03 
1.66221704144226e-01, 1.22005590254368e-02, 6.26282624937274e-03 
1.73006263497051e-01, 1.33494311495188e-02, 7.04689431382577e-03 
1.79790822849877e-01, 1.48358832860017e-02, 7.96203964148819e-03 
1.86575382202702e-01, 1.60187696003053e-02, 8.49832370530181e-03 
1.93359941555528e-01, 1.70886439697918e-02, 8.95500295135860e-03 
2.00144500908353e-01, 1.84513370604539e-02, 9.63017165414954e-03 
2.06929060261179e-01, 2.02854782256386e-02, 1.06126023582404e-02 
2.13713619614004e-01, 2.20286053532671e-02, 1.18102159254421e-02 
2.20498178966830e-01, 2.41156214348578e-02, 1.32228383537375e-02 
2.27282738319656e-01, 2.68635693064524e-02, 1.48628657223481e-02 
2.34067297672481e-01, 2.95163040012954e-02, 1.64119525554475e-02 
2.40851857025307e-01, 3.19874255364586e-02, 1.78714031569414e-02 
2.47636416378132e-01, 3.43842553214714e-02, 1.94135250674256e-02 
2.54420975730958e-01, 3.75638111134292e-02, 2.15060446437719e-02 
2.61205535083783e-01, 4.13355338470771e-02, 2.38474281151716e-02 
2.67990094436609e-01, 4.52057203127264e-02, 2.62244887575441e-02 
2.74774653789434e-01, 5.07380902563308e-02, 2.97611089406280e-02 
2.81559213142260e-01, 5.67108510841448e-02, 3.35684618819524e-02 
2.88343772495085e-01, 6.10651450376220e-02, 3.64924941902332e-02 
2.95128331847911e-01, 6.45433403003821e-02, 3.88082444240594e-02 
3.01912891200736e-01, 6.90691355721693e-02, 4.19154805774370e-02 
3.08697450553562e-01, 7.41474695843867e-02, 4.55177424980456e-02 
3.15482009906388e-01, 8.12880115034641e-02, 5.05047065011080e-02 
3.22266569259213e-01, 8.76727066850327e-02, 5.47451338408359e-02 
3.29051128612039e-01, 9.41237925911712e-02, 5.88207108662238e-02 
3.35835687964864e-01, 1.06243691149110e-01, 6.65793521734765e-02 
