Strain, Tx, Tz 
-3.91000940979371e-01, -5.73951001902660e-01, -1.87551200533620e-01 
-3.83101932070697e-01, -5.00136929498991e-01, -2.02020255545685e-01 
-3.75202923162022e-01, -4.62871794281546e-01, -2.06910047085617e-01 
-3.67303914253348e-01, -4.29197037100623e-01, -2.12365354012881e-01 
-3.59404905344674e-01, -4.00914445801758e-01, -2.15770280774081e-01 
-3.51505896436000e-01, -3.69210365941732e-01, -2.20391677925350e-01 
-3.43606887527326e-01, -3.30824122093494e-01, -2.25231110423287e-01 
-3.35707878618652e-01, -2.93273282849322e-01, -2.26824394298736e-01 
-3.27808869709978e-01, -2.71117779267344e-01, -2.23724652030130e-01 
-3.19909860801303e-01, -2.53837214804275e-01, -2.22214277110755e-01 
-3.12010851892629e-01, -2.37170456100814e-01, -2.21073860245926e-01 
-3.04111842983955e-01, -2.18874442096055e-01, -2.18156639610266e-01 
-2.96212834075281e-01, -2.00772007843459e-01, -2.13153869553646e-01 
-2.88313825166607e-01, -1.86695981317898e-01, -2.07287573351843e-01 
-2.80414816257933e-01, -1.75071683137265e-01, -2.01898692165005e-01 
-2.72515807349258e-01, -1.64083803618201e-01, -1.97770311543358e-01 
-2.64616798440584e-01, -1.53567864103731e-01, -1.94662192970922e-01 
-2.56717789531910e-01, -1.45174456308489e-01, -1.90755160139077e-01 
-2.48818780623236e-01, -1.38676099384646e-01, -1.87166316229836e-01 
-2.40919771714562e-01, -1.31119860504358e-01, -1.83785284937726e-01 
-2.33020762805888e-01, -1.25557078815810e-01, -1.78945587206004e-01 
-2.25121753897214e-01, -1.19166350760120e-01, -1.73148710286150e-01 
-2.17222744988539e-01, -1.09825699496884e-01, -1.67381490774086e-01 
-2.09323736079865e-01, -1.04178073739723e-01, -1.60913360333284e-01 
-2.01424727171191e-01, -9.91534599752187e-02, -1.56742966890396e-01 
-1.93525718262517e-01, -9.38697726298955e-02, -1.51078270626353e-01 
-1.85626709353843e-01, -8.91018518392596e-02, -1.43284957440760e-01 
-1.77727700445169e-01, -8.73247519317737e-02, -1.37204598792967e-01 
-1.69828691536494e-01, -8.15544825547118e-02, -1.29788893367536e-01 
-1.61929682627820e-01, -7.66833676725509e-02, -1.23699746533031e-01 
-1.54030673719146e-01, -7.31524229944959e-02, -1.18603498169295e-01 
-1.46131664810472e-01, -6.95801232461419e-02, -1.12073517591145e-01 
-1.38232655901798e-01, -6.55344560470328e-02, -1.03730290530539e-01 
-1.30333646993124e-01, -6.28794818803356e-02, -9.54333354197473e-02 
-1.22434638084449e-01, -5.86066435046868e-02, -8.73124599450187e-02 
-1.14535629175775e-01, -5.41060708930739e-02, -7.97523611550011e-02 
-1.06636620267101e-01, -5.24474767691438e-02, -7.37694660023605e-02 
-9.87376113584270e-02, -5.02749412289051e-02, -6.71832734355458e-02 
-9.08386024497528e-02, -4.54161638544497e-02, -5.89221017005875e-02 
-8.29395935410786e-02, -3.88953950774620e-02, -4.87406817929119e-02 
-7.50405846324045e-02, -3.56889512062731e-02, -4.14986571605907e-02 
-6.71415757237303e-02, -3.27851941230026e-02, -3.71018732628122e-02 
-5.92425668150562e-02, -2.93326182092207e-02, -3.08179062322139e-02 
-5.13435579063820e-02, -2.81829981212104e-02, -2.49120047992721e-02 
-4.34445489977079e-02, -2.38120865207566e-02, -2.20467393943552e-02 
-3.55455400890337e-02, -1.67027751929865e-02, -1.66642440374226e-02 
-2.76465311803596e-02, -1.21771707842288e-02, -1.14455609118908e-02 
-1.97475222716854e-02, -9.37889756433419e-03, -9.31646893566992e-03 
-1.18485133630113e-02, -5.25910504882923e-03, -7.16830671054390e-03 
-3.94950445433705e-03, -9.39087006355749e-04, -2.65626468399460e-04 
3.94950445433705e-03, 9.39087006355744e-04, 2.65626468399482e-04 
1.18485133630113e-02, 5.61391353389826e-03, -3.55706771365578e-04 
