Strain, Fx, Fz 
-3.35945211790769e-01, -4.74076205854426e-02, 1.65780706763317e-02 
-3.29158439835400e-01, -4.22571270359681e-02, 1.48963832996202e-02 
-3.22371667880031e-01, -3.95521393098163e-02, 1.33341732195900e-02 
-3.15584895924662e-01, -3.62033518836955e-02, 1.16181807637081e-02 
-3.08798123969293e-01, -3.36777586010864e-02, 1.06137048415591e-02 
-3.02011352013924e-01, -3.11565624634265e-02, 9.63891507556516e-03 
-2.95224580058555e-01, -2.83139513055089e-02, 8.31085402106394e-03 
-2.88437808103186e-01, -2.67547271025401e-02, 7.56030107632873e-03 
-2.81651036147817e-01, -2.51981117585833e-02, 6.95675066515019e-03 
-2.74864264192448e-01, -2.30373688337705e-02, 6.23610473054755e-03 
-2.68077492237078e-01, -2.09991096586836e-02, 5.40479208210198e-03 
-2.61290720281709e-01, -1.97556365886294e-02, 4.85547790507842e-03 
-2.54503948326340e-01, -1.81050899132590e-02, 4.30897074499597e-03 
-2.47717176370971e-01, -1.63094319843593e-02, 3.72888776475422e-03 
-2.40930404415602e-01, -1.51203743416932e-02, 3.18338776485427e-03 
-2.34143632460233e-01, -1.44579590662167e-02, 2.86159760061968e-03 
-2.27356860504864e-01, -1.41745469236095e-02, 2.68539243411770e-03 
-2.20570088549495e-01, -1.32363910595713e-02, 2.30435819412603e-03 
-2.13783316594126e-01, -1.21057199935680e-02, 1.98899356284084e-03 
-2.06996544638757e-01, -1.11639224167588e-02, 1.83679357089806e-03 
-2.00209772683388e-01, -1.01478192228687e-02, 1.57497771697310e-03 
-1.93423000728019e-01, -9.18589340186245e-03, 1.25629225637451e-03 
-1.86636228772650e-01, -8.84208313603035e-03, 1.07857877487874e-03 
-1.79849456817281e-01, -8.59976423798972e-03, 9.63418119748718e-04 
-1.73062684861911e-01, -8.07786714522752e-03, 8.09257926683467e-04 
-1.66275912906542e-01, -7.32103071724753e-03, 7.13641288395944e-04 
-1.59489140951173e-01, -6.51078618035676e-03, 4.40957659748293e-04 
-1.52702368995804e-01, -6.01264068766298e-03, 7.69382140534940e-05 
-1.45915597040435e-01, -5.60435244287140e-03, -6.37439971248599e-05 
-1.39128825085066e-01, -5.21456744959796e-03, 2.56309443236041e-05 
-1.32342053129697e-01, -4.91536114794263e-03, 4.69649548234981e-05 
-1.25555281174328e-01, -4.65505405369614e-03, -5.92817781130857e-05 
-1.18768509218959e-01, -4.42564422811082e-03, -1.64812076499829e-04 
-1.11981737263590e-01, -3.86210308873276e-03, -2.28740015765392e-04 
-1.05194965308221e-01, -3.31861728132303e-03, -1.24975016269093e-04 
-9.84081933528516e-02, -3.00126732376173e-03, -9.70682694934333e-05 
-9.16214213974826e-02, -2.82529512349530e-03, -1.34861892370258e-04 
-8.48346494421134e-02, -2.95459336250105e-03, -2.74252435370385e-04 
-7.80478774867444e-02, -2.97065931599866e-03, -3.63952303043303e-04 
