Strain, Tz 
-1.13721693416301e-01, -2.75547603199811e+00 
-1.11424285468497e-01, -2.52021115017192e+00 
-1.09126877520693e-01, -2.24681936941696e+00 
-1.06829469572889e-01, -1.85530237863165e+00 
-1.04532061625084e-01, -1.74850103840958e+00 
-1.02234653677280e-01, -1.68163168015906e+00 
-9.99372457294764e-02, -1.61094699770196e+00 
-9.76398377816723e-02, -1.53719318687498e+00 
-9.53424298338683e-02, -1.46288814660381e+00 
-9.30450218860642e-02, -1.38980348200680e+00 
-9.07476139382602e-02, -1.31182021753097e+00 
-8.84502059904561e-02, -1.24179047721747e+00 
-8.61527980426520e-02, -1.14270611032123e+00 
-8.38553900948480e-02, -1.04800728032224e+00 
-8.15579821470439e-02, -9.62009136671789e-01 
-7.92605741992399e-02, -8.90652829656973e-01 
-7.69631662514358e-02, -8.37382161132300e-01 
-7.46657583036318e-02, -7.84567178784852e-01 
-7.23683503558277e-02, -7.32230642086893e-01 
-7.00709424080237e-02, -6.83271892579917e-01 
-6.77735344602196e-02, -6.40684357857350e-01 
-6.54761265124156e-02, -6.03000668309367e-01 
-6.31787185646115e-02, -5.66553257107396e-01 
-6.08813106168074e-02, -5.35808897170667e-01 
-5.85839026690034e-02, -5.01148875762725e-01 
-5.62864947211993e-02, -4.59485756868298e-01 
-5.39890867733953e-02, -4.17822637973871e-01 
-5.16916788255912e-02, -3.78748611578265e-01 
-4.93942708777872e-02, -3.40373211216058e-01 
-4.70968629299831e-02, -3.05155167787363e-01 
-4.47994549821791e-02, -2.83819452755713e-01 
-4.25020470343750e-02, -2.62483737724062e-01 
-4.02046390865709e-02, -2.38599229144157e-01 
-3.79072311387669e-02, -2.14547801715719e-01 
-3.56098231909628e-02, -1.92239751199590e-01 
-3.33124152431588e-02, -1.71496055299091e-01 
-3.10150072953547e-02, -1.51459023342268e-01 
-2.87175993475507e-02, -1.34068137884353e-01 
-2.64201913997466e-02, -1.23616615142942e-01 
-2.41227834519426e-02, -1.15294408250203e-01 
-2.18253755041385e-02, -1.05173828558393e-01 
-1.95279675563345e-02, -9.45232270866829e-02 
-1.72305596085304e-02, -8.32201520242304e-02 
-1.49331516607264e-02, -7.15350131523237e-02 
-1.26357437129223e-02, -6.14254477455955e-02 
-1.03383357651182e-02, -5.17749148843517e-02 
-8.04092781731419e-03, -4.21090344235854e-02 
-5.74351986951013e-03, -3.22495447740248e-02 
-3.44611192170608e-03, -2.23900551244642e-02 
-1.14870397390201e-03, -7.81164844507455e-03 
1.14870397390204e-03, 7.81164844507475e-03 
3.44611192170609e-03, 2.15995001950861e-02 
5.74351986951014e-03, 3.28542270154391e-02 
8.04092781731422e-03, 4.39447219564891e-02 
1.03383357651183e-02, 5.21563307395857e-02 
1.26357437129223e-02, 6.28198867165537e-02 
1.49331516607264e-02, 7.43400145749401e-02 
1.72305596085304e-02, 8.84981258037944e-02 
1.95279675563345e-02, 1.02491337112343e-01 
2.18253755041385e-02, 1.15241301476459e-01 
2.41227834519426e-02, 1.28024441443997e-01 
2.64201913997466e-02, 1.40047058744181e-01 
2.87175993475507e-02, 1.51391467596613e-01 
3.10150072953547e-02, 1.62253160719710e-01 
3.33124152431588e-02, 1.73193855023562e-01 
3.56098231909629e-02, 1.83564617230299e-01 
3.79072311387669e-02, 1.93814543362780e-01 
4.02046390865710e-02, 2.03931392190784e-01 
4.25020470343750e-02, 2.13180747131027e-01 
4.47994549821791e-02, 2.25623208015781e-01 
4.70968629299831e-02, 2.38131783436451e-01 
4.93942708777872e-02, 2.51650804240942e-01 
5.16916788255912e-02, 2.65310560230438e-01 
5.39890867733953e-02, 2.89160409197500e-01 
5.62864947211993e-02, 3.18517309744632e-01 
5.85839026690034e-02, 3.48415776571769e-01 
6.08813106168074e-02, 3.79299236616735e-01 
6.31787185646115e-02, 4.08148274299972e-01 
6.54761265124156e-02, 4.27031078264384e-01 
6.77735344602196e-02, 4.45398744215440e-01 
7.00709424080237e-02, 4.62867018902737e-01 
7.23683503558277e-02, 4.78238799601728e-01 
7.46657583036318e-02, 4.94081165131717e-01 
7.69631662514358e-02, 5.13417641412240e-01 
7.92605741992399e-02, 5.35048403232774e-01 
8.15579821470439e-02, 5.57118323205630e-01 
8.38553900948480e-02, 5.79948505424964e-01 
8.61527980426520e-02, 6.03409310321305e-01 
8.84502059904561e-02, 6.27544440859123e-01 
9.07476139382602e-02, 6.52023035065247e-01 
9.30450218860642e-02, 6.76999156284134e-01 
9.53424298338683e-02, 7.16926283673344e-01 
9.76398377816723e-02, 7.68436819715739e-01 
9.99372457294764e-02, 8.29669174598743e-01 
1.02234653677280e-01, 8.88309935342290e-01 
1.04532061625084e-01, 9.37052959090909e-01 
1.06829469572889e-01, 9.77957288249269e-01 
1.09126877520693e-01, 1.01576338356909e+00 
1.11424285468497e-01, 1.05162594009302e+00 
1.13721693416301e-01, 1.15598288703472e+00 
