Strain, Fz 
-1.09329705786764e-01, -1.36654093303790e-01 
-1.07121024861779e-01, -1.27003396630983e-01 
-1.04912343936794e-01, -1.15065840660266e-01 
-1.02703663011809e-01, -1.09015398752199e-01 
-1.00494982086824e-01, -1.02945382731580e-01 
-9.82863011618385e-02, -9.52740341936937e-02 
-9.60776202368533e-02, -8.78873935955245e-02 
-9.38689393118682e-02, -8.23316959864830e-02 
-9.16602583868831e-02, -7.82434811569049e-02 
-8.94515774618979e-02, -7.48306773562731e-02 
-8.72428965369128e-02, -7.16704739654719e-02 
-8.50342156119277e-02, -6.85567214358595e-02 
-8.28255346869425e-02, -6.53126469619644e-02 
-8.06168537619574e-02, -6.24331916111841e-02 
-7.84081728369723e-02, -5.97665173374735e-02 
-7.61994919119871e-02, -5.73633636043702e-02 
-7.39908109870020e-02, -5.50654098218337e-02 
-7.17821300620169e-02, -5.26876631345672e-02 
-6.95734491370317e-02, -4.99454369390405e-02 
-6.73647682120466e-02, -4.71506129119919e-02 
-6.51560872870615e-02, -4.39524345808745e-02 
-6.29474063620763e-02, -4.06926556407075e-02 
-6.07387254370912e-02, -3.78870097961993e-02 
-5.85300445121061e-02, -3.54895648710024e-02 
-5.63213635871209e-02, -3.31622098617719e-02 
-5.41126826621358e-02, -3.15278013755793e-02 
-5.19040017371507e-02, -2.98933928893866e-02 
-4.96953208121655e-02, -2.84821723993185e-02 
-4.74866398871804e-02, -2.72788422375648e-02 
-4.52779589621953e-02, -2.60755120758112e-02 
-4.30692780372101e-02, -2.45973483221530e-02 
-4.08605971122250e-02, -2.30630834441416e-02 
-3.86519161872399e-02, -2.15761436082412e-02 
-3.64432352622547e-02, -2.02578148381569e-02 
-3.42345543372696e-02, -1.92150446481703e-02 
-3.20258734122845e-02, -1.82101637100128e-02 
-2.98171924872993e-02, -1.72377734573611e-02 
-2.76085115623142e-02, -1.62091369259048e-02 
-2.53998306373290e-02, -1.51805003944486e-02 
-2.31911497123439e-02, -1.37363684147092e-02 
-2.09824687873588e-02, -1.22283121099363e-02 
-1.87737878623737e-02, -1.06512766161211e-02 
-1.65651069373885e-02, -9.02719374906675e-03 
-1.43564260124034e-02, -7.44669685188760e-03 
-1.21477450874182e-02, -6.05912154519456e-03 
-9.93906416243310e-03, -4.74168416392544e-03 
-7.73038323744798e-03, -3.62071843693212e-03 
-5.52170231246284e-03, -2.53510681108758e-03 
-3.31302138747772e-03, -1.47372909229757e-03 
-1.10434046249257e-03, -5.03904778826627e-04 
1.10434046249256e-03, 5.03904778826621e-04 
3.31302138747770e-03, 1.56174235599174e-03 
5.52170231246283e-03, 2.64442673738019e-03 
7.73038323744797e-03, 3.66974700171941e-03 
9.93906416243310e-03, 4.74630758285144e-03 
1.21477450874182e-02, 5.80037407401704e-03 
1.43564260124034e-02, 6.89320673438351e-03 
1.65651069373885e-02, 8.04925468200341e-03 
1.87737878623736e-02, 9.21427090129386e-03 
2.09824687873588e-02, 1.04285130154793e-02 
2.31911497123439e-02, 1.16879402789377e-02 
2.53998306373290e-02, 1.32327965397451e-02 
2.76085115623142e-02, 1.56162318046330e-02 
2.98171924872993e-02, 1.81411210752505e-02 
3.20258734122844e-02, 2.13743515821376e-02 
3.42345543372696e-02, 2.63769388852472e-02 
3.64432352622547e-02, 3.09073198816257e-02 
3.86519161872398e-02, 3.51901846669193e-02 
4.08605971122250e-02, 3.91366242234617e-02 
4.30692780372101e-02, 4.28779282826818e-02 
4.52779589621952e-02, 4.62590627543178e-02 
4.74866398871804e-02, 5.00801428558290e-02 
4.96953208121655e-02, 5.43324763186305e-02 
5.19040017371506e-02, 5.92916606317639e-02 
5.41126826621358e-02, 6.50206532397417e-02 
5.63213635871209e-02, 7.27794268154206e-02 
5.85300445121061e-02, 8.11064855259053e-02 
6.07387254370912e-02, 8.98980245029004e-02 
6.29474063620763e-02, 9.89974684382691e-02 
6.51560872870615e-02, 1.08809641622075e-01 
6.73647682120466e-02, 1.20225204554960e-01 
6.95734491370317e-02, 1.39620869870233e-01 
7.17821300620168e-02, 1.60493987810068e-01 
7.39908109870020e-02, 1.86598068133626e-01 
7.61994919119871e-02, 2.17691771474867e-01 
7.84081728369723e-02, 2.46191371854286e-01 
8.06168537619574e-02, 2.73639890466629e-01 
8.28255346869425e-02, 3.00564249600359e-01 
8.50342156119277e-02, 3.25305441440817e-01 
8.72428965369128e-02, 3.50438765824836e-01 
8.94515774618979e-02, 3.77602998112278e-01 
9.16602583868831e-02, 4.07447974476957e-01 
9.38689393118682e-02, 4.44029244308109e-01 
9.60776202368533e-02, 4.96111826974121e-01 
9.82863011618385e-02, 5.54795118025464e-01 
1.00494982086824e-01, 6.25448636152911e-01 
1.02703663011809e-01, 6.81495904687364e-01 
1.04912343936794e-01, 7.44184891000368e-01 
1.07121024861779e-01, 8.31318889031802e-01 
1.09329705786764e-01, 9.05460430179280e-01 
