Strain, Tx, Tz 
-3.23070666709310e-01, -4.59390461534941e+00, 5.02905859574688e+00 
-3.16543986573768e-01, -3.92262516240803e+00, 4.30421392806319e+00 
-3.10017306438226e-01, -3.53576236387421e+00, 3.84535299622328e+00 
-3.03490626302685e-01, -3.13870247040988e+00, 3.39516279277099e+00 
-2.96963946167143e-01, -2.73822441846303e+00, 2.94103345522676e+00 
-2.90437266031602e-01, -2.46596598728831e+00, 2.63088828352285e+00 
-2.83910585896060e-01, -2.22869872945217e+00, 2.36386053714928e+00 
-2.77383905760518e-01, -1.99508117268664e+00, 2.10172378201045e+00 
-2.70857225624977e-01, -1.73542837292988e+00, 1.81132023755496e+00 
-2.64330545489435e-01, -1.54351361033573e+00, 1.59051000128404e+00 
-2.57803865353894e-01, -1.37410767975893e+00, 1.39103248447632e+00 
-2.51277185218352e-01, -1.20812635777850e+00, 1.20244793427615e+00 
-2.44750505082810e-01, -1.10091901603536e+00, 1.08293053073162e+00 
-2.38223824947269e-01, -1.00534887289949e+00, 9.76489579475063e-01 
-2.31697144811727e-01, -9.32852437953657e-01, 8.91449804692747e-01 
-2.25170464676185e-01, -8.41611606770117e-01, 7.84746027406357e-01 
-2.18643784540644e-01, -6.97321949389890e-01, 6.17615149274557e-01 
-2.12117104405102e-01, -6.23382757826940e-01, 5.34668300561899e-01 
-2.05590424269561e-01, -5.74125265087233e-01, 4.82463798204235e-01 
-1.99063744134019e-01, -5.23692432233818e-01, 4.27964227982965e-01 
-1.92537063998477e-01, -4.71802582859691e-01, 3.64954937045620e-01 
-1.86010383862936e-01, -4.18054467896948e-01, 2.95918533498448e-01 
-1.79483703727394e-01, -3.86980640086195e-01, 2.62941204520532e-01 
-1.72957023591853e-01, -3.58902527042609e-01, 2.34935924496353e-01 
-1.66430343456311e-01, -3.28331330774268e-01, 2.02481743896445e-01 
-1.59903663320769e-01, -3.01122514446152e-01, 1.75574841110241e-01 
-1.53376983185228e-01, -2.77979898880230e-01, 1.49242408848438e-01 
-1.46850303049686e-01, -2.48533710791204e-01, 1.15374362356545e-01 
-1.40323622914145e-01, -2.19510912825584e-01, 8.47657711795559e-02 
-1.33796942778603e-01, -2.05562640974434e-01, 7.23934060517367e-02 
-1.27270262643061e-01, -1.92511895689704e-01, 5.95751910944020e-02 
-1.20743582507520e-01, -1.79948696897063e-01, 4.72994085539209e-02 
-1.14216902371978e-01, -1.62777115627883e-01, 3.91414777491842e-02 
-1.07690222236437e-01, -1.46043030131300e-01, 2.88791327238010e-02 
-1.01163542100895e-01, -1.39171893488038e-01, 1.96832406689852e-02 
-9.46368619653533e-02, -1.27823558322783e-01, 1.16052558201087e-02 
-8.81101818298117e-02, -1.14659737967588e-01, 4.27374519362055e-03 
-8.15835016942701e-02, -1.01982505041651e-01, -6.04237352682063e-03 
-7.50568215587285e-02, -9.07707146567494e-02, -1.30213686372815e-02 
-6.85301414231869e-02, -8.44113448789199e-02, -1.23567031860928e-02 
-6.20034612876453e-02, -7.03716833243070e-02, -1.73697344197962e-02 
-5.54767811521037e-02, -5.63798505971110e-02, -2.24498172637999e-02 
-4.89501010165620e-02, -5.42494465750284e-02, -2.21079224307175e-02 
-4.24234208810205e-02, -4.97183354245017e-02, -2.11848634042548e-02 
-3.58967407454788e-02, -4.33206241097589e-02, -1.99019090652111e-02 
-2.93700606099372e-02, -3.28667188281481e-02, -1.74365869572026e-02 
-2.28433804743956e-02, -2.18935174201192e-02, -1.48633455154808e-02 
-1.63167003388540e-02, -1.44289343135778e-02, -1.02092650053910e-02 
-9.79002020331241e-03, -8.31210978154331e-03, -6.34408924596009e-03 
-3.26334006777079e-03, -4.23291505535339e-03, -2.95072394461884e-03 
3.26334006777079e-03, 4.23291505535339e-03, 2.95072394461884e-03 
9.79002020331241e-03, 1.61225957637266e-02, 1.18881442525799e-02 
1.63167003388540e-02, 2.99352355369993e-02, 2.17908845070552e-02 
2.28433804743957e-02, 3.97777505600957e-02, 2.94369370553937e-02 
2.93700606099372e-02, 4.87097136887643e-02, 3.84857267031844e-02 
3.58967407454788e-02, 5.79568962993484e-02, 4.77760320406893e-02 
4.24234208810204e-02, 6.83520090659362e-02, 5.71942590903888e-02 
4.89501010165620e-02, 7.87697345792266e-02, 6.80700473829846e-02 
5.54767811521037e-02, 8.82289545707040e-02, 8.22345075454009e-02 
6.20034612876453e-02, 1.01406424918173e-01, 1.00795438302648e-01 
6.85301414231869e-02, 1.22900148758005e-01, 1.27404496143429e-01 
7.50568215587285e-02, 1.42108461707126e-01, 1.52491069749299e-01 
8.15835016942701e-02, 1.57591588681871e-01, 1.74120885227588e-01 
