Strain, Fx, Fz 
-5.64921355708368e-01, -6.48545173030012e-01, 5.72143240000203e-02 
-5.53508803067795e-01, -5.49632893777470e-01, 4.37691369532200e-02 
-5.42096250427222e-01, -4.82150347159759e-01, 3.15146680195713e-02 
-5.30683697786649e-01, -4.31332373978001e-01, 2.25987959708243e-02 
-5.19271145146076e-01, -3.89926448486003e-01, 1.58531474979751e-02 
-5.07858592505502e-01, -3.50614948284629e-01, 9.68071957790778e-03 
-4.96446039864929e-01, -3.11718938955141e-01, 3.97574209644922e-03 
-4.85033487224356e-01, -2.65995526199320e-01, -1.93112377955892e-03 
-4.73620934583783e-01, -2.15242746734622e-01, -7.97744702015736e-03 
-4.62208381943210e-01, -1.92226467116801e-01, -1.02680840738340e-02 
-4.50795829302637e-01, -1.72067504875311e-01, -1.21033788909537e-02 
-4.39383276662064e-01, -1.52759068782785e-01, -1.34741638047507e-02 
-4.27970724021491e-01, -1.31022435153707e-01, -1.43960294906723e-02 
-4.16558171380918e-01, -1.06299768121746e-01, -1.53457180117550e-02 
-4.05145618740345e-01, -9.54787691900821e-02, -1.52295107330643e-02 
-3.93733066099772e-01, -8.37409050213999e-02, -1.47060953118548e-02 
-3.82320513459198e-01, -7.01976313927047e-02, -1.39930605020994e-02 
-3.70907960818625e-01, -6.13162587232111e-02, -1.32850984468387e-02 
-3.59495408178052e-01, -5.63080002637752e-02, -1.25416842947707e-02 
-3.48082855537479e-01, -5.23294603621474e-02, -1.18703532094941e-02 
-3.36670302896906e-01, -4.64509889852923e-02, -1.09482136473493e-02 
-3.25257750256333e-01, -4.17817189203526e-02, -1.02396924096435e-02 
-3.13845197615760e-01, -3.84037288148027e-02, -9.64151120984071e-03 
-3.02432644975187e-01, -3.52580466287294e-02, -8.90250818732323e-03 
-2.91020092334614e-01, -3.13858853910586e-02, -7.90959900924387e-03 
-2.79607539694041e-01, -2.86204651741157e-02, -6.96917636144331e-03 
-2.68194987053468e-01, -2.55454276553697e-02, -5.95892590392995e-03 
-2.56782434412895e-01, -2.29414625686804e-02, -5.29710165689429e-03 
-2.45369881772321e-01, -2.11339906737172e-02, -4.88277129818392e-03 
-2.33957329131748e-01, -1.97055293004295e-02, -4.38566035822720e-03 
-2.22544776491175e-01, -1.81034414407035e-02, -3.81800543354643e-03 
-2.11132223850602e-01, -1.67074501980125e-02, -3.24715703102013e-03 
-1.99719671210029e-01, -1.47732852528594e-02, -2.64858915816980e-03 
-1.88307118569456e-01, -1.32462034128454e-02, -2.30007417464478e-03 
-1.76894565928883e-01, -1.23325492326125e-02, -2.12610671358144e-03 
-1.65482013288310e-01, -1.11984314328237e-02, -1.81903443736458e-03 
-1.54069460647737e-01, -9.80319506588379e-03, -1.25642131064927e-03 
-1.42656908007164e-01, -8.82767249222330e-03, -9.35600406722970e-04 
-1.31244355366591e-01, -8.05941451794840e-03, -8.30576257973413e-04 
-1.19831802726017e-01, -7.43729579817990e-03, -7.17975437800554e-04 
-1.08419250085444e-01, -7.00592101053697e-03, -5.77281084892864e-04 
-9.70066974448713e-02, -6.02337542639375e-03, -5.67219479356659e-04 
-8.55941448042982e-02, -5.24925955834064e-03, -5.51900250344874e-04 
-7.41815921637251e-02, -4.55722099911955e-03, -5.51900250344874e-04 
-6.27690395231520e-02, -3.61084698924907e-03, -4.49334156166999e-04 
-5.13564868825789e-02, -2.64627366710656e-03, -2.62647806776742e-04 
-3.99439342420058e-02, -2.53425234944366e-03, -2.45726615192289e-04 
-2.85313816014327e-02, -1.60513352109442e-03, -2.67916799712713e-04 
-1.71188289608596e-02, -7.51432457455188e-04, -1.59681990437026e-04 
-5.70627632028661e-03, -2.73007123282426e-04, -4.35142574299451e-05 
5.70627632028655e-03, 2.73007123282423e-04, 4.35142574299451e-05 
1.71188289608596e-02, 1.59401663378416e-04, -4.10885960089487e-05 
2.85313816014326e-02, 1.14508962524057e-03, -7.54002503448748e-05 
3.99439342420058e-02, 1.93101006579868e-03, -1.36053582088619e-04 
5.13564868825788e-02, 2.17387726924379e-03, -2.32793260093577e-04 
6.27690395231520e-02, 2.78262070813554e-03, -1.63307962668082e-04 
7.41815921637250e-02, 3.37252890749024e-03, 4.23971870033412e-05 
8.55941448042982e-02, 4.09223250110714e-03, -4.38784085516116e-05 
9.70066974448712e-02, 4.79990561475319e-03, -5.83227096878185e-05 
1.08419250085444e-01, 5.58592726365901e-03, -3.74965001878266e-06 
1.19831802726017e-01, 6.37696558715775e-03, 3.95841629150656e-05 
1.31244355366590e-01, 6.98092193782459e-03, -3.61513725562340e-05 
1.42656908007164e-01, 7.81356601756603e-03, 4.28378899627463e-05 
1.54069460647737e-01, 8.41007691003097e-03, 8.52308269320909e-05 
1.65482013288310e-01, 9.14425063597547e-03, 1.94724727366848e-04 
1.76894565928883e-01, 1.00043595357638e-02, 1.64885880811479e-04 
1.88307118569456e-01, 1.07595957030950e-02, 6.17033849572464e-05 
1.99719671210029e-01, 1.15900689372713e-02, 9.13163312169282e-05 
2.11132223850602e-01, 1.31387528004498e-02, 1.90398066870922e-04 
2.22544776491175e-01, 1.42036601752479e-02, 1.75607500481990e-04 
2.33957329131748e-01, 1.52389869838368e-02, 8.56436893096578e-05 
2.45369881772321e-01, 1.69036876268236e-02, 1.21851246599660e-04 
2.56782434412895e-01, 1.86844239485329e-02, 3.14669380806690e-04 
2.68194987053468e-01, 2.04955286420377e-02, 4.52831227401591e-04 
2.79607539694041e-01, 2.16894990443772e-02, 4.82846024314091e-04 
2.91020092334614e-01, 2.28966664582834e-02, 5.60099749655126e-04 
3.02432644975187e-01, 2.43359774074662e-02, 6.41895078922233e-04 
3.13845197615760e-01, 2.66143460394712e-02, 8.66754176074905e-04 
3.25257750256333e-01, 2.86644881794963e-02, 8.64273833866900e-04 
3.36670302896906e-01, 3.12729668218228e-02, 1.30584668219861e-03 
3.48082855537479e-01, 3.37494777046980e-02, 1.66947401269795e-03 
3.59495408178052e-01, 3.62024840305600e-02, 2.17116319396626e-03 
3.70907960818625e-01, 3.95444281124728e-02, 2.69001618023237e-03 
3.82320513459199e-01, 4.36731177824305e-02, 3.53239870256417e-03 
3.93733066099772e-01, 5.01338493353688e-02, 4.96177067412945e-03 
4.05145618740345e-01, 5.51578405283988e-02, 6.22029380749956e-03 
4.16558171380918e-01, 5.96182290209752e-02, 7.37384720224071e-03 
4.27970724021491e-01, 6.68241731214591e-02, 9.07506356296862e-03 
4.39383276662064e-01, 7.96860696962122e-02, 1.29803716136671e-02 
4.50795829302637e-01, 8.87205907946616e-02, 1.58101292710528e-02 
4.62208381943210e-01, 9.88238127993194e-02, 1.88744051019714e-02 
4.73620934583783e-01, 1.10493564557883e-01, 2.24563301134095e-02 
4.85033487224356e-01, 1.23587538724369e-01, 2.66653024990380e-02 
4.96446039864929e-01, 1.42602683307312e-01, 3.29319270085774e-02 
5.07858592505502e-01, 1.70886499742446e-01, 4.25085311285311e-02 
5.19271145146076e-01, 1.93199822018068e-01, 4.98725978642298e-02 
5.30683697786649e-01, 2.17441341306811e-01, 5.80132505557766e-02 
5.42096250427222e-01, 2.46583285101816e-01, 6.81342664284389e-02 
5.53508803067795e-01, 2.79900144828649e-01, 7.94736455259078e-02 
5.64921355708368e-01, 3.31008925407048e-01, 9.79488037126806e-02 
