Strain, Fx, Fz 
-4.44519917788991e-01, -1.04719553417883e-01, 3.75189658054138e-02 
-4.35539717429618e-01, -8.94779696367635e-02, 2.98618062559306e-02 
-4.26559517070244e-01, -8.28071510967500e-02, 2.60834021008801e-02 
-4.17579316710871e-01, -7.70229074993501e-02, 2.33741683619211e-02 
-4.08599116351497e-01, -6.91908349442257e-02, 1.93609527164393e-02 
-3.99618915992124e-01, -6.08259340542302e-02, 1.56282736263636e-02 
-3.90638715632750e-01, -5.54607933794237e-02, 1.32458231100067e-02 
-3.81658515273376e-01, -5.14118543695384e-02, 1.13186381957007e-02 
-3.72678314914003e-01, -4.53548121231316e-02, 8.87345473773675e-03 
-3.63698114554629e-01, -3.97081606254741e-02, 6.77660644852314e-03 
-3.54717914195256e-01, -3.63616457803505e-02, 5.55267403179301e-03 
-3.45737713835882e-01, -3.39743082100057e-02, 4.75927191637381e-03 
-3.36757513476509e-01, -3.19970450870931e-02, 4.08291455291720e-03 
-3.27777313117135e-01, -2.94229617736851e-02, 3.21263084297789e-03 
-3.18797112757762e-01, -2.65873870873557e-02, 2.44184466749795e-03 
-3.09816912398388e-01, -2.42043639360515e-02, 1.81036517818741e-03 
-3.00836712039014e-01, -2.23973335642251e-02, 1.36684768207923e-03 
-2.91856511679641e-01, -2.14500866936974e-02, 9.49128211676591e-04 
-2.82876311320267e-01, -1.93001844184651e-02, 3.86990887367711e-04 
-2.73896110960894e-01, -1.75575179321106e-02, 6.74474491986364e-05 
-2.64915910601520e-01, -1.65499747272686e-02, -1.60848898240351e-04 
-2.55935710242147e-01, -1.55566897130562e-02, -1.80000691337683e-04 
-2.46955509882773e-01, -1.46360595820302e-02, -1.98538323453524e-04 
-2.37975309523399e-01, -1.34479435455365e-02, -6.08713081839219e-04 
-2.28995109164026e-01, -1.24886397269585e-02, -6.93503724158289e-04 
-2.20014908804652e-01, -1.15573344618615e-02, -7.10070016784728e-04 
-2.11034708445279e-01, -1.09188260577745e-02, -7.30644371462585e-04 
-2.02054508085905e-01, -1.06336053086908e-02, -6.56500691337683e-04 
-1.93074307726532e-01, -9.61140989170482e-03, -7.55559371280832e-04 
-1.84094107367158e-01, -8.88230410364161e-03, -9.43795956345475e-04 
-1.75113907007784e-01, -8.37103964470220e-03, -9.73500691337683e-04 
-1.66133706648411e-01, -7.74253190880008e-03, -8.69841573311891e-04 
-1.57153506289037e-01, -7.25067487566422e-03, -6.47263967845346e-04 
-1.48173305929664e-01, -6.72209812833187e-03, -6.08431142127161e-04 
-1.39193105570290e-01, -6.48335578613057e-03, -5.86335669760360e-04 
-1.30212905210917e-01, -5.90779928023533e-03, -4.98904360691044e-04 
-1.21232704851543e-01, -5.24385337698496e-03, -5.19616757785079e-04 
-1.12252504492170e-01, -5.09099180106467e-03, -6.12065233390910e-04 
-1.03272304132796e-01, -4.91643634175607e-03, -6.32760295311928e-04 
-9.42921037734224e-02, -4.25332191199513e-03, -4.35915063543446e-04 
-8.53119034140488e-02, -3.74421460555318e-03, -3.38500691337683e-04 
-7.63317030546753e-02, -3.35769007385793e-03, -3.08659681149967e-04 
-6.73515026953017e-02, -3.02319418252406e-03, -2.17264848021932e-04 
-5.83713023359282e-02, -2.65656028946756e-03, -1.49281306446042e-04 
-4.93911019765546e-02, -2.37052367674507e-03, -3.32623872097001e-05 
-4.04109016171810e-02, -1.91372058285808e-03, -2.42372469951159e-04 
-3.14307012578075e-02, -1.62570816148997e-03, -3.45086159296331e-04 
-2.24505008984339e-02, -1.39485103033784e-03, -5.38517653915418e-05 
-1.34703005390603e-02, -8.42805366414180e-04, 7.15662635670071e-05 
-4.49010017968673e-03, -5.46819659262396e-05, -1.63447012352821e-04 
4.49010017968683e-03, 5.46819659262405e-05, 1.63447012352825e-04 
1.34703005390603e-02, 3.90791666015039e-04, 4.09998581914828e-04 
2.24505008984339e-02, 5.23525722019431e-04, 4.97855248013601e-04 
3.14307012578075e-02, 6.45347602316891e-04, 5.20244777382172e-04 
4.04109016171811e-02, 8.22331831972830e-04, 6.96949437585768e-04 
4.93911019765546e-02, 1.45857199595435e-03, 5.63727118193560e-04 
5.83713023359282e-02, 1.97502517798078e-03, 5.10729063226816e-04 
6.73515026953017e-02, 2.10194996811988e-03, 5.76686213632898e-04 
7.63317030546753e-02, 2.46303498753301e-03, 4.96864473810354e-04 
8.53119034140489e-02, 3.14241645085278e-03, 6.02928682898489e-04 
9.42921037734225e-02, 3.29648914856418e-03, 1.09772521636355e-03 
1.03272304132796e-01, 3.83007390983556e-03, 1.42554303925302e-03 
1.12252504492170e-01, 4.28400309181768e-03, 1.44686921571952e-03 
1.21232704851543e-01, 4.50336125930601e-03, 1.67070057853157e-03 
1.30212905210917e-01, 4.90131050354111e-03, 1.98604484535763e-03 
1.39193105570290e-01, 5.53921848415542e-03, 2.07349271764639e-03 
1.48173305929664e-01, 6.17619548286812e-03, 2.48098686692358e-03 
1.57153506289037e-01, 6.54271281011752e-03, 2.75795853938492e-03 
1.66133706648411e-01, 6.93105472883467e-03, 2.87060541485974e-03 
1.75113907007785e-01, 7.88585177740897e-03, 3.00408308607749e-03 
1.84094107367158e-01, 8.42779775320181e-03, 3.21915483534769e-03 
1.93074307726532e-01, 8.87000620182666e-03, 3.53886261877073e-03 
2.02054508085905e-01, 9.64383238654971e-03, 3.96737843829545e-03 
2.11034708445279e-01, 1.04567363130980e-02, 4.41277891946790e-03 
2.20014908804652e-01, 1.13449531488125e-02, 4.71133891384705e-03 
2.28995109164026e-01, 1.28609995208375e-02, 5.39124167481859e-03 
2.37975309523399e-01, 1.37659223968071e-02, 5.99026437552866e-03 
2.46955509882773e-01, 1.47735286259300e-02, 6.59164294681427e-03 
2.55935710242147e-01, 1.57813938812452e-02, 7.18520030462002e-03 
2.64915910601520e-01, 1.66327413746790e-02, 7.69713190903655e-03 
2.73896110960894e-01, 1.83923910035833e-02, 8.85981615732954e-03 
2.82876311320267e-01, 2.04172717515544e-02, 9.99597351512837e-03 
2.91856511679641e-01, 2.19124943492047e-02, 1.07013226382464e-02 
3.00836712039014e-01, 2.28744917668176e-02, 1.15052042181278e-02 
3.09816912398388e-01, 2.46026700921850e-02, 1.26867561949432e-02 
3.18797112757762e-01, 2.73878815466964e-02, 1.42087495839255e-02 
3.27777313117135e-01, 3.01423276702609e-02, 1.60416071137772e-02 
3.36757513476509e-01, 3.35646681583516e-02, 1.84201203933760e-02 
3.45737713835882e-01, 3.60779518261346e-02, 2.01088200977818e-02 
3.54717914195256e-01, 3.93266563679271e-02, 2.22345781062447e-02 
3.63698114554629e-01, 4.49237970202041e-02, 2.57599159112294e-02 
3.72678314914003e-01, 4.99344252295815e-02, 2.89968929140436e-02 
3.81658515273376e-01, 5.53443594959911e-02, 3.27084062279405e-02 
3.90638715632750e-01, 6.02665224710715e-02, 3.63269965065292e-02 
3.99618915992124e-01, 6.53809268043092e-02, 3.98426016569400e-02 
4.08599116351497e-01, 7.38785606418266e-02, 4.57019835391169e-02 
4.17579316710871e-01, 8.44723455241605e-02, 5.31066906430774e-02 
4.26559517070244e-01, 9.18001161598143e-02, 5.85393689291020e-02 
4.35539717429618e-01, 1.00661626005316e-01, 6.48959795273214e-02 
4.44519917788991e-01, 1.14412244872277e-01, 7.45678928773552e-02 
