Strain, Fx, Fz 
-3.47167621446098e-01, -1.88266714972456e-01, -6.87028223065103e-02 
-3.40154134144156e-01, -1.68259826359717e-01, -6.52478481342473e-02 
-3.33140646842215e-01, -1.56473207114804e-01, -6.32953045597115e-02 
-3.26127159540274e-01, -1.45866392064288e-01, -6.14249811164527e-02 
-3.19113672238332e-01, -1.31694797788969e-01, -5.86697451622002e-02 
-3.12100184936391e-01, -1.15966387125504e-01, -5.52707464946446e-02 
-3.05086697634450e-01, -1.07321399767822e-01, -5.31573082846095e-02 
-2.98073210332508e-01, -1.00339135293868e-01, -5.12011024435533e-02 
-2.91059723030567e-01, -9.41765614187235e-02, -4.92232501323901e-02 
-2.84046235728625e-01, -8.71823603760204e-02, -4.70050657007557e-02 
-2.77032748426684e-01, -8.03803955012768e-02, -4.48546684092913e-02 
-2.70019261124743e-01, -7.33977545540134e-02, -4.26041143195475e-02 
-2.63005773822801e-01, -6.59202846018406e-02, -3.96620863163185e-02 
-2.55992286520860e-01, -5.91157007090755e-02, -3.65514936550643e-02 
-2.48978799218919e-01, -5.55443425474426e-02, -3.49242446172803e-02 
-2.41965311916977e-01, -5.23621404641129e-02, -3.33394571166877e-02 
-2.34951824615036e-01, -4.93702322774339e-02, -3.17389853298180e-02 
-2.27938337313094e-01, -4.54004754909969e-02, -2.97627337168666e-02 
-2.20924850011153e-01, -4.15031433335918e-02, -2.77408510310634e-02 
-2.13911362709212e-01, -3.91344427888754e-02, -2.63411685272017e-02 
-2.06897875407270e-01, -3.66915454375856e-02, -2.48137035581758e-02 
-1.99884388105329e-01, -3.43671224856307e-02, -2.31943523875548e-02 
-1.92870900803388e-01, -3.21187491252618e-02, -2.17360454213403e-02 
-1.85857413501446e-01, -2.99788818044176e-02, -2.04566259436692e-02 
-1.78843926199505e-01, -2.83927907861171e-02, -1.95574902326362e-02 
-1.71830438897564e-01, -2.62005606593022e-02, -1.80866725201267e-02 
-1.64816951595622e-01, -2.29655302813419e-02, -1.56999386235684e-02 
-1.57803464293681e-01, -2.13587011340504e-02, -1.43580898784865e-02 
-1.50789976991739e-01, -2.02132513911759e-02, -1.33435901942976e-02 
-1.43776489689798e-01, -1.89846570860672e-02, -1.24752823050906e-02 
-1.36763002387857e-01, -1.78760724889239e-02, -1.14112357561816e-02 
-1.29749515085915e-01, -1.68151052324979e-02, -1.02203770018300e-02 
-1.22736027783974e-01, -1.54850325957015e-02, -9.65008353372069e-03 
-1.15722540482033e-01, -1.44838173375400e-02, -9.20648990290446e-03 
-1.08709053180091e-01, -1.38202161399741e-02, -8.78105267338546e-03 
-1.01695565878150e-01, -1.30481005522665e-02, -8.23811380714898e-03 
-9.46820785762085e-02, -1.21940800653862e-02, -7.56800223777150e-03 
-8.76685912742671e-02, -1.11664994372398e-02, -6.48984413107991e-03 
-8.06551039723257e-02, -1.01008649383516e-02, -5.55311396143812e-03 
-7.36416166703844e-02, -9.09071362416415e-03, -5.07679817593720e-03 
-6.66281293684430e-02, -7.69262648810608e-03, -4.29654445891751e-03 
-5.96146420665017e-02, -6.40739080538369e-03, -3.49730037550831e-03 
-5.26011547645602e-02, -5.60442128725931e-03, -3.09735741479673e-03 
-4.55876674626189e-02, -4.87637077485399e-03, -2.68757849395428e-03 
-3.85741801606775e-02, -4.21195722663610e-03, -2.27600115882716e-03 
