Strain, Fx, Fz 
-3.12349347753107e-01, -2.93379487796571e-01, 2.30645614853147e-01 
-3.06039259919711e-01, -2.66326328335057e-01, 2.08887353189990e-01 
-2.99729172086315e-01, -2.41252867314277e-01, 1.85360916382752e-01 
-2.93419084252919e-01, -2.17552616375295e-01, 1.64525972203834e-01 
-2.87108996419523e-01, -2.01138192006242e-01, 1.50591598074716e-01 
-2.80798908586127e-01, -1.80744457646552e-01, 1.33290966079729e-01 
-2.74488820752731e-01, -1.62695867762288e-01, 1.18197979727967e-01 
-2.68178732919335e-01, -1.50321472754442e-01, 1.07947550270268e-01 
-2.61868645085938e-01, -1.40106579242603e-01, 9.94552536311094e-02 
-2.55558557252542e-01, -1.30277565878265e-01, 9.12279376143491e-02 
-2.49248469419146e-01, -1.19518757960340e-01, 8.19307856076020e-02 
-2.42938381585750e-01, -1.08970219856587e-01, 7.29660494766730e-02 
-2.36628293752354e-01, -1.01050800099759e-01, 6.65833847471155e-02 
-2.30318205918958e-01, -9.33204191757144e-02, 6.00910835040223e-02 
-2.24008118085562e-01, -8.42344213060936e-02, 5.22395087164442e-02 
-2.17698030252166e-01, -7.79721291796225e-02, 4.71729711271103e-02 
-2.11387942418770e-01, -7.21496665507965e-02, 4.27351319376356e-02 
-2.05077854585374e-01, -6.57695520494715e-02, 3.79348398553392e-02 
-1.98767766751977e-01, -6.16496381869907e-02, 3.46187000515972e-02 
-1.92457678918581e-01, -5.78729256529519e-02, 3.16342294676751e-02 
-1.86147591085185e-01, -5.29194556761131e-02, 2.81625238426208e-02 
-1.79837503251789e-01, -4.84025006606219e-02, 2.47251772853323e-02 
-1.73527415418393e-01, -4.40462532903447e-02, 2.12093080227799e-02 
-1.67217327584997e-01, -4.06774150460304e-02, 1.87458038642920e-02 
-1.60907239751601e-01, -3.78650575309426e-02, 1.68792848743270e-02 
-1.54597151918205e-01, -3.53891649185392e-02, 1.53731331936215e-02 
-1.48287064084809e-01, -3.31494131618128e-02, 1.39227468209784e-02 
-1.41976976251412e-01, -3.11900595812592e-02, 1.24544021005393e-02 
-1.35666888418016e-01, -2.82295363084195e-02, 1.03978812465586e-02 
-1.29356800584620e-01, -2.51520100765726e-02, 8.39556496033159e-03 
-1.23046712751224e-01, -2.29412445598003e-02, 7.05080394277498e-03 
-1.16736624917828e-01, -2.12553666840008e-02, 6.09098878030811e-03 
-1.10426537084432e-01, -1.97421369259491e-02, 5.32204669818893e-03 
-1.04116449251036e-01, -1.83844391441083e-02, 4.80578857181854e-03 
-9.78063614176397e-02, -1.69147263313819e-02, 4.13419900986874e-03 
-9.14962735842435e-02, -1.50765968258788e-02, 3.03264608108149e-03 
-8.51861857508474e-02, -1.36769775458728e-02, 2.31016397822160e-03 
-7.88760979174513e-02, -1.26232555161068e-02, 1.91942637579784e-03 
-7.25660100840552e-02, -1.16251739245494e-02, 1.62283388791990e-03 
-6.62559222506591e-02, -1.05516596922186e-02, 1.29476424488918e-03 
-5.99458344172630e-02, -9.45451899831377e-03, 9.70305728850873e-04 
-5.36357465838669e-02, -8.49444564142579e-03, 5.39331111125016e-04 
-4.73256587504708e-02, -7.46756800120153e-03, 2.86136137882642e-04 
-4.10155709170747e-02, -6.22086377540286e-03, 1.23206479262075e-04 
-3.47054830836786e-02, -4.97058710880112e-03, -8.56385766206044e-05 
-2.83953952502825e-02, -3.85117393397937e-03, -2.33213302458957e-04 
-2.20853074168864e-02, -3.01470321688412e-03, -3.61117799075245e-04 
-1.57752195834903e-02, -2.22289555786868e-03, -4.42900864558449e-04 
-9.46513175009416e-03, -1.35872734577540e-03, -3.37220809549600e-04 
-3.15504391669801e-03, -4.47402338063355e-04, -1.27301747383499e-04 
3.15504391669801e-03, 4.47402338063355e-04, 1.27301747383499e-04 
9.46513175009416e-03, 1.09742341672452e-03, 1.63103523834890e-04 
1.57752195834903e-02, 1.64007577151973e-03, 1.59100202932333e-04 
2.20853074168864e-02, 2.32376829628041e-03, 2.80835123532580e-04 
2.83953952502825e-02, 3.03614287545838e-03, 6.99496492157684e-04 
3.47054830836786e-02, 3.71304171056615e-03, 1.18511569030905e-03 
4.10155709170747e-02, 4.39486752329003e-03, 1.39015922960237e-03 
4.73256587504708e-02, 5.38238763299102e-03, 1.71463781849399e-03 
5.36357465838669e-02, 6.72617825539711e-03, 2.25921998431855e-03 
5.99458344172630e-02, 7.81307594283499e-03, 2.92259850287399e-03 
6.62559222506592e-02, 8.75154787402090e-03, 3.57901207128076e-03 
7.25660100840553e-02, 9.54130010767636e-03, 4.19331346136585e-03 
7.88760979174513e-02, 1.08935091899754e-02, 5.18684334843734e-03 
8.51861857508474e-02, 1.26877906637552e-02, 6.47382204372969e-03 
9.14962735842435e-02, 1.37435083832209e-02, 7.20016996301320e-03 
9.78063614176397e-02, 1.47603541034686e-02, 7.88946181098409e-03 
1.04116449251036e-01, 1.60094133688731e-02, 8.58482824514809e-03 
1.10426537084432e-01, 1.70523981609105e-02, 9.68229631002944e-03 
1.16736624917828e-01, 1.80904845561273e-02, 1.10797798199283e-02 
1.23046712751224e-01, 1.99789268448597e-02, 1.23721835853947e-02 
1.29356800584620e-01, 2.22183798418099e-02, 1.40721030302750e-02 
1.35666888418016e-01, 2.44500038865939e-02, 1.61540780781927e-02 
1.41976976251412e-01, 2.66715699415463e-02, 1.81022125128519e-02 
1.48287064084808e-01, 2.91167751641437e-02, 2.01657275053098e-02 
1.54597151918205e-01, 3.30998827497622e-02, 2.37827714282714e-02 
1.60907239751601e-01, 3.61777581679729e-02, 2.67392144431120e-02 
1.67217327584997e-01, 3.85733794066894e-02, 2.92154809803598e-02 
