Strain, Tz 
-1.17580270372485e-01, -5.78552712727983e+00 
-1.15204911375061e-01, -5.21350279736388e+00 
-1.12829552377637e-01, -4.84515016810502e+00 
-1.10454193380213e-01, -4.42590876793459e+00 
-1.08078834382789e-01, -4.12650052033452e+00 
-1.05703475385365e-01, -3.84824740744821e+00 
-1.03328116387941e-01, -3.61590716156540e+00 
-1.00952757390517e-01, -3.40677057703645e+00 
-9.85773983930932e-02, -3.21157191918865e+00 
-9.62020393956692e-02, -3.01697218735584e+00 
-9.38266803982453e-02, -2.81780862053385e+00 
-9.14513214008214e-02, -2.60980331001483e+00 
-8.90759624033974e-02, -2.40588063209997e+00 
-8.67006034059735e-02, -2.21184992710338e+00 
-8.43252444085496e-02, -2.07082821521935e+00 
-8.19498854111256e-02, -1.95196731399482e+00 
-7.95745264137017e-02, -1.82444234699898e+00 
-7.71991674162778e-02, -1.69561693982406e+00 
-7.48238084188538e-02, -1.56562251574878e+00 
-7.24484494214299e-02, -1.42687575768196e+00 
-7.00730904240060e-02, -1.27961274597148e+00 
-6.76977314265821e-02, -1.15350582425482e+00 
-6.53223724291581e-02, -1.02894019859532e+00 
-6.29470134317342e-02, -9.29342488500988e-01 
-6.05716544343103e-02, -8.61681005431235e-01 
-5.81962954368863e-02, -8.00110967716975e-01 
-5.58209364394624e-02, -7.44440242742783e-01 
-5.34455774420385e-02, -6.92614954902513e-01 
-5.10702184446145e-02, -6.41918294323702e-01 
-4.86948594471906e-02, -5.91920813006654e-01 
-4.63195004497667e-02, -5.43133902286154e-01 
-4.39441414523427e-02, -4.94517379954218e-01 
-4.15687824549188e-02, -4.46318126506972e-01 
-3.91934234574949e-02, -4.03367743033340e-01 
-3.68180644600709e-02, -3.69896063129056e-01 
-3.44427054626470e-02, -3.42765508007003e-01 
-3.20673464652231e-02, -3.16288959794369e-01 
-2.96919874677991e-02, -2.90393156067503e-01 
-2.73166284703752e-02, -2.66778813566247e-01 
-2.49412694729513e-02, -2.47928814352709e-01 
-2.25659104755273e-02, -2.29607164546354e-01 
-2.01905514781034e-02, -2.11122751939757e-01 
-1.78151924806795e-02, -1.93122858269718e-01 
-1.54398334832556e-02, -1.74799093361173e-01 
-1.30644744858316e-02, -1.52390598925063e-01 
-1.06891154884077e-02, -1.25438153684743e-01 
-8.31375649098376e-03, -9.84218455918861e-02 
-5.93839749355982e-03, -7.03657092658093e-02 
-3.56303849613590e-03, -3.93633787597611e-02 
-1.18767949871196e-03, -1.19230682543531e-02 
1.18767949871197e-03, 1.19230682543533e-02 
3.56303849613590e-03, 3.57042751668751e-02 
5.93839749355984e-03, 5.37194683446795e-02 
8.31375649098377e-03, 6.69944753033425e-02 
1.06891154884077e-02, 8.33395585820461e-02 
1.30644744858316e-02, 1.01747353693235e-01 
1.54398334832556e-02, 1.20879876025481e-01 
1.78151924806795e-02, 1.40921287440091e-01 
2.01905514781034e-02, 1.59133391953370e-01 
2.25659104755274e-02, 1.71639834855134e-01 
2.49412694729513e-02, 1.84262560722660e-01 
2.73166284703752e-02, 1.94988770846515e-01 
2.96919874677992e-02, 2.04989980690843e-01 
3.20673464652231e-02, 2.14013563237936e-01 
3.44427054626470e-02, 2.22509317752233e-01 
3.68180644600710e-02, 2.30804803324102e-01 
3.91934234574949e-02, 2.39029702622376e-01 
4.15687824549188e-02, 2.47593771716564e-01 
4.39441414523427e-02, 2.57582177494948e-01 
4.63195004497667e-02, 2.67819807187286e-01 
4.86948594471906e-02, 2.78603344332073e-01 
5.10702184446145e-02, 2.89414180477321e-01 
5.34455774420385e-02, 3.04298372951215e-01 
5.58209364394624e-02, 3.20139955607701e-01 
5.81962954368863e-02, 3.35684907003483e-01 
6.05716544343102e-02, 3.50520379709991e-01 
6.29470134317342e-02, 3.65355852416500e-01 
6.53223724291581e-02, 3.77781422347363e-01 
6.76977314265820e-02, 3.92072914615084e-01 
7.00730904240060e-02, 4.09952496773076e-01 
7.24484494214299e-02, 4.28121539138390e-01 
7.48238084188538e-02, 4.48206241200401e-01 
7.71991674162778e-02, 4.68566935396600e-01 
7.95745264137017e-02, 4.86323716651255e-01 
8.19498854111256e-02, 5.02832094708811e-01 
8.43252444085496e-02, 5.18764676686844e-01 
8.67006034059735e-02, 5.34467714300876e-01 
8.90759624033974e-02, 5.53264648209404e-01 
9.14513214008214e-02, 5.72991576574327e-01 
9.38266803982453e-02, 5.92839488021585e-01 
9.62020393956692e-02, 6.15924720544722e-01 
9.85773983930932e-02, 6.54748062735099e-01 
1.00952757390517e-01, 6.97912151640673e-01 
1.03328116387941e-01, 7.45185435499867e-01 
1.05703475385365e-01, 7.83863986779872e-01 
1.08078834382789e-01, 8.14670793630398e-01 
1.10454193380213e-01, 8.43448945330986e-01 
1.12829552377637e-01, 8.73998090396060e-01 
1.15204911375061e-01, 9.06933022272463e-01 
1.17580270372485e-01, 9.39293003667761e-01 
