Strain, Fx, Fz 
-3.81742826425558e-01, -8.14527197491104e-02, 3.12131296980179e-02 
-3.74030850134132e-01, -7.28477901777862e-02, 2.71757014834466e-02 
-3.66318873842707e-01, -6.71735479451527e-02, 2.36147382353949e-02 
-3.58606897551281e-01, -6.26646577045942e-02, 2.13787558300387e-02 
-3.50894921259856e-01, -5.73547219029987e-02, 1.87622217611204e-02 
-3.43182944968431e-01, -5.22605274845000e-02, 1.62556733893734e-02 
-3.35470968677005e-01, -4.88832485297331e-02, 1.49847341772479e-02 
-3.27758992385580e-01, -4.57975010502362e-02, 1.35094750365955e-02 
-3.20047016094154e-01, -4.18739866507674e-02, 1.16457823438839e-02 
-3.12335039802729e-01, -3.86767077709662e-02, 9.90899372382120e-03 
-3.04623063511304e-01, -3.58569425122686e-02, 8.56878350554612e-03 
-2.96911087219878e-01, -3.33692139672080e-02, 7.75586058696998e-03 
-2.89199110928453e-01, -3.07813824233504e-02, 7.01228854479003e-03 
-2.81487134637027e-01, -2.71622578339862e-02, 5.78744989906542e-03 
-2.73775158345602e-01, -2.61528537827593e-02, 5.03693219990625e-03 
-2.66063182054177e-01, -2.53051481325540e-02, 4.54117305518485e-03 
-2.58351205762751e-01, -2.42897749135456e-02, 4.15095363386532e-03 
-2.50639229471326e-01, -2.28410246253867e-02, 3.72374570719766e-03 
-2.42927253179900e-01, -2.11807947203542e-02, 3.32544190264108e-03 
-2.35215276888475e-01, -1.95644688053594e-02, 2.92473142477920e-03 
-2.27503300597049e-01, -1.84393029834292e-02, 2.73247067531643e-03 
-2.19791324305624e-01, -1.74999059084368e-02, 2.66420466846597e-03 
-2.12079348014199e-01, -1.65897814675724e-02, 2.42177159213793e-03 
-2.04367371722773e-01, -1.57518767106812e-02, 2.18942039671390e-03 
-1.96655395431348e-01, -1.48885579364373e-02, 1.98137586813904e-03 
-1.88943419139922e-01, -1.41329831312407e-02, 1.81697312256790e-03 
-1.81231442848497e-01, -1.35926057551074e-02, 1.71153903854451e-03 
-1.73519466557072e-01, -1.27117639692865e-02, 1.60617693382127e-03 
-1.65807490265646e-01, -1.16573575280867e-02, 1.53974200682051e-03 
-1.58095513974221e-01, -1.09475012431530e-02, 1.45024565146447e-03 
-1.50383537682795e-01, -1.03040549631922e-02, 1.28934134235245e-03 
-1.42671561391370e-01, -9.61126795813242e-03, 1.22234895276461e-03 
-1.34959585099945e-01, -9.01116574085747e-03, 1.42279001813971e-03 
-1.27247608808519e-01, -8.54001056649919e-03, 1.46840120357650e-03 
-1.19535632517094e-01, -8.09099113403856e-03, 1.26908934565478e-03 
-1.11823656225668e-01, -7.37545909727591e-03, 1.22449218969412e-03 
-1.04111679934243e-01, -6.78807822565571e-03, 1.20800212211832e-03 
-9.63997036428176e-02, -6.26500668450603e-03, 1.10828287300738e-03 
-8.86877273513922e-02, -5.77677644299496e-03, 1.04569328463687e-03 
-8.09757510599668e-02, -5.21835625021686e-03, 9.68163020217691e-04 
-7.32637747685414e-02, -4.87740924449392e-03, 8.55611542011077e-04 
-6.55517984771160e-02, -4.52638198392128e-03, 8.75897082319685e-04 
-5.78398221856906e-02, -3.92167618805813e-03, 8.03916369347124e-04 
-5.01278458942652e-02, -3.29478562901499e-03, 7.95232446807343e-04 
-4.24158696028398e-02, -2.67204864176116e-03, 8.79277871567106e-04 
-3.47038933114144e-02, -2.00085708649749e-03, 5.04002623881926e-04 
-2.69919170199889e-02, -1.55928315484657e-03, 2.49380044694371e-04 
-1.92799407285635e-02, -1.04186751206718e-03, 2.48517587283464e-04 
-1.15679644371381e-02, -6.28889894897931e-04, 1.96417760932922e-04 
-3.85598814571270e-03, -3.04587183530186e-04, 9.50177570787645e-05 
3.85598814571276e-03, 3.04587183530189e-04, -9.50177570787671e-05 
1.15679644371381e-02, 1.00803371110698e-03, -2.86803627008054e-04 
1.92799407285635e-02, 1.74978796409199e-03, -5.52592967931602e-04 
2.69919170199889e-02, 2.42236439843598e-03, -8.61393583695332e-04 
3.47038933114143e-02, 3.06911578094808e-03, -1.12335782763237e-03 
4.24158696028398e-02, 3.40096429383043e-03, -1.60655799916398e-03 
5.01278458942652e-02, 3.87364495592047e-03, -1.86046354463515e-03 
5.78398221856906e-02, 4.43307854910893e-03, -1.94798316324628e-03 
6.55517984771160e-02, 5.01873502130063e-03, -2.09036907966745e-03 
7.32637747685414e-02, 5.80080951835455e-03, -2.44674288229579e-03 
8.09757510599667e-02, 6.99905615861026e-03, -3.28542455849897e-03 
8.86877273513922e-02, 7.95317196081345e-03, -4.05067941512700e-03 
9.63997036428176e-02, 8.68483276155985e-03, -4.71206652516818e-03 
1.04111679934243e-01, 9.22920947924375e-03, -5.00509614434101e-03 
1.11823656225668e-01, 9.73863157432208e-03, -5.21320198923422e-03 
1.19535632517094e-01, 1.09008026692702e-02, -5.86207744644011e-03 
1.27247608808519e-01, 1.25229087371935e-02, -6.96340886130935e-03 
1.34959585099945e-01, 1.40504678896993e-02, -7.96032344143219e-03 
1.42671561391370e-01, 1.54732897650881e-02, -8.40841658234270e-03 
1.50383537682795e-01, 1.64841360464086e-02, -8.88591806828925e-03 
1.58095513974221e-01, 1.66768162084320e-02, -9.49165231859211e-03 
1.65807490265646e-01, 1.77348976774493e-02, -1.02993236379777e-02 
1.73519466557072e-01, 1.98897453467352e-02, -1.14306588823193e-02 
1.81231442848497e-01, 2.27955977923588e-02, -1.27801267828612e-02 
1.88943419139922e-01, 2.50027768681842e-02, -1.39318241376084e-02 
1.96655395431348e-01, 2.63556166436227e-02, -1.49816635841785e-02 
2.04367371722773e-01, 2.79812185014041e-02, -1.58609767495942e-02 
2.12079348014199e-01, 2.96846793727431e-02, -1.67012503178870e-02 
2.19791324305624e-01, 3.20056090775247e-02, -1.75674409255280e-02 
2.27503300597049e-01, 3.48616188140549e-02, -1.87706919195966e-02 
2.35215276888475e-01, 3.77952975894810e-02, -2.02388441895775e-02 
2.42927253179900e-01, 4.16476627394742e-02, -2.24476294978752e-02 
2.50639229471326e-01, 4.49404722726838e-02, -2.40380318538347e-02 
2.58351205762751e-01, 4.71921172706340e-02, -2.45919602117600e-02 
2.66063182054177e-01, 4.98148542138957e-02, -2.53735578466910e-02 
2.73775158345602e-01, 5.31042172865894e-02, -2.67776417446706e-02 
2.81487134637027e-01, 5.60947293815806e-02, -2.77163862942051e-02 
2.89199110928453e-01, 6.05355900659628e-02, -2.88598670235044e-02 
2.96911087219878e-01, 6.88687351246328e-02, -3.07443890360521e-02 
3.04623063511304e-01, 7.54873172557331e-02, -3.22382558104135e-02 
3.12335039802729e-01, 8.15982232539871e-02, -3.37362756701216e-02 
3.20047016094154e-01, 8.80020387378743e-02, -3.50115742953943e-02 
3.27758992385580e-01, 9.70724167550162e-02, -3.59606351328707e-02 
3.35470968677005e-01, 1.07978672524280e-01, -3.67423342923213e-02 
3.43182944968431e-01, 1.17083267542705e-01, -3.78477042511882e-02 
3.50894921259856e-01, 1.26482535597876e-01, -3.89548240833038e-02 
3.58606897551281e-01, 1.37077823026549e-01, -3.95351835196681e-02 
3.66318873842707e-01, 1.47844519213972e-01, -3.97053764039929e-02 
3.74030850134132e-01, 1.64217675159722e-01, -3.90309550823113e-02 
3.81742826425558e-01, 1.81016680070129e-01, -3.88865050232142e-02 
