Strain, Fx, Fz 
-3.81826265479809e-01, -1.18035359296612e-01, 4.76374186196698e-02 
-3.74112603550924e-01, -1.02649687170417e-01, 4.03450956527080e-02 
-3.66398941622039e-01, -9.42289008272939e-02, 3.61290133637440e-02 
-3.58685279693154e-01, -8.44797697980320e-02, 3.14802983195003e-02 
-3.50971617764269e-01, -7.88214244029787e-02, 2.85853226132133e-02 
-3.43257955835384e-01, -7.30485121534496e-02, 2.58522574148818e-02 
-3.35544293906499e-01, -6.55724542229104e-02, 2.26618518484299e-02 
-3.27830631977614e-01, -5.88505960430380e-02, 1.97696966116392e-02 
-3.20116970048729e-01, -5.42536171867159e-02, 1.78194217947988e-02 
-3.12403308119844e-01, -5.07824523097545e-02, 1.65339976486961e-02 
-3.04689646190959e-01, -4.76846415787715e-02, 1.54768171356678e-02 
-2.96975984262074e-01, -4.50205603695272e-02, 1.45148585283312e-02 
-2.89262322333189e-01, -4.16578059097098e-02, 1.30760539971428e-02 
-2.81548660404303e-01, -3.65173516800786e-02, 1.09284344626128e-02 
-2.73834998475418e-01, -3.38248723859205e-02, 9.90666509122770e-03 
-2.66121336546533e-01, -3.23005898790773e-02, 9.49282040629734e-03 
-2.58407674617648e-01, -3.03412665439992e-02, 9.02581311510911e-03 
-2.50694012688763e-01, -2.86500092334855e-02, 8.54562380145786e-03 
-2.42980350759878e-01, -2.72629210382586e-02, 8.01565938528753e-03 
-2.35266688830993e-01, -2.60095617782924e-02, 7.45582119250933e-03 
-2.27553026902108e-01, -2.46920207958682e-02, 6.98937896534776e-03 
-2.19839364973223e-01, -2.34370839820926e-02, 6.72261187301702e-03 
-2.12125703044338e-01, -2.22710788769970e-02, 6.36761475489943e-03 
-2.04412041115453e-01, -2.05638856017440e-02, 5.69850124850391e-03 
-1.96698379186568e-01, -1.84439021703706e-02, 5.14346238217635e-03 
-1.88984717257683e-01, -1.70906720992332e-02, 4.76933662127714e-03 
-1.81271055328798e-01, -1.60588174058762e-02, 4.48242716797532e-03 
-1.73557393399913e-01, -1.47866376610026e-02, 4.17644170247939e-03 
-1.65843731471028e-01, -1.38270210820826e-02, 3.94079136455892e-03 
-1.58130069542143e-01, -1.32245236311785e-02, 3.78721896734035e-03 
-1.50416407613258e-01, -1.20728845874578e-02, 3.55294599310530e-03 
-1.42702745684373e-01, -1.07777738677411e-02, 3.20432734697314e-03 
-1.34989083755488e-01, -1.00554704791809e-02, 2.96788804365587e-03 
-1.27275421826603e-01, -9.79725320395580e-03, 2.80568805981522e-03 
-1.19561759897718e-01, -9.38324561275951e-03, 2.68883458845118e-03 
-1.11848097968833e-01, -8.66403860273108e-03, 2.38281180040090e-03 
-1.04134436039948e-01, -7.75744643516455e-03, 1.88727543720083e-03 
-9.64207741110628e-02, -7.25947329492444e-03, 1.87907199461883e-03 
-8.87071121821778e-02, -6.58348986152363e-03, 1.86543352584237e-03 
-8.09934502532928e-02, -5.75073612514130e-03, 1.71793812594166e-03 
-7.32797883244078e-02, -5.13682841182767e-03, 1.50615586749608e-03 
-6.55661263955227e-02, -4.31403852379686e-03, 1.53973783810945e-03 
-5.78524644666377e-02, -3.57546019041101e-03, 1.49987562629420e-03 
-5.01388025377527e-02, -3.21239814104239e-03, 1.24528568245767e-03 
-4.24251406088677e-02, -2.65446740806524e-03, 9.99488140882962e-04 
-3.47114786799826e-02, -1.61152828066620e-03, 8.62718348787784e-04 
-2.69978167510976e-02, -1.49337778792479e-03, 8.31683411963743e-04 
-1.92841548222126e-02, -1.51569331179414e-03, 5.66242961559567e-04 
-1.15704928933275e-02, -1.04891908725561e-03, 2.18315403780468e-04 
-3.85683096444249e-03, -3.52622866580589e-04, 1.64653702453907e-04 
3.85683096444249e-03, 3.52622866580589e-04, -1.64653702453907e-04 
1.15704928933275e-02, 1.01930230765567e-03, -4.55141775075528e-04 
1.92841548222126e-02, 1.54804997762837e-03, -6.32332459646182e-04 
2.69978167510977e-02, 1.88413807276132e-03, -7.52654553821419e-04 
3.47114786799826e-02, 2.25805521431652e-03, -9.44414524560972e-04 
4.24251406088676e-02, 2.62557870061864e-03, -1.22139297631529e-03 
5.01388025377527e-02, 3.19510070720709e-03, -1.39591975897503e-03 
5.78524644666378e-02, 3.84153382033801e-03, -1.64376345789078e-03 
6.55661263955227e-02, 4.67765753392481e-03, -2.24439819588622e-03 
7.32797883244077e-02, 5.28002036812009e-03, -2.59664518918411e-03 
8.09934502532928e-02, 5.74647092445591e-03, -2.89453492044914e-03 
8.87071121821778e-02, 6.90568450377008e-03, -3.18646539827153e-03 
9.64207741110628e-02, 7.92295050679188e-03, -3.49926035181821e-03 
1.04134436039948e-01, 8.11025259731028e-03, -3.80302758732697e-03 
1.11848097968833e-01, 8.59811657292042e-03, -3.99269238545610e-03 
1.19561759897718e-01, 9.38813820972518e-03, -4.26362801096715e-03 
1.27275421826603e-01, 1.00462050618548e-02, -4.64270207914331e-03 
1.34989083755488e-01, 1.06005149867480e-02, -5.01071717652084e-03 
1.42702745684373e-01, 1.10949821839660e-02, -5.18106319305091e-03 
1.50416407613258e-01, 1.21716903168700e-02, -5.52995745050277e-03 
1.58130069542143e-01, 1.30254923306657e-02, -5.94836192059248e-03 
1.65843731471028e-01, 1.39186336716052e-02, -6.46246011411926e-03 
1.73557393399913e-01, 1.52489834268255e-02, -7.08880210371391e-03 
1.81271055328798e-01, 1.64577733819633e-02, -7.52677525412614e-03 
1.88984717257683e-01, 1.72940300479239e-02, -7.83182693815072e-03 
1.96698379186568e-01, 1.81855902582888e-02, -8.16468704720147e-03 
2.04412041115453e-01, 1.94252145463342e-02, -8.45642470399469e-03 
2.12125703044338e-01, 2.11265445609826e-02, -9.02829046322176e-03 
2.19839364973223e-01, 2.32626045797238e-02, -9.84525170349748e-03 
2.27553026902108e-01, 2.48494503827784e-02, -1.03593824460760e-02 
2.35266688830993e-01, 2.63822094613886e-02, -1.08600833752569e-02 
2.42980350759878e-01, 2.79487692819407e-02, -1.13204847894814e-02 
2.50694012688763e-01, 2.92750769890555e-02, -1.16145761162969e-02 
2.58407674617648e-01, 3.03924674599880e-02, -1.17854583661940e-02 
2.66121336546533e-01, 3.32284334124711e-02, -1.21127329416167e-02 
2.73834998475419e-01, 3.72982577416077e-02, -1.26570145693626e-02 
2.81548660404303e-01, 3.96248463291521e-02, -1.30939657491872e-02 
2.89262322333189e-01, 4.24769164104025e-02, -1.34804576699839e-02 
2.96975984262074e-01, 4.70800171262164e-02, -1.38116061107060e-02 
3.04689646190959e-01, 5.14453793003303e-02, -1.42070329996616e-02 
3.12403308119844e-01, 5.59121034952072e-02, -1.42918194885114e-02 
3.20116970048729e-01, 6.08618713032672e-02, -1.42449793145785e-02 
3.27830631977614e-01, 6.61078745617053e-02, -1.40030464549466e-02 
3.35544293906499e-01, 7.18116101712395e-02, -1.35312381355178e-02 
3.43257955835384e-01, 7.66267933933535e-02, -1.32803606265115e-02 
3.50971617764269e-01, 8.41870183178236e-02, -1.26093586981350e-02 
3.58685279693154e-01, 9.55413223005774e-02, -1.11415306240224e-02 
3.66398941622039e-01, 1.05456302439752e-01, -9.61635245226416e-03 
3.74112603550924e-01, 1.14518546348381e-01, -8.17579277038036e-03 
3.81826265479809e-01, 1.26175188611550e-01, -5.48221921804871e-03 
