Strain, Tx, Tz 
-3.18949401838942e-01, -3.20661602937185e+00, 2.73793190857136e+00 
-3.12505979579570e-01, -2.88158116688116e+00, 2.46338258729702e+00 
-3.06062557320197e-01, -2.65392875717026e+00, 2.25197121134504e+00 
-2.99619135060825e-01, -2.32496687752854e+00, 1.95865073387326e+00 
-2.93175712801452e-01, -2.15024592517455e+00, 1.81383788453350e+00 
-2.86732290542080e-01, -1.90594998736954e+00, 1.61005798419609e+00 
-2.80288868282707e-01, -1.69898888065207e+00, 1.43425212031438e+00 
-2.73845446023334e-01, -1.56468301761203e+00, 1.31889075579498e+00 
-2.67402023763962e-01, -1.43564809811348e+00, 1.21045680439127e+00 
-2.60958601504589e-01, -1.28588220576051e+00, 1.08028253846215e+00 
-2.54515179245217e-01, -1.15469602208651e+00, 9.63647617491338e-01 
-2.48071756985844e-01, -1.07796822541798e+00, 8.92229181580298e-01 
-2.41628334726472e-01, -1.00354122330789e+00, 8.31936691536131e-01 
-2.35184912467099e-01, -9.23058574315086e-01, 7.72083951422316e-01 
-2.28741490207726e-01, -8.37397732810501e-01, 6.97312458247350e-01 
-2.22298067948354e-01, -7.58063416910925e-01, 6.26227360034583e-01 
-2.15854645688981e-01, -7.04760201484327e-01, 5.77993975752714e-01 
-2.09411223429609e-01, -6.35347654554859e-01, 5.12703559973455e-01 
-2.02967801170236e-01, -5.81405766951745e-01, 4.60259946841078e-01 
-1.96524378910864e-01, -5.44206770821392e-01, 4.29653584620062e-01 
-1.90080956651491e-01, -4.93918942961715e-01, 3.91985625722810e-01 
-1.83637534392118e-01, -4.39474061420965e-01, 3.52732975990069e-01 
-1.77194112132746e-01, -3.96842432183128e-01, 3.15251792265198e-01 
-1.70750689873373e-01, -3.56873650852511e-01, 2.79198288037850e-01 
-1.64307267614001e-01, -3.35854144262487e-01, 2.53317981921081e-01 
-1.57863845354628e-01, -3.19162454855358e-01, 2.34456968797432e-01 
-1.51420423095255e-01, -2.93636578136127e-01, 2.18875101299141e-01 
