Strain, Fx, Fz 
-3.62090804530719e-01, -3.01143252075107e-01, 3.40525764751543e-03 
-3.54775838782623e-01, -2.65628726494514e-01, -9.37583456441956e-04 
-3.47460873034528e-01, -2.43271825368743e-01, -4.51359317599137e-03 
-3.40145907286433e-01, -2.19264777335668e-01, -7.91921293457974e-03 
-3.32830941538337e-01, -1.97065859989458e-01, -1.07371135626961e-02 
-3.25515975790242e-01, -1.82024808345053e-01, -1.21420382669839e-02 
-3.18201010042147e-01, -1.70596178014053e-01, -1.31371631660208e-02 
-3.10886044294051e-01, -1.57409970546404e-01, -1.41797349506376e-02 
-3.03571078545956e-01, -1.40038172131128e-01, -1.52102895350041e-02 
-2.96256112797861e-01, -1.17645957364508e-01, -1.59862389919252e-02 
-2.88941147049765e-01, -1.07503218032239e-01, -1.59741245259046e-02 
-2.81626181301670e-01, -1.00002152917056e-01, -1.58393024433656e-02 
-2.74311215553575e-01, -9.27659186731103e-02, -1.56778528360382e-02 
-2.66996249805480e-01, -8.64353263085610e-02, -1.54748189521432e-02 
-2.59681284057384e-01, -7.91833632176284e-02, -1.50767799053032e-02 
-2.52366318309289e-01, -6.77775595747733e-02, -1.40578264895929e-02 
-2.45051352561194e-01, -5.97565592991298e-02, -1.29868566442753e-02 
-2.37736386813098e-01, -5.59827684710455e-02, -1.23450429286379e-02 
-2.30421421065003e-01, -5.23562933830035e-02, -1.19391487146167e-02 
-2.23106455316908e-01, -4.91131336992902e-02, -1.15410575978962e-02 
-2.15791489568812e-01, -4.59049679999832e-02, -1.09524418954498e-02 
-2.08476523820717e-01, -4.12773981519572e-02, -1.01608816056590e-02 
-2.01161558072622e-01, -3.59876192990284e-02, -9.32984038316252e-03 
-1.93846592324526e-01, -3.32060251687627e-02, -8.74230334279617e-03 
-1.86531626576431e-01, -3.08510381292350e-02, -8.11216135796818e-03 
-1.79216660828336e-01, -2.91392948320871e-02, -7.63504804916613e-03 
-1.71901695080240e-01, -2.70944048672317e-02, -7.09140176636563e-03 
-1.64586729332145e-01, -2.50316001928862e-02, -6.61456768075410e-03 
-1.57271763584050e-01, -2.20952767424499e-02, -6.10775297021662e-03 
-1.49956797835954e-01, -1.96508083391891e-02, -5.60343645988404e-03 
-1.42641832087859e-01, -1.77596639192643e-02, -4.92828789101830e-03 
-1.35326866339764e-01, -1.63423003447097e-02, -4.45519336095001e-03 
-1.28011900591668e-01, -1.53846211075269e-02, -4.19423846544719e-03 
-1.20696934843573e-01, -1.41638946289433e-02, -3.93193530731435e-03 
-1.13381969095478e-01, -1.26884675798662e-02, -3.62793642851157e-03 
-1.06067003347382e-01, -1.12394929630734e-02, -3.11848222723056e-03 
-9.87520375992869e-02, -9.88909280427427e-03, -2.76277220417988e-03 
-9.14370718511916e-02, -8.85049076019999e-03, -2.55896756291590e-03 
-8.41221061030963e-02, -8.07974801410104e-03, -2.46723465420521e-03 
-7.68071403550009e-02, -7.50525793349641e-03, -2.25505888713215e-03 
-6.94921746069056e-02, -6.83213906429172e-03, -1.76116547642044e-03 
-6.21772088588103e-02, -5.97575121312765e-03, -1.43585336007001e-03 
-5.48622431107150e-02, -5.08065582209946e-03, -1.27044806965132e-03 
-4.75472773626196e-02, -4.45099918699662e-03, -1.15236878067340e-03 
-4.02323116145243e-02, -3.77807362330642e-03, -1.11059143117720e-03 
-3.29173458664290e-02, -2.68325804857178e-03, -8.47563648944668e-04 
-2.56023801183337e-02, -1.66539521250684e-03, -4.44227812703334e-04 
-1.82874143702383e-02, -1.07694274931355e-03, -2.51929321971496e-04 
-1.09724486221430e-02, -5.56016456529015e-04, -1.61961857417833e-04 
-3.65748287404765e-03, -1.70258652414824e-04, -5.99050015171604e-05 
3.65748287404765e-03, 1.70258652414824e-04, 5.99050015171604e-05 
1.09724486221430e-02, 6.04645569569344e-04, 1.97652095614689e-04 
1.82874143702383e-02, 1.08816588257058e-03, 3.45905293829846e-04 
2.56023801183336e-02, 1.42964948748298e-03, 3.55588585998018e-04 
3.29173458664290e-02, 1.82077487620873e-03, 3.38020974373392e-04 
4.02323116145243e-02, 2.36305564764753e-03, 3.69583080980659e-04 
4.75472773626197e-02, 2.76801641028655e-03, 5.50492820394766e-04 
5.48622431107150e-02, 3.20362441196559e-03, 6.67625145681264e-04 
6.21772088588103e-02, 3.81216396672274e-03, 6.65830409511053e-04 
6.94921746069056e-02, 4.40561659350258e-03, 7.16958888520972e-04 
7.68071403550009e-02, 4.93880352447778e-03, 8.11070188750658e-04 
8.41221061030963e-02, 5.49172754500006e-03, 8.15020974373394e-04 
9.14370718511916e-02, 6.01660190100729e-03, 8.13893531089981e-04 
9.87520375992869e-02, 6.57670728646812e-03, 7.12336593819432e-04 
1.06067003347382e-01, 7.22947535843941e-03, 7.21177701140007e-04 
1.13381969095478e-01, 7.81341480567484e-03, 8.15020974373394e-04 
1.20696934843573e-01, 8.17136478463369e-03, 8.08327458066756e-04 
1.28011900591668e-01, 8.60462277913267e-03, 7.59487371661371e-04 
1.35326866339764e-01, 9.26500542861559e-03, 5.47163554244917e-04 
1.42641832087859e-01, 1.02077873504880e-02, 4.75897381056360e-04 
1.49956797835954e-01, 1.11926332909122e-02, 5.94684836014426e-04 
1.57271763584050e-01, 1.22136133066005e-02, 6.57797323244461e-04 
1.64586729332145e-01, 1.26423031740446e-02, 5.70166000763095e-04 
1.71901695080240e-01, 1.28056564452159e-02, 4.93034974816030e-04 
1.79216660828336e-01, 1.36354201604261e-02, 4.39448978817560e-04 
1.86531626576431e-01, 1.51894694579351e-02, 3.52104297247462e-04 
1.93846592324526e-01, 1.66516398781541e-02, 4.43020313422103e-04 
2.01161558072621e-01, 1.76524413077220e-02, 4.97020974373395e-04 
2.08476523820717e-01, 1.85961136577474e-02, 4.79169158796561e-04 
2.15791489568812e-01, 1.95822234429882e-02, 3.85830966110660e-04 
2.23106455316907e-01, 2.07347496033433e-02, 4.26620009310000e-04 
2.30421421065003e-01, 2.19234638970079e-02, 4.95813900509012e-04 
2.37736386813098e-01, 2.30629779616822e-02, 4.97020974373395e-04 
2.45051352561194e-01, 2.44322176147077e-02, 4.81526562229290e-04 
2.52366318309289e-01, 2.63893408612674e-02, 4.45293330219629e-04 
