Strain, Tx, Tz 
-3.16969799935697e-01, -1.82217888689670e+00, 7.43749132604539e-01 
-3.10566369633966e-01, -1.61601340187148e+00, 6.37312807525340e-01 
-3.04162939332235e-01, -1.50226388464479e+00, 5.66714933352905e-01 
-2.97759509030503e-01, -1.36083010169719e+00, 4.84576161657400e-01 
-2.91356078728772e-01, -1.23948856846114e+00, 4.14121952692000e-01 
-2.84952648427041e-01, -1.15610347660385e+00, 3.65663456654330e-01 
-2.78549218125310e-01, -1.08924478926102e+00, 3.29346268506268e-01 
-2.72145787823578e-01, -1.00099791105790e+00, 2.84721948957147e-01 
-2.65742357521847e-01, -8.87515731297592e-01, 2.30148038447317e-01 
-2.59338927220116e-01, -7.75632946218585e-01, 1.79192867476350e-01 
-2.52935496918385e-01, -7.09904174750749e-01, 1.50514679873386e-01 
-2.46532066616653e-01, -6.63843495602539e-01, 1.33833609770708e-01 
-2.40128636314922e-01, -6.20846938355957e-01, 1.18163996842910e-01 
-2.33725206013191e-01, -5.79895971365831e-01, 1.02212362329874e-01 
-2.27321775711460e-01, -5.19579072401060e-01, 7.94634029405096e-02 
-2.20918345409728e-01, -4.74045595670247e-01, 6.27591807158489e-02 
-2.14514915107997e-01, -4.44643555661679e-01, 5.29197112557743e-02 
-2.08111484806266e-01, -4.10662974356482e-01, 4.46022304325427e-02 
-2.01708054504535e-01, -3.76922314265042e-01, 3.72291041649379e-02 
-1.95304624202803e-01, -3.55126030646522e-01, 3.11479477019372e-02 
-1.88901193901072e-01, -3.27917200960745e-01, 2.46864358094219e-02 
-1.82497763599341e-01, -2.94270379835770e-01, 1.77771468866287e-02 
-1.76094333297610e-01, -2.74951813983262e-01, 1.23636401377653e-02 
-1.69690902995878e-01, -2.57631000016432e-01, 7.67729795450182e-03 
-1.63287472694147e-01, -2.36049382691074e-01, 3.35229278109005e-03 
-1.56884042392416e-01, -2.19180175789084e-01, 2.72443917625004e-04 
-1.50480612090685e-01, -2.05775794685296e-01, -1.74355613662183e-03 
-1.44077181788953e-01, -1.92307435454688e-01, -2.22026934069167e-03 
-1.37673751487222e-01, -1.79259761489939e-01, -2.48233909033529e-03 
-1.31270321185491e-01, -1.67313455597586e-01, -3.55441800141187e-03 
-1.24866890883760e-01, -1.49685219042603e-01, -6.15013531695740e-03 
-1.18463460582028e-01, -1.30321857501210e-01, -8.47759944964415e-03 
-1.12060030280297e-01, -1.23958340163161e-01, -7.05953292680659e-03 
-1.05656599978566e-01, -1.16197167446323e-01, -7.00734119754130e-03 
-9.92531696768345e-02, -1.04236921232856e-01, -9.59999882459673e-03 
-9.28497393751032e-02, -9.56530121617800e-02, -8.74496631499628e-03 
-8.64463090733719e-02, -8.86695964639976e-02, -6.31015057174119e-03 
-8.00428787716407e-02, -7.99833788759818e-02, -6.75024706345487e-03 
-7.36394484699094e-02, -7.31839299736075e-02, -7.68732919046106e-03 
-6.72360181681782e-02, -6.88999761389039e-02, -8.76019681061045e-03 
-6.08325878664469e-02, -5.97588411954283e-02, -7.30324786819899e-03 
-5.44291575647157e-02, -5.12274457405695e-02, -5.61733187728723e-03 
-4.80257272629844e-02, -4.81139916018210e-02, -4.40208812292769e-03 
-4.16222969612532e-02, -4.20849342234941e-02, -3.94600587367767e-03 
-3.52188666595219e-02, -3.38616407090933e-02, -3.99427293381867e-03 
-2.88154363577906e-02, -2.79574802188792e-02, -4.54490075381433e-03 
-2.24120060560594e-02, -2.32206279393583e-02, -2.44428012355700e-03 
-1.60085757543281e-02, -1.67274015573371e-02, 1.69539106509533e-03 
-9.60514545259686e-03, -9.09730597840832e-03, 1.54206626287026e-03 
-3.20171515086565e-03, -1.16450422089396e-03, -3.87682191945635e-04 
3.20171515086565e-03, 1.16450422089395e-03, 3.87682191945635e-04 
9.60514545259690e-03, 4.38857155293004e-03, 2.72570438738432e-03 
1.60085757543282e-02, 9.62712632797842e-03, 6.08384266852354e-03 
2.24120060560594e-02, 1.67113183506542e-02, 7.95806725982352e-03 
2.88154363577907e-02, 2.23540262016857e-02, 8.11457126434740e-03 
3.52188666595220e-02, 2.75218840257501e-02, 8.01501194201119e-03 
4.16222969612532e-02, 3.30646270632294e-02, 9.79038762756347e-03 
4.80257272629844e-02, 3.65884179962782e-02, 1.41050090136929e-02 
5.44291575647157e-02, 4.41125763108291e-02, 1.64198501790394e-02 
6.08325878664470e-02, 5.23606149660456e-02, 1.78897235308274e-02 
6.72360181681782e-02, 5.82062448626987e-02, 1.91855884266450e-02 
7.36394484699095e-02, 6.62474838069129e-02, 2.27470820375972e-02 
8.00428787716407e-02, 7.71577880981178e-02, 2.92295494486286e-02 
8.64463090733720e-02, 8.67069227070196e-02, 3.19935947776048e-02 
9.28497393751032e-02, 9.44912646124458e-02, 3.45896507432700e-02 
9.92531696768345e-02, 1.00344950600227e-01, 3.92411297538839e-02 
1.05656599978566e-01, 1.08052034338129e-01, 4.17948113195997e-02 
1.12060030280297e-01, 1.18196982398534e-01, 4.28673234987965e-02 
1.18463460582028e-01, 1.26710812411988e-01, 4.77623680265774e-02 
1.24866890883760e-01, 1.36672130972320e-01, 5.37385728504748e-02 
1.31270321185491e-01, 1.49128473002083e-01, 5.91127483216557e-02 
1.37673751487222e-01, 1.65419020296914e-01, 6.63295029313473e-02 
1.44077181788953e-01, 1.81607104784196e-01, 7.38542753819518e-02 
1.50480612090685e-01, 1.94813462972342e-01, 8.26694070364477e-02 
1.56884042392416e-01, 2.07628330041622e-01, 8.98184915175672e-02 
1.63287472694147e-01, 2.21642035277866e-01, 9.56219093121523e-02 
1.69690902995878e-01, 2.54792838475548e-01, 1.11313408852317e-01 
1.76094333297610e-01, 2.87438460712774e-01, 1.27401520577235e-01 
1.82497763599341e-01, 3.04669448683499e-01, 1.38655786281479e-01 
1.88901193901072e-01, 3.22432626118705e-01, 1.49426123742091e-01 
