Strain, Tx, Tz 
-4.51054345306377e-01, -3.14305829905166e+00, 7.26622991199082e-01 
-4.41942136310289e-01, -2.73854044497942e+00, 5.93442354899088e-01 
-4.32829927314200e-01, -2.39393467660436e+00, 4.62865683382017e-01 
-4.23717718318112e-01, -2.17401729112653e+00, 3.84110970019276e-01 
-4.14605509322024e-01, -1.98203354198328e+00, 3.17223028914117e-01 
-4.05493300325935e-01, -1.82698878203361e+00, 2.64213380694218e-01 
-3.96381091329847e-01, -1.63300408388452e+00, 2.03315632788922e-01 
-3.87268882333758e-01, -1.36720120578373e+00, 1.25285127239268e-01 
-3.78156673337670e-01, -1.22995754729151e+00, 8.61093567407554e-02 
-3.69044464341581e-01, -1.13036153206175e+00, 5.87996131968501e-02 
-3.59932255345493e-01, -1.02968038969685e+00, 3.25374467900092e-02 
-3.50820046349405e-01, -9.23368994339808e-01, 8.27598657042314e-03 
-3.41707837353316e-01, -8.06637145710208e-01, -1.46397590718867e-02 
-3.32595628357228e-01, -7.05222575779650e-01, -3.21231944551269e-02 
-3.23483419361139e-01, -6.47563883600794e-01, -4.20010650988151e-02 
-3.14371210365051e-01, -5.89086251463866e-01, -4.94514532006050e-02 
-3.05259001368962e-01, -5.37409729414054e-01, -5.55572736336116e-02 
-2.96146792372874e-01, -4.99136657845623e-01, -5.91554165907703e-02 
-2.87034583376786e-01, -4.61387561908495e-01, -6.13522729402304e-02 
-2.77922374380697e-01, -4.05845098605641e-01, -6.12269961924756e-02 
-2.68810165384609e-01, -3.76576622736252e-01, -6.03735351523439e-02 
-2.59697956388520e-01, -3.54484323376589e-01, -5.88737359016588e-02 
-2.50585747392432e-01, -3.27996684188361e-01, -5.75132977984370e-02 
-2.41473538396343e-01, -2.94044932780171e-01, -5.44416895389477e-02 
-2.32361329400255e-01, -2.67598500055931e-01, -5.03058515561495e-02 
-2.23249120404167e-01, -2.41748469133485e-01, -4.81890784848085e-02 
-2.14136911408078e-01, -2.23671583206012e-01, -4.46938931643719e-02 
-2.05024702411990e-01, -2.03864041770644e-01, -4.01638704663459e-02 
-1.95912493415901e-01, -1.87239976646372e-01, -3.58325793130174e-02 
-1.86800284419813e-01, -1.78717686545217e-01, -3.24571218144159e-02 
-1.77688075423724e-01, -1.66251343303867e-01, -3.07539147405139e-02 
-1.68575866427636e-01, -1.52903379761723e-01, -2.67072807494789e-02 
-1.59463657431548e-01, -1.37254796935801e-01, -2.25548546238496e-02 
-1.50351448435459e-01, -1.22238367225721e-01, -1.97307063360033e-02 
-1.41239239439371e-01, -1.15891392354818e-01, -1.65684252747675e-02 
-1.32127030443282e-01, -1.10963278131381e-01, -1.45620955141084e-02 
-1.23014821447194e-01, -1.00897053504630e-01, -1.45369989647138e-02 
-1.13902612451105e-01, -8.62857252886365e-02, -9.83709740583051e-03 
