Strain, Fx, Fz 
-3.16787371898421e-01, -1.38690119710234e-01, 1.24163844996245e-01 
-3.10387627011584e-01, -1.21308060362915e-01, 1.05829571726402e-01 
-3.03987882124747e-01, -1.11393790470695e-01, 9.51260931461693e-02 
-2.97588137237911e-01, -1.01864623054944e-01, 8.48161241236875e-02 
-2.91188392351074e-01, -9.38976382519744e-02, 7.60011158185310e-02 
-2.84788647464237e-01, -8.64641868458406e-02, 6.81332186773296e-02 
-2.78388902577400e-01, -7.78544332862149e-02, 5.94372745444835e-02 
-2.71989157690564e-01, -7.18716629855904e-02, 5.34753569905425e-02 
-2.65589412803727e-01, -6.77283530556903e-02, 4.94028829713711e-02 
-2.59189667916890e-01, -6.29955143806980e-02, 4.48455417933261e-02 
-2.52789923030053e-01, -5.77711132967797e-02, 3.99186257030373e-02 
-2.46390178143216e-01, -5.34080279827919e-02, 3.58616052448432e-02 
-2.39990433256380e-01, -5.00701393240633e-02, 3.28133879027539e-02 
-2.33590688369543e-01, -4.65349377762186e-02, 2.97821903941609e-02 
-2.27190943482706e-01, -4.27544691953508e-02, 2.62303739191507e-02 
-2.20791198595869e-01, -3.94421462749079e-02, 2.32789803545625e-02 
-2.14391453709032e-01, -3.69303676980533e-02, 2.13705293706690e-02 
-2.07991708822196e-01, -3.48809867074645e-02, 1.96553229220060e-02 
-2.01591963935359e-01, -3.26847271929197e-02, 1.77503797515563e-02 
-1.95192219048522e-01, -2.98434983132904e-02, 1.56029513681312e-02 
-1.88792474161685e-01, -2.73718744061243e-02, 1.37807079490791e-02 
-1.82392729274849e-01, -2.56585528656520e-02, 1.25319200720461e-02 
-1.75992984388012e-01, -2.40952239145944e-02, 1.14770081310579e-02 
-1.69593239501175e-01, -2.26786882389109e-02, 1.05234111401868e-02 
-1.63193494614338e-01, -2.16552393575745e-02, 9.75281405940100e-03 
-1.56793749727501e-01, -2.00054111785225e-02, 8.65303595268018e-03 
-1.50394004840665e-01, -1.76427080407590e-02, 7.20780322646575e-03 
-1.43994259953828e-01, -1.64260539540009e-02, 6.48155109753404e-03 
-1.37594515066991e-01, -1.53660420964762e-02, 5.91515218080830e-03 
-1.31194770180154e-01, -1.42472018067279e-02, 5.41543890433997e-03 
-1.24795025293317e-01, -1.33344131444404e-02, 5.02540631189604e-03 
-1.18395280406481e-01, -1.25327243292736e-02, 4.51051093401666e-03 
-1.11995535519644e-01, -1.17214340356188e-02, 3.86866195040725e-03 
-1.05595790632807e-01, -1.09066503167394e-02, 3.36503702329733e-03 
-9.91960457459702e-02, -1.00647568834442e-02, 3.03294467977523e-03 
-9.27963008591335e-02, -9.22159547269748e-03, 2.70848871993315e-03 
-8.63965559722966e-02, -8.47363653433442e-03, 2.40243117044016e-03 
-7.99968110854599e-02, -7.57517128265253e-03, 2.17908012810889e-03 
-7.35970661986231e-02, -6.49660397008290e-03, 1.87600137673374e-03 
-6.71973213117863e-02, -5.50231075230544e-03, 1.46694642493954e-03 
-6.07975764249495e-02, -5.10990538850097e-03, 1.16756854115169e-03 
-5.43978315381127e-02, -4.87700649701450e-03, 9.47971016644423e-04 
-4.79980866512759e-02, -4.33177636198047e-03, 9.03795572154222e-04 
-4.15983417644391e-02, -3.62731276498056e-03, 8.73198656713424e-04 
-3.51985968776023e-02, -2.69975060515906e-03, 7.42465252610715e-04 
-2.87988519907655e-02, -2.25744321222597e-03, 5.79902289384166e-04 
-2.23991071039288e-02, -1.75000537713850e-03, 4.03848824762697e-04 
-1.59993622170920e-02, -7.13573639457745e-04, 1.73580838353119e-04 
-9.59961733025520e-03, -2.00969743827674e-04, 3.06313070363145e-05 
-3.19987244341839e-03, -1.63306149724223e-04, 7.75058136798928e-05 
3.19987244341839e-03, 1.63306149724223e-04, -7.75058136798928e-05 
9.59961733025520e-03, 8.80108807790005e-04, -1.55158877667132e-04 
1.59993622170919e-02, 1.99185664424864e-03, -3.61342551895190e-05 
2.23991071039287e-02, 2.74263500749820e-03, -6.80193974952545e-06 
2.87988519907656e-02, 3.42775203034974e-03, 6.92176606199787e-05 
3.51985968776023e-02, 3.70533544103838e-03, -9.60492178445401e-05 
4.15983417644392e-02, 3.98527974316371e-03, -2.29634915098149e-04 
4.79980866512759e-02, 4.74263476713992e-03, -7.69013787814202e-05 
5.43978315381127e-02, 5.59392917137753e-03, -1.31725945340153e-04 
6.07975764249495e-02, 6.47700656535334e-03, -2.40619794995237e-04 
6.71973213117863e-02, 7.54240496178452e-03, -2.79313663221719e-04 
7.35970661986231e-02, 8.44843833526882e-03, -2.89634243813531e-04 
7.99968110854599e-02, 9.20581407173876e-03, -1.93174021506844e-04 
8.63965559722966e-02, 9.81378875217524e-03, -1.14122206769859e-04 
9.27963008591335e-02, 1.03674178160592e-02, -4.92044278457785e-05 
9.91960457459703e-02, 1.09250764933511e-02, -4.92044278457785e-05 
1.05595790632807e-01, 1.21036135680874e-02, 1.89709118523635e-04 
1.11995535519644e-01, 1.38372788602946e-02, 5.21667409734927e-04 
1.18395280406481e-01, 1.52056571055386e-02, 6.96332423845017e-04 
1.24795025293317e-01, 1.62802954326303e-02, 8.58327970868794e-04 
1.31194770180154e-01, 1.73342359946618e-02, 1.17838278648283e-03 
1.37594515066991e-01, 1.85843696419295e-02, 1.64918592140010e-03 
1.43994259953828e-01, 2.04143542616064e-02, 2.17909975218138e-03 
1.50394004840665e-01, 2.28005086923926e-02, 2.66064472130985e-03 
1.56793749727501e-01, 2.45276821529524e-02, 3.16188985561957e-03 
1.63193494614338e-01, 2.61027803967842e-02, 3.72954124056660e-03 
1.69593239501175e-01, 2.80725865595201e-02, 4.33117948392399e-03 
1.75992984388012e-01, 3.03211173353930e-02, 4.97850584905563e-03 
1.82392729274849e-01, 3.42598206894852e-02, 6.65301292889561e-03 
1.88792474161685e-01, 3.74719909984242e-02, 7.98731851100381e-03 
1.95192219048522e-01, 4.01367873868219e-02, 9.05216586360119e-03 
2.01591963935359e-01, 4.37422364587853e-02, 1.07078435400248e-02 
2.07991708822196e-01, 4.76323108767751e-02, 1.25178886045069e-02 
2.14391453709032e-01, 5.06164697220208e-02, 1.39416102092614e-02 
2.20791198595869e-01, 5.43950553464547e-02, 1.59418498798191e-02 
2.27190943482706e-01, 5.99544961637652e-02, 1.89061993059981e-02 
2.33590688369543e-01, 6.51106701245548e-02, 2.17556693182433e-02 
2.39990433256380e-01, 7.08135841524305e-02, 2.50226283083827e-02 
2.46390178143216e-01, 7.92516396476224e-02, 2.97543024812031e-02 
2.52789923030053e-01, 8.83473247155926e-02, 3.48482461706380e-02 
2.59189667916890e-01, 9.60467500547349e-02, 3.95643958017498e-02 
2.65589412803727e-01, 1.03060111099688e-01, 4.42055666345996e-02 
2.71989157690563e-01, 1.11113481357492e-01, 4.95397723312921e-02 
2.78388902577400e-01, 1.24339204015457e-01, 5.81527020819102e-02 
2.84788647464237e-01, 1.37806041758771e-01, 6.75312403337316e-02 
2.91188392351074e-01, 1.56502007561481e-01, 8.12061645831205e-02 
2.97588137237911e-01, 1.72383816093775e-01, 9.26800156912959e-02 
3.03987882124748e-01, 1.87270659351415e-01, 1.03869622831531e-01 
3.10387627011584e-01, 2.04174860778429e-01, 1.16555054737144e-01 
3.16787371898421e-01, 2.31439048281066e-01, 1.37520000982834e-01 
