Strain, Fx, Fz 
-3.07965354773208e-01, -6.15525924232010e-01, 9.42763469771676e-01 
-3.01743832454557e-01, -5.51505887608784e-01, 8.58070187045295e-01 
-2.95522310135906e-01, -5.07257795910306e-01, 7.86744753142813e-01 
-2.89300787817256e-01, -4.71910557286285e-01, 7.34462115913338e-01 
-2.83079265498605e-01, -4.38813824828480e-01, 6.86641651964205e-01 
-2.76857743179954e-01, -3.99867578768035e-01, 6.29986697908244e-01 
-2.70636220861304e-01, -3.60543973375294e-01, 5.72148662390037e-01 
-2.64414698542653e-01, -3.19823661981208e-01, 5.12685775300452e-01 
-2.58193176224002e-01, -2.79296274986234e-01, 4.53742157090448e-01 
-2.51971653905352e-01, -2.55676694966106e-01, 4.18654335078498e-01 
-2.45750131586701e-01, -2.35608348115837e-01, 3.88466945616133e-01 
-2.39528609268050e-01, -2.16533365615450e-01, 3.59200177116378e-01 
-2.33307086949400e-01, -1.92364846423515e-01, 3.21286796275824e-01 
-2.27085564630749e-01, -1.71735258595305e-01, 2.88984271209866e-01 
-2.20864042312098e-01, -1.55553058977470e-01, 2.64557353928431e-01 
-2.14642519993448e-01, -1.37506529098829e-01, 2.36394831738210e-01 
-2.08420997674797e-01, -1.20784553109367e-01, 2.08952859372917e-01 
-2.02199475356146e-01, -1.09600677422646e-01, 1.90321503559971e-01 
-1.95977953037496e-01, -1.00837788728084e-01, 1.75709867285584e-01 
-1.89756430718845e-01, -9.40269156163966e-02, 1.64506698499135e-01 
-1.83534908400194e-01, -8.66493356920256e-02, 1.52508120224587e-01 
-1.77313386081544e-01, -7.84235748671561e-02, 1.39058469041096e-01 
-1.71091863762893e-01, -7.20701668576242e-02, 1.28451568139641e-01 
-1.64870341444242e-01, -6.55640165414036e-02, 1.17476567571178e-01 
-1.58648819125592e-01, -5.76317653947712e-02, 1.04017809308233e-01 
-1.52427296806941e-01, -5.12165927182669e-02, 9.31390128934106e-02 
-1.46205774488290e-01, -4.57357293874001e-02, 8.38445372563149e-02 
-1.39984252169640e-01, -4.23983504910320e-02, 7.76355835733748e-02 
-1.33762729850989e-01, -3.91471693181207e-02, 7.16356299626442e-02 
-1.27541207532338e-01, -3.55813783290988e-02, 6.52854296643939e-02 
-1.21319685213688e-01, -3.11425088992103e-02, 5.74206210279642e-02 
-1.15098162895037e-01, -2.68660235691919e-02, 4.98773656537346e-02 
-1.08876640576387e-01, -2.45519716148314e-02, 4.58894277945075e-02 
-1.02655118257736e-01, -2.23251369199031e-02, 4.16446024962584e-02 
-9.64335959390852e-02, -2.00894492794142e-02, 3.66221186776692e-02 
-9.02120736204345e-02, -1.78003979663889e-02, 3.25477223141511e-02 
-8.39905513017839e-02, -1.56089285801105e-02, 2.89042201452608e-02 
-7.77690289831332e-02, -1.35118203331117e-02, 2.49435340813652e-02 
-7.15475066644826e-02, -1.19234142911994e-02, 2.19197710076289e-02 
-6.53259843458319e-02, -1.08413946154966e-02, 1.98419425338629e-02 
-5.91044620271813e-02, -9.64686827832326e-03, 1.75799277780822e-02 
-5.28829397085306e-02, -8.29514521488817e-03, 1.50712897547218e-02 
-4.66614173898800e-02, -6.76448953977861e-03, 1.20449202325295e-02 
-4.04398950712292e-02, -5.38902994500817e-03, 9.24672207885317e-03 
-3.42183727525786e-02, -4.16340449198381e-03, 6.93804234748842e-03 
-2.79968504339280e-02, -3.29592372446669e-03, 5.60939031906239e-03 
-2.17753281152773e-02, -2.43922845012961e-03, 4.31373883683024e-03 
-1.55538057966267e-02, -1.58106972952775e-03, 2.97183989840918e-03 
-9.33228347797595e-03, -8.29597206121311e-04, 1.65468918801671e-03 
-3.11076115932533e-03, -2.05489907619682e-04, 3.54840800476488e-04 
3.11076115932533e-03, 2.05489907619682e-04, -3.54840800476488e-04 
9.33228347797599e-03, 7.05772716653901e-04, -1.10356699110511e-03 
1.55538057966267e-02, 1.40016587415376e-03, -2.04603773256275e-03 
2.17753281152773e-02, 2.32444458513097e-03, -3.47002657550967e-03 
2.79968504339279e-02, 3.12837970560176e-03, -4.49917853031800e-03 
3.42183727525786e-02, 3.73445579163552e-03, -4.94283677144169e-03 
4.04398950712293e-02, 4.30030804907868e-03, -5.56119922188627e-03 
4.66614173898800e-02, 4.86747025218412e-03, -6.43859244006199e-03 
5.28829397085306e-02, 5.06225648149880e-03, -7.02736470417074e-03 
5.91044620271812e-02, 5.29557845851469e-03, -7.51380979070171e-03 
6.53259843458319e-02, 5.85478406360484e-03, -7.73617008690602e-03 
7.15475066644826e-02, 6.66012543361508e-03, -7.97780634326808e-03 
7.77690289831333e-02, 7.68640431507765e-03, -8.25621991681925e-03 
8.39905513017839e-02, 8.38115714385220e-03, -8.71868457584967e-03 
9.02120736204345e-02, 8.82471403060266e-03, -9.02108245390651e-03 
9.64335959390852e-02, 9.01608742383346e-03, -9.01150182508532e-03 
1.02655118257736e-01, 9.41865660286244e-03, -9.13186331556740e-03 
1.08876640576387e-01, 1.00260023543081e-02, -9.40087655820770e-03 
1.15098162895037e-01, 1.08897255811235e-02, -9.16599788647785e-03 
1.21319685213688e-01, 1.18046316407252e-02, -8.94631551772283e-03 
1.27541207532338e-01, 1.27866128628086e-02, -8.91966452637798e-03 
1.33762729850989e-01, 1.33747545256065e-02, -8.85433088887456e-03 
1.39984252169640e-01, 1.38247283574104e-02, -8.68653126037790e-03 
1.46205774488291e-01, 1.45342738895421e-02, -8.14157664637694e-03 
1.52427296806941e-01, 1.55005140249295e-02, -7.41805732764392e-03 
1.58648819125592e-01, 1.68953661542399e-02, -6.69437139644878e-03 
1.64870341444242e-01, 1.80714662733198e-02, -6.11047637184839e-03 
1.71091863762893e-01, 1.91277696703624e-02, -5.50684454470151e-03 
1.77313386081544e-01, 2.02385815146064e-02, -4.79870384306228e-03 
1.83534908400194e-01, 2.13096011973597e-02, -3.88487729089878e-03 
1.89756430718845e-01, 2.26277518521425e-02, -2.79334201896785e-03 
1.95977953037496e-01, 2.42867651350440e-02, -1.13200715911313e-03 
2.02199475356146e-01, 2.61244231704564e-02, 6.41285431152550e-04 
2.08420997674797e-01, 2.81482063413733e-02, 2.25466474874737e-03 
2.14642519993448e-01, 3.05572410173471e-02, 4.40271971681364e-03 
2.20864042312098e-01, 3.29767481145637e-02, 6.73544770320561e-03 
2.27085564630749e-01, 3.47465847836368e-02, 8.57291303100975e-03 
2.33307086949400e-01, 3.65440080215526e-02, 1.04775174653997e-02 
2.39528609268050e-01, 3.88729467950727e-02, 1.29808339906896e-02 
2.45750131586701e-01, 4.25178420846980e-02, 1.70046236991176e-02 
2.51971653905352e-01, 4.72873087551046e-02, 2.24091515992413e-02 
2.58193176224002e-01, 5.15571763238041e-02, 2.71857865719667e-02 
2.64414698542653e-01, 5.53396758215738e-02, 3.14321441140917e-02 
2.70636220861304e-01, 5.89012302405683e-02, 3.54610985995522e-02 
2.76857743179954e-01, 6.53686435495522e-02, 4.33494804098911e-02 
2.83079265498605e-01, 7.25597530050366e-02, 5.20056258846584e-02 
2.89300787817256e-01, 8.13490318139634e-02, 6.19838679389182e-02 
