Strain, Fz 
-1.15323420290263e-01, -5.73038145545280e-01 
-1.12993654223793e-01, -5.27874612300313e-01 
-1.10663888157323e-01, -4.69812037481915e-01 
-1.08334122090853e-01, -4.41490981125258e-01 
-1.06004356024383e-01, -4.22250672492502e-01 
-1.03674589957913e-01, -3.97224952759523e-01 
-1.01344823891443e-01, -3.68089205243681e-01 
-9.90150578249735e-02, -3.36543995541077e-01 
-9.66852917585035e-02, -3.05261942642765e-01 
-9.43555256920335e-02, -2.78186790806076e-01 
-9.20257596255636e-02, -2.59317853923857e-01 
-8.96959935590936e-02, -2.46109389594992e-01 
-8.73662274926236e-02, -2.33959653688757e-01 
-8.50364614261537e-02, -2.21843124958495e-01 
-8.27066953596837e-02, -2.06547413174397e-01 
-8.03769292932138e-02, -1.89602699302011e-01 
-7.80471632267438e-02, -1.74948190656615e-01 
-7.57173971602738e-02, -1.60816765815107e-01 
-7.33876310938039e-02, -1.49943526854040e-01 
-7.10578650273339e-02, -1.42460008874387e-01 
-6.87280989608639e-02, -1.34985521800057e-01 
-6.63983328943940e-02, -1.26380958724096e-01 
-6.40685668279240e-02, -1.16988080882802e-01 
-6.17388007614540e-02, -1.07817222644852e-01 
-5.94090346949841e-02, -9.83716154142249e-02 
-5.70792686285141e-02, -9.04030442700742e-02 
-5.47495025620441e-02, -8.46980948780692e-02 
-5.24197364955742e-02, -7.89931454860643e-02 
-5.00899704291042e-02, -7.48138378855601e-02 
-4.77602043626343e-02, -7.10767342379816e-02 
-4.54304382961643e-02, -6.73357106935854e-02 
-4.31006722296943e-02, -6.35175999038524e-02 
-4.07709061632244e-02, -5.96757971678794e-02 
-3.84411400967544e-02, -5.57286787804342e-02 
-3.61113740302844e-02, -5.17741101758300e-02 
-3.37816079638145e-02, -4.77851193843778e-02 
-3.14518418973445e-02, -4.38131044332383e-02 
-2.91220758308745e-02, -3.98333139004003e-02 
-2.67923097644046e-02, -3.57387814347007e-02 
-2.44625436979346e-02, -3.16314963347222e-02 
-2.21327776314647e-02, -2.76262657481316e-02 
-1.98030115649947e-02, -2.33378954153383e-02 
-1.74732454985247e-02, -1.95897070135112e-02 
-1.51434794320548e-02, -1.66840269995054e-02 
-1.28137133655848e-02, -1.37803781768420e-02 
-1.04839472991148e-02, -1.08545266810241e-02 
-8.15418123264488e-03, -8.49229308434566e-03 
-5.82441516617491e-03, -6.13005948766723e-03 
-3.49464909970494e-03, -3.64068016023945e-03 
-1.16488303323497e-03, -1.10713932243216e-03 
1.16488303323497e-03, 1.10713932243215e-03 
3.49464909970494e-03, 3.22027435616406e-03 
5.82441516617491e-03, 5.08433006593538e-03 
8.15418123264488e-03, 6.76452506021934e-03 
1.04839472991148e-02, 8.44472005450330e-03 
1.28137133655848e-02, 1.03149797147912e-02 
1.51434794320548e-02, 1.22027816434357e-02 
1.74732454985247e-02, 1.41067950085691e-02 
1.98030115649947e-02, 1.62793170119059e-02 
2.21327776314647e-02, 1.84073086776211e-02 
2.44625436979346e-02, 2.04915586405679e-02 
2.67923097644046e-02, 2.25848648348312e-02 
2.91220758308745e-02, 2.48866131569354e-02 
3.14518418973445e-02, 2.82394890246744e-02 
3.37816079638145e-02, 3.15923648924133e-02 
3.61113740302845e-02, 3.67719407622698e-02 
3.84411400967544e-02, 4.23061594376651e-02 
4.07709061632244e-02, 4.77080283302204e-02 
4.31006722296943e-02, 5.30560031786033e-02 
4.54304382961643e-02, 5.74673252902825e-02 
4.77602043626343e-02, 6.16425995343388e-02 
5.00899704291042e-02, 6.51448993866723e-02 
5.24197364955742e-02, 6.84370567091550e-02 
5.47495025620441e-02, 7.17271578536322e-02 
5.70792686285141e-02, 7.50655126310530e-02 
5.94090346949841e-02, 7.88084079392499e-02 
6.17388007614540e-02, 8.26854455072880e-02 
6.40685668279240e-02, 8.76558763877824e-02 
6.63983328943940e-02, 9.26422624214039e-02 
6.87280989608639e-02, 9.84199114494290e-02 
7.10578650273339e-02, 1.04722685479986e-01 
7.33876310938038e-02, 1.13073994658913e-01 
7.57173971602738e-02, 1.22736429497763e-01 
7.80471632267438e-02, 1.32271172792306e-01 
8.03769292932138e-02, 1.41828737355087e-01 
8.27066953596837e-02, 1.51728179362365e-01 
8.50364614261537e-02, 1.59466820395397e-01 
8.73662274926236e-02, 1.67046556257210e-01 
8.96959935590936e-02, 1.75876761166986e-01 
9.20257596255636e-02, 1.91549799838446e-01 
9.43555256920335e-02, 2.08833987756898e-01 
9.66852917585035e-02, 2.29665946458612e-01 
9.90150578249735e-02, 2.44686042396134e-01 
1.01344823891443e-01, 2.59265594632454e-01 
1.03674589957913e-01, 2.74161959049235e-01 
1.06004356024383e-01, 2.90428299936004e-01 
1.08334122090853e-01, 3.14004865669591e-01 
1.10663888157323e-01, 3.46253869925598e-01 
1.12993654223793e-01, 3.72069002696163e-01 
1.15323420290263e-01, 3.98965168166982e-01 
