Strain, Tx, Tz 
-2.90924801502029e-01, -1.14761868656032e+00, 4.03745079749150e-01 
-2.85047532784816e-01, -1.03741325467948e+00, 3.59354418893044e-01 
-2.79170264067604e-01, -9.48107956030980e-01, 3.08548685856725e-01 
-2.73292995350391e-01, -8.81667054129035e-01, 2.85129669243923e-01 
-2.67415726633178e-01, -8.29570657766487e-01, 2.59723806752218e-01 
-2.61538457915965e-01, -7.70288297593942e-01, 2.35616131741089e-01 
-2.55661189198753e-01, -7.07048850735855e-01, 2.13394959432374e-01 
-2.49783920481540e-01, -6.41514103596967e-01, 1.92114134221267e-01 
-2.43906651764327e-01, -5.94024832447195e-01, 1.74545703250114e-01 
-2.38029383047115e-01, -5.54081872353836e-01, 1.56563834198504e-01 
-2.32152114329902e-01, -5.01501382777640e-01, 1.26265563529233e-01 
-2.26274845612689e-01, -4.64309070858990e-01, 1.04167686587721e-01 
-2.20397576895476e-01, -4.44091554682489e-01, 9.09400079106236e-02 
-2.14520308178264e-01, -4.13509033353739e-01, 7.77484289641604e-02 
-2.08643039461051e-01, -3.78690366973641e-01, 6.36187699992549e-02 
-2.02765770743838e-01, -3.60465198296451e-01, 5.44927105119849e-02 
-1.96888502026626e-01, -3.41503574224846e-01, 4.39587546730974e-02 
-1.91011233309413e-01, -3.22223466133698e-01, 3.24776722878903e-02 
-1.85133964592200e-01, -3.14593809764662e-01, 2.57530330824411e-02 
-1.79256695874988e-01, -3.04687341466890e-01, 2.01013731556479e-02 
-1.73379427157775e-01, -2.88315806857752e-01, 1.70229094961869e-02 
-1.67502158440562e-01, -2.72366750962185e-01, 1.50695722015593e-02 
-1.61624889723349e-01, -2.56062284223662e-01, 1.38035120575496e-02 
-1.55747621006137e-01, -2.32869040356090e-01, -1.00087720453987e-03 
-1.49870352288924e-01, -2.14396126883936e-01, -1.13112634023335e-02 
-1.43993083571711e-01, -2.04705205350979e-01, -1.23614222368282e-02 
-1.38115814854499e-01, -1.93142475647616e-01, -1.18938564281122e-02 
-1.32238546137286e-01, -1.80618966728252e-01, -1.18938564281122e-02 
-1.26361277420073e-01, -1.59938283482145e-01, -1.09184688538939e-02 
-1.20484008702860e-01, -1.39924049695351e-01, -1.07843724517000e-02 
-1.14606739985648e-01, -1.22277442047597e-01, -1.03406224602456e-02 
-1.08729471268435e-01, -1.08188353720586e-01, -6.75333734794535e-03 
-1.02852202551222e-01, -9.61475184320749e-02, -2.21499082128176e-03 
-9.69749338340096e-02, -8.90840234432865e-02, -2.73152749796014e-03 
-9.10976651167969e-02, -8.68353007733683e-02, -6.83908362449686e-03 
-8.52203963995842e-02, -8.86436504974874e-02, -1.41027886638955e-02 
-7.93431276823715e-02, -8.64385391322776e-02, -1.80757323803368e-02 
-7.34658589651588e-02, -8.37104480488568e-02, -2.05165657588176e-02 
-6.75885902479461e-02, -8.94070517510863e-02, -2.10962460114721e-02 
-6.17113215307334e-02, -9.09221899729063e-02, -2.30274710195334e-02 
-5.58340528135207e-02, -8.57668969961592e-02, -2.50051515386412e-02 
-4.99567840963080e-02, -7.54165663169301e-02, -2.21180772568524e-02 
-4.40795153790953e-02, -6.42494907911525e-02, -1.79144731071701e-02 
-3.82022466618826e-02, -5.64249560221639e-02, -1.51829409768222e-02 
-3.23249779446699e-02, -4.22159827511045e-02, -1.13096945209695e-02 
-2.64477092274571e-02, -2.66435976869507e-02, -7.34719890382172e-03 
-2.05704405102445e-02, -1.87248571295844e-02, -4.85038123140433e-03 
-1.46931717930318e-02, -1.19246130969656e-02, -1.86018968592743e-03 
-8.81590307581905e-03, -3.39490130951407e-03, 2.47014934263787e-03 
-2.93863435860635e-03, -1.97348264318919e-05, 1.74764314101691e-03 
2.93863435860639e-03, 1.97348264318924e-05, -1.74764314101685e-03 
8.81590307581905e-03, 2.78615573351664e-03, -1.32068804586351e-03 
1.46931717930317e-02, 5.55418478083396e-03, -6.61576199313703e-04 
2.05704405102445e-02, 8.36928256881666e-03, 1.19138341310203e-05 
2.64477092274572e-02, 1.55813702723554e-02, 8.62905627507360e-05 
3.23249779446698e-02, 2.51451280107272e-02, 7.47510907107538e-04 
3.82022466618826e-02, 3.50730379175732e-02, 7.60660379127063e-03 
4.40795153790953e-02, 4.49970553682122e-02, 9.00197917447907e-03 
4.99567840963080e-02, 5.29984859711991e-02, 6.68826752035238e-03 
5.58340528135207e-02, 5.63048723100953e-02, 1.08130549376130e-02 
6.17113215307334e-02, 6.13049703309773e-02, 1.55977838570199e-02 
6.75885902479461e-02, 7.22465703550371e-02, 1.90014102829655e-02 
7.34658589651588e-02, 7.89198617267634e-02, 1.87243600429035e-02 
7.93431276823715e-02, 8.18069147984852e-02, 1.68951681512231e-02 
8.52203963995842e-02, 8.80168882485513e-02, 1.71927186379597e-02 
9.10976651167969e-02, 9.81190036433294e-02, 1.93348104475922e-02 
9.69749338340096e-02, 1.09831907359246e-01, 2.12746257846378e-02 
1.02852202551222e-01, 1.15391669509527e-01, 2.22144592868722e-02 
1.08729471268435e-01, 1.18069051440838e-01, 2.37310870206911e-02 
1.14606739985648e-01, 1.23205612544807e-01, 2.50078151400972e-02 
1.20484008702860e-01, 1.30596771280596e-01, 2.54826968758892e-02 
1.26361277420073e-01, 1.40945413246850e-01, 2.46480982672113e-02 
1.32238546137286e-01, 1.48653939241037e-01, 2.94414772012902e-02 
1.38115814854499e-01, 1.54827345657945e-01, 3.67630729833520e-02 
1.43993083571711e-01, 1.57116114620160e-01, 3.90603701757775e-02 
1.49870352288924e-01, 1.61760263222413e-01, 4.26004646872003e-02 
1.55747621006137e-01, 1.72260665766951e-01, 4.97598435551198e-02 
1.61624889723349e-01, 1.76173075542060e-01, 5.03083749651372e-02 
1.67502158440562e-01, 1.81168342138608e-01, 5.04511945573661e-02 
1.73379427157775e-01, 1.91510076368775e-01, 5.11651171730879e-02 
1.79256695874987e-01, 2.00785257440764e-01, 5.25062787024895e-02 
1.85133964592200e-01, 2.07690178850710e-01, 5.51680713460470e-02 
1.91011233309413e-01, 2.22847052864448e-01, 6.12107509221862e-02 
1.96888502026626e-01, 2.37612805459406e-01, 6.76617137063456e-02 
2.02765770743838e-01, 2.42754870474331e-01, 7.24127474620634e-02 
2.08643039461051e-01, 2.59680884368371e-01, 7.70439952979568e-02 
2.14520308178264e-01, 2.83361768710875e-01, 8.21605702936896e-02 
2.20397576895476e-01, 3.00773241373735e-01, 8.95340626036244e-02 
2.26274845612689e-01, 3.22807702547269e-01, 1.01113153335178e-01 
2.32152114329902e-01, 3.43934610638443e-01, 1.16146733619382e-01 
2.38029383047115e-01, 3.68361777584829e-01, 1.22893549692541e-01 
2.43906651764327e-01, 4.03670266715954e-01, 1.34193820905058e-01 
2.49783920481540e-01, 4.58945441088608e-01, 1.60358029957345e-01 
2.55661189198753e-01, 5.04848821175010e-01, 1.81860555225363e-01 
2.61538457915965e-01, 5.40832338049904e-01, 1.98467258963926e-01 
2.67415726633178e-01, 5.80697220840591e-01, 2.19020027419446e-01 
2.73292995350391e-01, 6.32491445862124e-01, 2.50496558273969e-01 
2.79170264067603e-01, 6.95271584557610e-01, 2.89251906856881e-01 
2.85047532784816e-01, 7.52562400667308e-01, 3.19403228711248e-01 
2.90924801502029e-01, 7.97089671279820e-01, 3.46482931622420e-01 
