Strain, Tx, Tz 
-2.76681196328317e-01, -1.28994270363996e+00, 9.04421271354044e-01 
-2.71091677210573e-01, -1.15357920642441e+00, 7.86757355475795e-01 
-2.65502158092829e-01, -1.07181653426988e+00, 7.08257805836784e-01 
-2.59912638975085e-01, -9.96619342167153e-01, 6.39957252629169e-01 
-2.54323119857342e-01, -9.35799065501664e-01, 5.83285626741190e-01 
-2.48733600739598e-01, -8.49379010920531e-01, 5.08114202873178e-01 
-2.43144081621854e-01, -7.72291539941243e-01, 4.43323295491778e-01 
-2.37554562504110e-01, -7.34602119675137e-01, 4.10792375321103e-01 
-2.31965043386366e-01, -6.97251616401857e-01, 3.80691140248575e-01 
-2.26375524268623e-01, -6.47128962927841e-01, 3.45027389270263e-01 
-2.20786005150879e-01, -6.01452071732763e-01, 3.12904494496606e-01 
-2.15196486033135e-01, -5.60308635096836e-01, 2.81282710812837e-01 
-2.09606966915391e-01, -5.12079524866356e-01, 2.45295344073185e-01 
-2.04017447797648e-01, -4.76059416873452e-01, 2.17647120901152e-01 
-1.98427928679904e-01, -4.49447885583645e-01, 1.95915611624818e-01 
-1.92838409562160e-01, -4.25115897762121e-01, 1.76492278492327e-01 
-1.87248890444416e-01, -3.98815467023904e-01, 1.60655473406332e-01 
-1.81659371326673e-01, -3.77254172274316e-01, 1.46866978097881e-01 
-1.76069852208929e-01, -3.50265472781252e-01, 1.27926275395958e-01 
-1.70480333091185e-01, -3.22505352173987e-01, 1.09711283645387e-01 
-1.64890813973441e-01, -3.01029089456943e-01, 9.72248107457053e-02 
-1.59301294855697e-01, -2.83722319232286e-01, 8.72299557897691e-02 
-1.53711775737954e-01, -2.69090883003181e-01, 7.75305639831076e-02 
-1.48122256620210e-01, -2.52421735612074e-01, 6.83913522226021e-02 
-1.42532737502466e-01, -2.37648833775802e-01, 6.12414506753389e-02 
-1.36943218384722e-01, -2.23065818412402e-01, 5.41615995814713e-02 
-1.31353699266979e-01, -2.09378868670925e-01, 4.69100780975622e-02 
-1.25764180149235e-01, -1.99780061805178e-01, 4.09031699924462e-02 
-1.20174661031491e-01, -1.91020652539472e-01, 3.61712435610819e-02 
-1.14585141913747e-01, -1.79409253002882e-01, 3.19927321503641e-02 
-1.08995622796004e-01, -1.67482204000699e-01, 2.88691017341742e-02 
-1.03406103678260e-01, -1.56857683267901e-01, 2.68516953043918e-02 
-9.78165845605160e-02, -1.47572449444056e-01, 2.31573017393728e-02 
-9.22270654427722e-02, -1.38312096755236e-01, 1.80424736121091e-02 
-8.66375463250284e-02, -1.27467801804919e-01, 1.31514775456451e-02 
-8.10480272072847e-02, -1.11993461712177e-01, 1.01752531263347e-02 
-7.54585080895409e-02, -9.98570595452840e-02, 8.00071616188495e-03 
-6.98689889717971e-02, -9.43398519820539e-02, 6.29714192927500e-03 
-6.42794698540534e-02, -8.98249507271907e-02, 5.11090691631288e-03 
-5.86899507363096e-02, -7.88466484320742e-02, 6.65498805903208e-03 
-5.31004316185658e-02, -6.71960610545221e-02, 4.97359620203344e-03 
-4.75109125008221e-02, -5.82810040784842e-02, 1.20749504765039e-03 
-4.19213933830783e-02, -5.29171258310634e-02, 6.22617037050172e-05 
-3.63318742653345e-02, -4.58790301196339e-02, -6.87346304885607e-04 
-3.07423551475907e-02, -3.70547142974368e-02, -1.54871734008821e-03 
-2.51528360298470e-02, -2.72856597059923e-02, -1.16709693250657e-03 
-1.95633169121032e-02, -1.78340121069848e-02, 2.35581810185810e-03 
-1.39737977943594e-02, -1.20602315096433e-02, 1.18496144665187e-03 
-8.38427867661564e-03, -8.92589267810463e-03, -8.99168059462151e-04 
-2.79475955887188e-03, -4.70845281360750e-03, -4.56954610434555e-04 
2.79475955887192e-03, 4.70845281360763e-03, 4.56954610434487e-04 
8.38427867661564e-03, 1.62761298405904e-02, -6.81981235674959e-04 
1.39737977943594e-02, 2.42610683863623e-02, -2.52006396666703e-03 
1.95633169121032e-02, 3.45341867443103e-02, -2.52168985098585e-03 
2.51528360298470e-02, 4.43216265779169e-02, -2.03350319728798e-03 
3.07423551475908e-02, 4.76186727992100e-02, -2.62962836735011e-03 
3.63318742653345e-02, 4.99992812153312e-02, -3.21089138579607e-03 
4.19213933830783e-02, 5.46151649292798e-02, -4.09157485842970e-03 
4.75109125008220e-02, 6.62919272329100e-02, -4.05847049477213e-03 
5.31004316185658e-02, 7.84563833424933e-02, -3.39788719432846e-03 
5.86899507363096e-02, 8.90977066111219e-02, -6.99484059040414e-03 
6.42794698540534e-02, 1.00955855832434e-01, -8.52580392891666e-03 
6.98689889717971e-02, 1.09830703277298e-01, -8.93617614211523e-03 
7.54585080895409e-02, 1.17538433080351e-01, -1.07482052696081e-02 
8.10480272072847e-02, 1.25486056298994e-01, -1.55861906851480e-02 
8.66375463250284e-02, 1.40827979776484e-01, -1.92438951621964e-02 
9.22270654427722e-02, 1.60563721117932e-01, -2.34417631675844e-02 
9.78165845605159e-02, 1.84998229980137e-01, -3.17442481711630e-02 
1.03406103678260e-01, 2.26946688335345e-01, -3.73225907977223e-02 
1.08995622796004e-01, 2.74025823440695e-01, -4.00793896733927e-02 
1.14585141913747e-01, 2.91560176417955e-01, -3.50317374750021e-02 
1.20174661031491e-01, 3.10016747695107e-01, -2.86473090475659e-02 
1.25764180149235e-01, 3.37267288104491e-01, -1.83058770901190e-02 
1.31353699266979e-01, 3.69965004238098e-01, -9.58457993698119e-03 
1.36943218384722e-01, 3.97647690447339e-01, -4.29994180428046e-03 
1.42532737502466e-01, 4.20874671120768e-01, 7.38918995857776e-04 
1.48122256620210e-01, 4.49645396623814e-01, 5.66870878521985e-03 
1.53711775737954e-01, 4.75202223164773e-01, 1.30863592032030e-02 
1.59301294855697e-01, 5.09047066262916e-01, 2.62189265146890e-02 
1.64890813973441e-01, 5.62138878404490e-01, 4.43214115380726e-02 
1.70480333091185e-01, 6.14596232082974e-01, 6.03542713055756e-02 
1.76069852208929e-01, 6.64833563827742e-01, 7.20379269093801e-02 
1.81659371326672e-01, 7.15902751629202e-01, 7.99800555776689e-02 
1.87248890444416e-01, 7.65848683399939e-01, 9.07446734533955e-02 
1.92838409562160e-01, 8.20197520659959e-01, 1.10529709100181e-01 
1.98427928679904e-01, 8.85651314639548e-01, 1.41186102897649e-01 
2.04017447797648e-01, 9.54427673855704e-01, 1.73623326410038e-01 
2.09606966915391e-01, 1.02741317951382e+00, 2.09677718412209e-01 
2.15196486033135e-01, 1.11954996582193e+00, 2.55368550536472e-01 
2.20786005150879e-01, 1.20650483730375e+00, 2.98261583572258e-01 
2.26375524268623e-01, 1.28876344343296e+00, 3.40555887977606e-01 
2.31965043386366e-01, 1.38552431579914e+00, 3.86945313398602e-01 
2.37554562504110e-01, 1.48488498988704e+00, 4.33486330224652e-01 
2.43144081621854e-01, 1.61310636706219e+00, 4.96256358907641e-01 
2.48733600739598e-01, 1.78134724705582e+00, 5.83548011683799e-01 
2.54323119857341e-01, 1.92992723582732e+00, 6.64260487749438e-01 
2.59912638975085e-01, 2.12379632235556e+00, 7.65047774059317e-01 
2.65502158092829e-01, 2.35545158071531e+00, 8.67417215360806e-01 
2.71091677210573e-01, 2.68732052501513e+00, 9.69490489317560e-01 
2.76681196328317e-01, 2.89462722449770e+00, 1.07101292044842e+00 
