Strain, Fx, Fz 
-2.90977526432062e-01, -1.01855607472590e-01, 7.55792862173911e-02 
-2.85099192564748e-01, -9.20897769266256e-02, 6.72704705516416e-02 
-2.79220858697433e-01, -8.58032772942588e-02, 6.19370643555767e-02 
-2.73342524830119e-01, -8.08270991714997e-02, 5.74348678778301e-02 
-2.67464190962804e-01, -7.46949276738074e-02, 5.24174005363682e-02 
-2.61585857095490e-01, -6.85625522808870e-02, 4.73618045615401e-02 
-2.55707523228176e-01, -5.99477125553430e-02, 3.97529158242151e-02 
-2.49829189360861e-01, -5.58049263050273e-02, 3.59894134830270e-02 
-2.43950855493547e-01, -5.31137208081811e-02, 3.34647608086364e-02 
-2.38072521626233e-01, -4.92785131160167e-02, 2.95616832223751e-02 
-2.32194187758918e-01, -4.55464966769202e-02, 2.60195830409563e-02 
-2.26315853891604e-01, -4.31891192235442e-02, 2.43670601308449e-02 
-2.20437520024289e-01, -4.11876032105001e-02, 2.26598092862822e-02 
-2.14559186156975e-01, -3.94459817304007e-02, 2.09240750802225e-02 
-2.08680852289661e-01, -3.76144441304788e-02, 1.95206649057492e-02 
-2.02802518422346e-01, -3.53582311897612e-02, 1.78536958579067e-02 
-1.96924184555032e-01, -3.33129533863954e-02, 1.63513181189120e-02 
-1.91045850687717e-01, -3.15670537614482e-02, 1.52523600010177e-02 
-1.85167516820403e-01, -2.99153439810303e-02, 1.41934808507783e-02 
-1.79289182953089e-01, -2.86950229764921e-02, 1.34381461447581e-02 
-1.73410849085774e-01, -2.73722264259219e-02, 1.25907990825602e-02 
-1.67532515218460e-01, -2.56811899397508e-02, 1.12552689898236e-02 
-1.61654181351146e-01, -2.40628850183235e-02, 1.03427768638021e-02 
-1.55775847483831e-01, -2.28838921318173e-02, 9.82586161352057e-03 
-1.49897513616517e-01, -2.18897537289555e-02, 9.36238041029872e-03 
-1.44019179749202e-01, -2.10771174596439e-02, 9.07125679460067e-03 
-1.38140845881888e-01, -2.04775251153073e-02, 8.96410291850627e-03 
-1.32262512014574e-01, -1.99748013217871e-02, 8.41087229118002e-03 
-1.26384178147259e-01, -1.90212336377081e-02, 7.50916579247261e-03 
-1.20505844279945e-01, -1.75477582347177e-02, 6.77877496843300e-03 
-1.14627510412631e-01, -1.63882689289733e-02, 6.48756425485009e-03 
-1.08749176545316e-01, -1.52985394043438e-02, 6.11932238419399e-03 
-1.02870842678002e-01, -1.41568401253937e-02, 5.62885603968209e-03 
-9.69925088106873e-02, -1.31260703073885e-02, 4.94032724805801e-03 
-9.11141749433730e-02, -1.21975775086059e-02, 4.02610975601643e-03 
-8.52358410760586e-02, -1.12559392333399e-02, 3.22730351165797e-03 
-7.93575072087442e-02, -1.02442011938513e-02, 2.68110165661052e-03 
-7.34791733414298e-02, -9.05729479936219e-03, 2.41633456154682e-03 
-6.76008394741155e-02, -8.09458077526828e-03, 2.20860696278093e-03 
-6.17225056068010e-02, -7.35470906797119e-03, 1.96780060074599e-03 
-5.58441717394866e-02, -6.77418250102722e-03, 1.47488513953725e-03 
-4.99658378721723e-02, -6.27400104390869e-03, 9.12909960982519e-04 
-4.40875040048579e-02, -5.25322434225933e-03, 6.29053847404283e-04 
-3.82091701375435e-02, -4.64660309327056e-03, 6.70356126590402e-04 
-3.23308362702291e-02, -4.45910052711535e-03, 8.50924390240135e-04 
-2.64525024029148e-02, -3.70208729605388e-03, 9.36534642001691e-04 
-2.05741685356004e-02, -2.65238419508312e-03, 8.34008585470516e-04 
-1.46958346682860e-02, -1.49192787939160e-03, 7.61260398619901e-04 
-8.81750080097159e-03, -6.57594813689384e-04, 5.72550254295853e-04 
-2.93916693365723e-03, -1.31562338669539e-04, 2.26327836953394e-04 
2.93916693365718e-03, 1.31562338669539e-04, -2.26327836953394e-04 
8.81750080097159e-03, 9.70778126159845e-04, -3.99376270753676e-04 
1.46958346682860e-02, 2.35463214810289e-03, -2.75983207580779e-04 
2.05741685356003e-02, 2.63484360422294e-03, -1.05284654562339e-04 
2.64525024029147e-02, 2.61715525164700e-03, 8.39043265284944e-05 
3.23308362702291e-02, 3.60003120130439e-03, 2.77817319681670e-04 
3.82091701375435e-02, 4.26808359769708e-03, 2.84373306522978e-04 
4.40875040048579e-02, 4.84296366993136e-03, 2.69567020029650e-04 
4.99658378721722e-02, 5.26615201941007e-03, 5.58565606823769e-04 
5.58441717394866e-02, 5.60659934931743e-03, 9.71322052139151e-04 
6.17225056068010e-02, 5.85824705801771e-03, 1.30562646334335e-03 
6.76008394741154e-02, 6.46726752674787e-03, 1.32529635488288e-03 
7.34791733414297e-02, 7.36891106036165e-03, 1.16132050389266e-03 
7.93575072087441e-02, 7.21148546155128e-03, 2.24395423392028e-03 
8.52358410760586e-02, 6.51307509127885e-03, 3.58030372092794e-03 
9.11141749433729e-02, 6.15262051113251e-03, 4.12716914343128e-03 
9.69925088106873e-02, 6.39425748737763e-03, 4.32202941092857e-03 
1.02870842678002e-01, 6.63142067358227e-03, 4.33772939114083e-03 
1.08749176545316e-01, 7.07819186576251e-03, 4.26428385397154e-03 
1.14627510412630e-01, 7.59417460947153e-03, 4.25989757730291e-03 
